,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
28,"Magician鈥檚 assistants are _______________.
",insurance deficient,highly sought after,highly sawed after,dumb to say the least,highly sawed after
29,"I dated a politician over the holidays but when I wrapped myself up as a present, he couldnt __________________.
",understand what he was supposed to do since his aides were on vacation,get a committee organized to suggest a solution,tear himself away from his cell phone,cut through the red tape,cut through the red tape
30,"I missed my miniature Indian musical instrument practice last night. I couldnt find a ___________.
",taxi,small enough violin,baby sitar,baby sitter,baby sitar
31,"Two coin collectors got together for _______________.
",old times sake,old dimes sake,quarter of an hour,pennies from heaven,old dimes sake
32,"When I found out that the fire department was charging $75.00 per table for their craft fair I told them _________________.
",that it seemed steep to me,they could stick it where the sun dont shine,they could go to Hades,they could go to blazes,they could go to blazes
33,"I try wearing tight jeans, but I can __________________.
",gain weight while they are on my body.,never pull it off,never relate to fashion,not stand anything that sticks out,never pull it off
34,"I think Santa has riverfront property in Brazil. All our presents came from ____________.
",Deep in the Jungle,Ipanina,Amazon this year,Rio de Janeiro,Amazon this year
35,"If I tell you I鈥檓 afraid of apple orchards, will you tell me to ______________?
",grow a pair,grow avocados,grow a pear,quit while your a  head,grow a pear
36,"If you step onto a plane and recognize a friend of yours named Jack dont yell out ______!
",Hi Jack,"Jack, whats in your backpack",Man you look heavier than ever,"On, no",Hi Jack
37,"When asked by a passenger how high he would get, the pilot replied,
",Higher than the highest mountain,Whats it to you?,higher than the ground,I dont do drugs.,I dont do drugs.
38,"The airlines have become so cash-strapped, they charged me for ___________.
",looking like a nuisance,being overweight,my emotional baggage,my hat,my emotional baggage
39,"Dont expect to eat something fancy when youre flying ___________________.
",because its plane food,unless you bring your own food,unless youre a good tipper,because its plain food,because its plane food
40,"If you get sick at the airport it could be a _____________.
",disaster for the folks around you,sign of a fatal disease,real upsetting experience,terminal illness,terminal illness
41,"Traveling on a flying carpet is a ______________.
",rugged experience,tuff experience,blast but dont lean over,fairy tale of course,rugged experience
42,"During his air test a young pilot flew through a rainbow. (Next sentence please)
","He thought he was in heaven, lost control of his plane and crashed.","Guess what, he found the pot of gold.",We never saw him again.,He passed with flying colors.,He passed with flying colors.
43,"One of the first things youll notice at the Beijing airport is __________________.
",a strange looking man in a clown suit pointing you to McDonalds,no lines because they are prohibited by law,a whole lot of Chinese checkers,a big sign that says	姝¤繋  (welcome in Chinese traditional) or    娆㈣繋 (in Chinese simplified),a whole lot of Chinese checkers
44,"An astronaut broke the law of gravity and got ______________ .
",a suspended sentence,hung up in the air,some floating debris up his nose,strung up by his toes,a suspended sentence
45,"The little green men told me it was the Dog Star. I told them ______________ .
",they cant be Sirius,not one more martini,it sure as hell looks like a cat from here,they cant be serious,they cant be Sirius
46,"Did you hear about the pilot who always had work? (Next sentence please)
",He was great at landing a job.,His arrival always caused a stir.,He never asked for any pay.,He was always stoned and flying high.,He was great at landing a job.
47,"An astronaut who fails on a weightlessness experiment must be ______________.
",hospitalized immediately with broken bones,counselled about the enormity of his problems,drawn and quartered,aware of the gravity of the situation,aware of the gravity of the situation
48,"The cost of the space program is____________ .
",astronomical,through the ceiling,astrophysical,cosmological,astronomical
49,"If the Taiwanese director doesn鈥檛 win an Oscar, hell ________________.
",never direct another film,really be angry,be one Ang Lee fellow,probably move to Detroit,be one Ang Lee fellow
50,"When I learned what the gun lobby was doing, I ___________ !
",hitched up my holster,left the lobby,shot my dog,went ballistic,went ballistic
51,"I once knew a guy who had fish and chips every day for a year. (Please add the next sentence).
",He died of scurvy.,His stomach took a battering.,His face looked like a fish and he had a chip on his shoulder.,He smelled of garlic for the next 5 years.,His stomach took a battering.
52,"When the Pirates of the Caribbean ordered my death, my mind went _________. I knew I was in _____  ______.
",plank - Depp ship,blank - deep dodo,blank - Depp ship,plank - deep dodo,plank - Depp ship
53,"The painter was hospitalized due to ______________.
",too many strokes,too many toxic fumes,extreme wall staring,a big splashing mistake,too many strokes
54,"Its raining cats and dogs. Well, as long as it doesnt __________________.
",reindeer,snow,get my suit wet,break my umbrella,reindeer
55,"She wanted the large estate quite badly but, she dared not ___________________.
",mansion it to her frugal husband,mention it to her lover,mansion it to her lover,mention it to her frugal husband,mansion it to her frugal husband
56,"Since I went to work in the plumbing department of the home center, I have developed a _______________.
",multi-faceted personality disorder,stinking personality,complete dislike for toilets,multi-fauceted personality disorder,multi-fauceted personality disorder
57,"Any country that obeys seat belt laws is an object of my _____________.
",fasten nation,fascination,strapping body,choosing planes,fasten nation
58,"Its not that the man did not know how to juggle, he just didnt have ______________.
",the proper equipment,the balls to do it,enough bowling pins,the courage to face an audience,the balls to do it
59,"During the first Academy Awards, Warner Brothers got an Honorary Award for The Jazz Singer. What individual got an Honorary Award as well?
",Charlie Chaplin,Mary Pickford,Buster Keaton,Emil Jannings,Charlie Chaplin
60,"At the 1st Academy Awards ceremony this film was nominated for the most Academy Awards (5) and won only three.
",Wings,Seventh Heaven,The Last Command,Sunrise: A Song of Two Humans,Seventh Heaven
61,"During this Academy Award ceremony no movie won more than one Oscar.
",2nd,1st,4th,3rd,2nd
62,"What is the first film to win the Best Director Oscar without being nominated for Best Picture?
",The Patriot,The Divine Lady,The Divorcee,The Big House,The Divine Lady
63,"What is NOT true about the 2nd Academy Awards?
",The number of categories was reduced from twelve to seven.,It was the only occasion where there were no official nominees.,"Elliot Clawson was nominated for Best Writing of 3 pictures 鈥 The Cop,The Leatherneck, Sal of Singapore.",It was the first ceremony for which the winners were not announced in advance.,"Elliot Clawson was nominated for Best Writing of 3 pictures 鈥 The Cop,The Leatherneck, Sal of Singapore."
64,"This category was introduced during the 3rd Academy Awards and was the first new one since the awards began.
",Best Assistant Director,Best Sound Recording,Best Engineering Effects,Best Live Action Short Film,Best Sound Recording
65,"This picture was the first western to win the Academy Award for Best Picture.
",Cimarron,In Old Arizona,The Noose,The Virginian,Cimarron
66,"Who was the first child star to receive a Best Actor/Actress nomination?
",Jackie Coogan,Shirley Temple,Mickey Rooney,Jackie Cooper,Jackie Cooper
67,"What is the first film to be nominated only for the Best Picture Oscar, which it won?
",The Front Page,Grand Hotel,The Champ,Dr. Jekyll and Mr. Hyde,Grand Hotel
68,"The 5th Academy Awards saw the introduction of 3 new categories. What was NOT one of them?
","Best Live Action Short Film, Color","Best Live Action Short Film, Novelty","Best Live Action Short Film, Comedy",Best Animated Short Film,"Best Live Action Short Film, Color"
69,"These were the first two movies to receive both Best Actor Oscar and Best Actress Oscar nominations.
",Bulldog Drummond ; The Divorcee,Cimarron; A Free Soul,Shanghai Express; Bad Girl,The Patriot; The Divine Lady,Cimarron; A Free Soul
70,"What does the word Argo refer to in Ben Afflecks dramatic thriller Argo?
",a secret society,a dangerous drug,a team of CIA operatives,a fake movie production,a fake movie production
71,"In the Oscar-winning movie Life of Pi, Pi was named by his father after which of the following?
",a traditional Indian dish,the mathematical symbol 蟺,a river in India,a swimming pool in France,a swimming pool in France
72,"On what period of Abraham Lincolns life does Steven Spielbergs 2012 movie Lincoln focus?
",the final four months of his life,the first years of his presidency,his presidential nomination and campaign,his early years,the final four months of his life
73,"Jennifer Lawrence, who won the Academy Award for Best Actress for her role in Silver Linings Playbook, achieved international recognition as the heroine Katniss Everdeen in this movie.
",Avatar,Twilight,Black Swan,The Hunger Games,The Hunger Games
74,"The 2012 Academy Award-winning musical drama Les Mis茅rables was based on a novel by this French author.
",Honor茅 de Balzac,Stendhal,Alexandre Dumas,Victor Hugo,Victor Hugo
75,"In what country is the computer-animated fantasy film Brave set?
",Iceland,Germany,Scotland,the USA,Scotland
76,"Who performed the song Skyfall which won the Academy Award for Best Original Song at the 85th Academy Awards?
",Adele,Michael Bubl茅,Kelly Clarkson,Rihanna,Adele
77,"Which of these Acacemy Award-winning movies is NOT correctly matched with its director?
",Silver Linings Playbook - David O. Russell,Life of Pi - Ang Lee,Django Unchained - Joe Wright,Lincoln - Steven Spielberg,Django Unchained - Joe Wright
78,"What actress portrays Anna Karenina in the self-titled 2012 romantic drama film?
",Anne Hathaway,Natalie Portman,Keira Knightley,Jennifer Lawrence,Keira Knightley
79,"This drama film, starring Jean-Louis Trintignant, Emmanuelle Riva and Isabelle Huppert, won the Best Foreign Language Oscar at the 85th Academy Awards.
",Amour,A Royal Affair,Kon-Tiki,Monsieur Lazhar,Amour
80,"Which movie title was translated as Held by Wind in Montana in Japan?
",Horse Whisperer,The Winds of Autumn,Man from Gods Country,Badlands,Horse Whisperer
81,"What movie title was translated in Japan as I Love My Dad The Best In The World?
",Jersey Girl,Jack Everyman,My Year Without Sex,Before Sunset,Jersey Girl
82,"I鈥檓 Drunk and You鈥檙e a Prostitute is the Japanese title of this movie.
",The Libertine,The Lost Weekend,Barfly,Leaving Las Vegas,Leaving Las Vegas
83,"In the Philippines, they pull no punches with the title Because She鈥檚 Ugly. What is the original title of the movie?
",Ben  Arthur,Never Been Kissed,Bloodeaters,Elephant Man,Never Been Kissed
84,"What movie title was translated as Rain of Falafel in Israel?
",He Died with a Felafel in His Hand,Inception,Priest,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs
85,"The title of what movie was translated as Love in the Skies in Israel?
",Forgetting Sarah Marshall,Top Gun,Father Goose,Passenger,Top Gun
86,"What movie title was translated as Super Horny in Israel and Superguys Who Play Hooky in Portugal?
",Q,Superbad,Hysteria,Drive Thru,Superbad
87,"What movie title was translated as The Spy Who Behaved Very Nicely Around Me in Malaysia?
",From Russia with Love,Our Man Flint,Johnny English,Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me
88,"What film was called Super Speeding Cleaning Evil Accounts in Thailand?
",The Ninth Gate,Night of the Demon,Evil Ambitions,Drive Angry,Drive Angry
89,"Hum Tum is the Bollywood version of this Hollywood film.
",Sunshine State,When Harry Met Sally...,High Society,Separate Tables,When Harry Met Sally...
90,"The Sunny Classroom is the Japanese title of this American movie.
",Music of the Heart,Nowhere Boy,Mr. Holland鈥檚 Opus,Music Within,Mr. Holland鈥檚 Opus
91,"I got a small ticket for speeding.  __________________.
",Its fine with me.,I dont pay them anyways.,big deal,I put up a big fuss.,Its fine with me.
92,"There are pigs that sound like horses, in _______________.
",my house using the toilet,my garden snouting around,my neighbor hood,my neigh-boar hood,my neigh-boar hood
93,"Some mathematicians are reluctant to _________________.
",cosine a loan,count their change,speak in tongues,cosign a loan,cosine a loan
94,"Every calendars days are ___________.
",numbered,reminders of the next day,on a calendar,printed,numbered
95,"A cartoonist was found dead in his home. (Next sentence please)
",A crayon was the weapon of choice.,The police want to know what happens at the end of the current cartoon.,He should have been working in an office.,Details are sketchy.,Details are sketchy.
96,"I fed some lemon to my cat and now I have a __________.
",yen for limes,problem with sour fruit,cat with allergies,sour puss,sour puss
97,"Santas helpers are ________________.
",subordinate clauses,his reindeer,little strange looking elves,useless after a New Years Eve party,subordinate clauses
98,"Did you see the movie about the hot dog?
",It was a tasty treat.,It was an Oscar Wiener.,It was an Oscar Winner.,It was too long.,It was an Oscar Wiener.
99,"What鈥檚 a real estate lawyer鈥檚 least favourite song?
",Lean On Me,Take the Money and Run,Will Your Lawyer Talk to God For You?,Lien On Me,Lien On Me
100,"鈥淚f there are no stupid questions, then what kind of questions do stupid people ask? Do they get smart just in time to ask questions?鈥 Which comic book creator created this witty remark?
",Will Eisner,Frank Miller,Scott Adams,Brian Bolland,Scott Adams
101,"鈥淚f you simplify your English, you are freed from the worst follies of orthodoxy. You cannot speak any of the necessary dialects, and when you make a stupid remark its stupidity will be obvious, even to yourself.鈥 Which novelist said this?
",F. Scott Fitzgerald,George Orwell,Evelyn Waugh,Graham Greene,George Orwell
102,"Which bozo made both of these quotes: 鈥淚f youre going to get mad at me everytime I do something stupid then I guess Ill have to stop doing stupid things!鈥 and Stupid, eh? Yeah, Im stupid. Stupid like a fox!鈥.?
",Peter Griffin from Family Guy,Woody Boyd from Cheers,Joey Tribbiani from Friends,Homer Simpson from The Simpsons,Homer Simpson from The Simpsons
103,"鈥淐reating a cultural icon out of someone who goes, Im stupid, isnt it cute? makes me want to throw daggers. I want to say to them, My grandma did not fight for what she fought for just so you can start telling women its fun to be stupid. Saying that to young women, little girls, my daughter? Its not OK.鈥 Which actress owns this one?
",Jessica Simpson,Paris Hilton,Reese Witherspoon,Megan Fox,Reese Witherspoon
104,"鈥淏eware your inner idiot. Success and stupidity dont mix. Your bosss stupidity is only half the problem. Your own stupidity can easily complete the disaster.鈥 Which government official said this?
",Norman Thomas (US Socialist Presidential Candidate),Winston Churchill (Prime Minister of Britain),Clarence Thomas (Supreme Court Justice),J. Edgar Hoover (Director of the FBI),J. Edgar Hoover (Director of the FBI)
105,"鈥淚 refuse to slap some stupid words on the stupid paper just so we have a stupid song finished.鈥 Which singer/songwriter came up with the triple stupid?
",Nelly Furtado,Amy Winehouse,Suzanne Vega,Missy Elliott,Suzanne Vega
106,"Which comedian do you think came up with these remarks: 鈥淛ust think of how stupid the average person is, and then realize half of them are even stupider!鈥 and 鈥淭hink of how stupid the average person is, and realize half of them are stupider than that.鈥.
",Jeff Foxworthy,Jay Leno,George Carlin,Don Rickles,George Carlin
107,"What philosopher said 鈥淢en are born ignorant, not stupid. They are made stupid by education.鈥?
",Henry David Thoreau,Bertrand Russell,John Stuart Mill,Noam Chomsky,Bertrand Russell
108,"Who said, 鈥淪ome people think having large breasts makes a woman stupid. Actually, its quite the opposite: A woman having large breasts makes men stupid.鈥?
",Rosie ODonnell,Rita Rudner,Queen Latifah,Bette Midler,Rita Rudner
109,"鈥淚 have many regrets, and Im sure everyone does. The stupid things you do, you regret鈥 if you have any sense, and if you dont regret them, maybe youre stupid.鈥 is a quote from this famous actress.
",Joanne Woodward,Audrey Hepburn,Bette Davis,Katharine Hepburn,Katharine Hepburn
110,"鈥淐onservatives are not necessarily stupid, but most stupid people are conservatives.鈥 What political economist made this unflattering comment?
",Donald L. Horowitz,Henry Kissinger,John Stuart Mill,Niccol貌 Machiavelli,John Stuart Mill
111,"This famous actress uttered the words: 鈥淚f I play a stupid girl, and ask a stupid question, Ive got to follow it through. What am I supposed to do, look intelligent?鈥
",Ursula Andress,Marilyn Monroe,Raquel Welch,Bo Derek,Marilyn Monroe
112,"The Unbelievable Trip In A Wacky Aeroplane or The Incredible Journey In A Crazy Airplane are the German titles of this movie. In Australia, New Zealand, South Africa, Japan and the Philippines it is known as Flying High.
",Away We Go,Get Shorty,Up,Airplane!,Airplane!
113,"My Partner With the Cold Snout is the German title of this movie.
",Ace of Hearts,K-9,Top Dog,Beverly Hills Chihuahua,K-9
114,"This movie title is translated into German as Floppy Coppers Don鈥檛 Bite or Yellow Coppers Don鈥檛 Bite.
",Dragnet,Starsky  Hutch,Wasabi,Osmosis Jones,Dragnet
115,"This movie is known as Die Slowly in Germany  and as Skyscraper Attack in Portugal.
",Die Hard,Die Hard 2,Die Hard: With a Vengeance,Die Hard Dracula,Die Hard
116,"This movie is titled Die Slowly, Now More Than Ever in Germany and Die Hard: Mega Hard in Denmark its titled. However, in Spain it is known as Crystal Jungle.
",Die Hard Dracula,Die Hard: With A Vengeance,Die Hard 4.0,Die Hard 2,Die Hard: With A Vengeance
117,"I Think I鈥檓 Kicked by a Horse is the German title of this movie.
",Under the Western Sun,Animal House,Son of Paleface,Cat Ballou,Animal House
118,"Play me the Song of Death is a title inspired by a line from this movie.
",The Mark of Zorro,Liberty Heights,Once Upon a Time in the West,The Alamo,Once Upon a Time in the West
119,"The Year 2022. Those Who Want to Survive is the German title of this movie.
",Dawn of the Dead,Avatar,Soylent Green,Alien,Soylent Green
120,"A Pope to Kiss is the German title of this movie.
",Gone with the Pope,The Shoes of the Fisherman,Luther,The Pope Must Die,The Pope Must Die
121,"The title of what sci-fi movie was translated in Germany as Alarm in Space.
",Alien,Galaxy Quest,Apollo 13,Forbidden Planet,Forbidden Planet
122,"Final Call 鈥 When He Hangs Up She Has to Die is the German title of this movie.
",Dial M For Murder,Cellular,Phone Booth,The Crazies,Cellular
123,"Good Vibrations 鈥 Sex From Another World is the German title of this movie.
",What Planet Are You From?,Mars Attacks!,Another Earth,Stealing Sinatra,What Planet Are You From?
124,"In Germany this movie is titled Cuckoo while in Japan it is called 17-Year Old Girl鈥檚 Medical Chart.
",Exit Strategy,Something Borrowed,Nurse Betty,"Girl, Interrupted","Girl, Interrupted"
125,"How much armor does a rank 6 Colossus have in the strategy game Battle Nations?
",224,190,500,375,375
126,"Which unit was NOT a limited time offer in the game Battle Nations?
",Ninja Trooper,Peace Keeper,Special Agent,Saboteur,Peace Keeper
127,"In the strategy game Battle Nations, the Wimp has the highest possible attack off any unit.
",True,False,,,False
128,"Which unit was not in the 2.6 update of the game Battle Nations?
",Lightning Trooper,Wolf Scrapper,Guerrilla,Veteran,Lightning Trooper
129,"How much nanopods does the Meerkat cost in the video game Battle Nations?
",50,60,55,45,45
130,"Which two units can give enemies the Frozen status in the game Battle Nations?
",Freeze Trooper and Freeze Jeep,Cryo Trooper and Frostbite,Ice Trooper and Blizzard,Freeze Trooper and Freeze tank,Cryo Trooper and Frostbite
131,"Which Battle Nations unit has the highest dodge capabilities?
",Assassinator,Humvee,Ninja,Scout Bike,Scout Bike
132,"Which Silver Wolf unit is not trainable in the game Battle Nations?
",Pickup,Wolf Enforcer,Garbage Truck,Wolf Artillery,Garbage Truck
133,"Which building trains Allied Raider Mammoths in the strategy game Battle Nations?
",Barracks,Animal Trainer,Prestigious Academy,Raider Training Camp,Prestigious Academy
134,"How many tiers of The Infected are there in the game Battle Nations?
",4,None,2,6,4
135,"What is the name of Natalie Portmans Black Swan co-star whom she married in August 2012?
",Darren Aronofsky,Joseph Fiennes,Vincent Cassel,Benjamin Millepied,Benjamin Millepied
136,"What actress wore a Valentino wedding dress when she married actor and jewelry designer Adam Shulman?
",Anne Hathaway,Drew Barrymore,Kate Winslet,Jessica Biel,Anne Hathaway
137,"In December 2012, this Oscar-winning actress secretly married her boyfriend of about one year, Ned Rocknroll.
",Anne Hathaway,Blake Lively,Kate Blanchett,Kate Winslet,Kate Winslet
138,"Who was actor Ryan Reynolds married to prior to tying the knot with his Green Lantern co-star Blake Lively?
",Reese Witherspoon,Jpdie Foster,Scarlett Johansson,Alanis Morissette,Scarlett Johansson
139,"In May 2012, this celebrity married Priscilla Chan, in a ceremony at his home in Palo Alto, California.
",Bill Gates,Mark Zuckerberg,David Mitchell,Matthew McConaughey,Mark Zuckerberg
140,"After four years together, this couple announced their split in March 2011. However, by fall 2011 they reunited and married in October 2012 at the Borgo Egnazia resort in Fasano, Italy.
",Drew Barrymore and Will Kopelman,Jessica Biel and Justin Timberlake,Reese Witherspoon and Jim Toth,Blake Lively and Ryan Reynolds,Jessica Biel and Justin Timberlake
141,"In 2012, this actor married Hilaria Thomas, an instructor with Yoga Vida in Manhattan, who is 26 years his junior.
",Daniel Craig,Alec Baldwin,Bruce Willis,Michael Douglas,Alec Baldwin
142,"On June 2, 2012, this actress married art consultant Will Kopelman and on September 26, 2012, she gave birth to her first child, Olive.
",Drew Barrymore,Kate Winslet,Anne Hathaway,Cynthia Nixon,Drew Barrymore
143,"This longtime couple, whose third child was born in December 2012, tied the knot on June 9, 2012 in Austin, Texas.
",Chris Noth and Tara Wilson,Matthew McConaughey and Camila Alves,Blake Lively and Ryan Reynolds,Drew Barrymore and Will Kopelman,Matthew McConaughey and Camila Alves
144,"What Greys Anatomy star got married on July 4, 2012 in a private beachside ceremony in New York?
",Miranda Bailey,Patrick Dempsey,Sara Ramirez,Eric Dane,Sara Ramirez
145,"Define shotgun wedding.
",wife or death,quit crying and say I do,shut up and smile,life or death,wife or death
146,"Define khakis.
",a babys word for pants full,what you need to start the car in Boston,the sound a Khakis bird makes,None of these,what you need to start the car in Boston
147,"What is an oboe?
",None of these,an English tramp,a hairless cow,a form of Oh Boy uses in Sumatra,an English tramp
148,"What does pasteurize mean?
",putting animals out to graze,none of these,too far to see,process for making rizes,too far to see
149,"What is a crick?
",shortened name for cricket,none of these,sound that a cricket makes,the sound that a Japanese camera makes,the sound that a Japanese camera makes
150,"Define dockyard.
",none of these,a pen for pigs,a lawn full of docks,a physicians garden,a physicians garden
151,"Define alarms.
",what an octopus is,what your wife detests in the morning,none of these,a group of thistle-colored reindeer,what an octopus is
152,"What is propaganda?
",used on a movie set to hold up a ganda,a gentlemanly goose,none of these,bunch of BS,a gentlemanly goose
153,"Define toboggan.
",birds that are sucked into jet engines,an outlaw in New Zealand,none of these,why we go to an auction,why we go to an auction
154,"Define absentee.
",something you smell but cant identify,a missing golfing accessory,none of these,a penny on your stomach,a missing golfing accessory
155,"Although the movie didnt come out until 1996, its Chinese title is: Excitement 1995. And just to include some other countries: Finland = Rita Hayworth -The Key to the Escape, Israel =Walls of Hope and Greece = Last Exit: Rita Hayworth. One of these is close to the title and one gives away the ending.
",Cool Hand Luke,Escape from Alcatraz,Carlitos Way,The Shawshank Redemption,The Shawshank Redemption
156,"Which movie title was translated in China as Who Is Face Belonging To? I Kill You Again, Harder!?
",Slap Shot,Face/Off,Death Hunt,Miracle,Face/Off
157,"In China this movie was called He鈥檚 A Ghost!and in Hong Kong or Macao its called Ghost Eyes.
",The Eclipse,Mr. Soul,The Sixth Sense,Slices of Life,The Sixth Sense
158,"So, You Are a Lawyer? is the Chinese title of this movie.
",The Usual Suspects,A Few Good Men,Murder in the First,Interview With The Vampire,Interview With The Vampire
159,"Ungrateful Adulteress! I Chop Off Your Finger! is the Chinese title of this movie.
",The Music Lovers,Mr. Hollands Opus,The Piano,For Ellen,The Piano
160,"Help! My Pretend Boyfriend Is Gay! is the actual Chinese title of this film.
",My Best Friends Wedding,Rent,My Own Private Idaho,Mysterious Skin,My Best Friends Wedding
161,"Which movie title was translated as Big Dumb Monkey-Man Keeps Whacking Tree With Genitals in China and asThe Jungle Died Laughing in Israel?
",The Jungle Book,George of the Jungle,The Lost Tribe,Tarzan,George of the Jungle
162,"Great Buddha! I Can Smell You From Afar! Take a Bath, Will You?! is the Chinese title of this movie.
",Click,Reeker,Scent of a Woman,Proof,Scent of a Woman
163,"What movie title was translated in China as I Am That Guy From Seinfeld So Its Acceptable for Straight People to Enjoy This Gay Movie?
",The Brothers Sinclair,Love! Valour! Compassion!,Friends and Family,Homo Heights,Love! Valour! Compassion!
164,"Imaginary Dead Baseball Players Live in My Cornfield is the Chinese title of this movie.
",The Perfect Game,The Wizard of Oz,Field of Dreams,North by Northwest,Field of Dreams
165,"Delicate Orbs of Womanhood Bigger Than Your Head Can Hurt You was the Chinese title of this movie remake.
",Miracle Beach,Maniac Nurses,"Faster, Pussycat! Kill! Kill!",Barb Wire,Barb Wire
166,"Come to My Cave and Wear This Rubber Codpiece, Cute Boy the Chinese title of this movie.
",Altered States,Encino Man,Caveman,Batman  Robin,Batman  Robin
167,"Oh No! My Girlfriend Has a Penis! is the Chinese title of this movie.
",Valentino,Hunger,The Crying Game,Jarhead,The Crying Game
168,"How did Christopher Columbus finance his trip to America?
",He sold his house.,He was helped by sweet talking Isabella.,with a Discover card,He robbed gold from his friend.,with a Discover card
169,"Where do you find giant snails?
",there are no giant snails,on the ends of giants fingers,under very large plants,in very large caves,on the ends of giants fingers
170,"Why is Saudi Arabia free of mental illness?
",the same reason they are free of alcohol,they have fantastic facilities,There are nomad people there.,they dont believe in it,There are nomad people there.
171,"What is the difference between one yard and two yards?
",none if youve already scored a touchdown.,a fence,3 feet,an extra yard gained,a fence
172,"What do you call a dinosaur with an extensive vocabulary?
",Smart Pants,Dino from the Flintstones,Hippopotomonstrosesquippedaliophobia,A thesaurus,A thesaurus
173,"What do you get when you cross the Atlantic Ocean with the Titanic?
",half-way,nothing - the question is dumb,ship full of salt water,the Atlantic Titanic,half-way
174,"What would be a weight loss mantra that might be sung at Weight Watchers?
",Slim Pickens,Fat Chance,Fat Chants,Skinny Minny,Fat Chants
175,"What did the grape say when it got stepped on?
",Red Red Wine,Holy Moselle,Nothing - but it let out a little whine.,Ouch you bruised my skin.,Nothing - but it let out a little whine.
176,"What does an Olympic fencing hopeful do at noon each day after he leaves the office?
",goes out to lunge,goes out to lunch,nothing hes just epee hes free for an hour,tries to foil the rest of the workers,goes out to lunge
177,"What is a Quark?
",friend of a Lepton both can be found in marshy lands,some itty bitty little thingy,the noise a well bred duck makes,the name of the last passenger pigeon,the noise a well bred duck makes
