,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
126,"Belinda Carlisle used to do lead vocals for this 80s punk girl group.
",The Go Gos,Bananarama,The Bangles,Psychedelic Furs,The Go Gos
127,"Steve Perry made his public debut as singer for this band in October 1977.
",Loverboy,Boston,Journey,Electric Light Orchestra (ELO),Journey
128,"Name the performer of this 80s hit song.
",Kim Wilde,Devo,Katrina  the Waves,Eurythmics,Kim Wilde
129,"If You Want Blood Youve Got It
",AC/DC,King Diamond,Rush,Kiss,AC/DC
130,"Diary of a Madman
",Marilyn Manson,Ozzy Osbourne,Alice Cooper,David Bowie,Ozzy Osbourne
131,"The Sad Wings of Destiny
",Judas Priest,Dream Theater,Iron Maiden,Exodus,Judas Priest
132,"Operation: Mindcrime
",Tesla,Twisted Sister,Megadeth,Queensryche,Queensryche
133,"Killing is my Business...and Business is Good
",Cannibal Corpse,Death Angel,Grim Reaper,Megadeth,Megadeth
134,"Zipper Catches Skin
",Warrant,Poison,Alice Cooper,Cinderella,Alice Cooper
135,"Fabulous Disaster
",Testament,Nuclear Assault,Exodus,Anthrax,Exodus
136,"Piece of Mind; Powerslave; Live After Death
",Iron Maiden,Dio,Dokken,Dangerous Toys,Iron Maiden
137,"This Toilet Earth; Ragnarok
",Biohazard,Gwar,Metal Church,Corrosion of Conformity,Gwar
138,"La Sexorcisto: Devil Music Volume 2
",Great White,Whitesnake,White Zombie,White Lion,White Zombie
139,"The Woodstock Music and Art Festival, was held in Bethel, New York, on 15, 16, and 17 August of what year?
",1968,1967,1966,1969,1969
140,"Vanilla Fudge was an American psychedelic rock band, whose members included organist Mark Stein, bassist Tim Bogert, lead guitarist Vince Martell, and this well-travelled and versatile rock drummer.
",Jeff Lynne,John Bonham,Carmine Appice,Kenny Jones,Carmine Appice
141,"What year did British rock band, Led Zeppelin release their first, self-titled album?
",1969,1967,1968,1966,1969
142,"The Mothers of Invention were a rock and roll band active from the 1960s to the 1990s, that originally consisted of drummer Jimmy Carl Black, bassist Roy Estrada, saxophonist Davy Coronado, guitarist Ray Hunt, and singer Ray Collins.  After Ray Hunt left the group in 1964, what  famous American composer, guitarist, singer and satirist took his spot?
",Phil Lynott,Captain Beefheart,Frank Zappa,Lowell George,Frank Zappa
143,"British progressive rock band, Procol Harum, was formed in the early 1960s by Robin Trower and this lead singer, who was awarded the Member of the Order of the British Empire in the Queens Birthday Honours on June 14, 2003.
",Johnnie Winter,Robert Palmer,Jeff Lynne,Gary Brooker,Gary Brooker
144,"This British rock band, best-known for their hit singles Keep On Running, Gimme Some Lovin and Im a Man, was vocalist Steve Winwoods first group.
",Spencer Davis Group,Blind Faith,Traffic,Moody Blues,Spencer Davis Group
145,"Musician Donovan Philips Leitch, simply known as Donovan, was born on May 10, 1946 in what country?
",England,Scotland,Bolivia,United States,Scotland
146,"Jimmy Page, one of the most influential guitarists in rock and roll, played for this band, before forming Led Zeppelin.
",The Zombies,Gerry and the Pacemakers,The Animals,The Yardbirds,The Yardbirds
147,"What is the name of the song which was a #1 hit for The Knack in 1979?
",My Corona,My Sharona,Knack Three Times,My Bologna,My Sharona
148,"Which song recorded by Simon  Garfunkel was a # 1 song in 1970?
",Bridge Over Troubled Water,50 Ways To Leave Your Lover,Me And Julio,Cecilia,Bridge Over Troubled Water
149,"What hit performed by The Rolling Stones was a # 1 song in 1973?
",Satisfaction,Wild Horses,Angie,Get Used To It,Angie
150,"The group Chicago scored big in 1976 with this #1 song.
",Colour My World,If You Leave Me Now,Saturday in The Park,Feeling Stronger Everyday,If You Leave Me Now
151,"What is the name of this song that was a #1 hit for Debby Boone in 1977?
",Midnight at The Oasis,You Light up My Life,At Seventeen,Those Were the Days,You Light up My Life
152,"What song by Andy Gibb topped the charts in 1977?
",The Nights on Broadway,Shadow Dancing,Thicker Than Water,I Just Want to Be Your Everything,I Just Want to Be Your Everything
153,"Which song was a #1 hit for The Jackson 5 in 1970?
",The Love You Save,Ease on Down the Road,Ben,Dancing Machine,The Love You Save
154,"Which song was a #1 hit for Olivia Newton-John in 1974?
",Have You Ever Been Mellow,Youre No Good,I Honestly Love You,Hopelessly Devoted to You,I Honestly Love You
155,"What song by Don McLean became a #1 song in  the U.S in 1972?
",American Pie,The Lion Sleeps Tonight,Irreplaceable,Vincent,American Pie
156,"He is best known for his 1976 Top 5 single Lonely Boy and the 1978 single Thank You For Being A Friend.
",Burton Cummings Jr.,Andrew Gold,Leo Sayer,Henry Gross,Andrew Gold
157,"Who sang How Long,  a single with significant chart success, achieving a place in the top 20 UK Singles Chart, and reaching number 3 USA charts?
",Pablo Cruise,Poco,Average White Band,Ace,Ace
158,"What year did the song Gypsies, Tramps and Thieves skyrocket to the top of the charts?
",1980,1973,1975,1971,1971
159,"Who performed 70s hit, Undercover Angel?
",Alan O Day,Leo Sayer,David Cassidy,Rick Springfield,Alan O Day
160,"Who performed Day after Day, a track from the 1971 album, Straight Up?
",Dave Mason,Traffic,Dan Hill,Badfinger,Badfinger
161,"What early to mid-1970s group, originally called Bl氓blus, made a successful cover of B. J. Thomas 1969 song, Hooked on a Feeling?
",Blue Swede,Blues Image,Blues Magic,Blues Traveler,Blue Swede
162,"Hitch hike was a dance craze of 1960s, which started with the 1963 Marvin Gaye hit, Hitch Hike and re-energized with Hitchin a Ride, a hit song performed by this band in 1970.
",Vanity Fare,ABBA,White Plains,Coven,Vanity Fare
163,"Their career took off in 1971 with Hey You Love, after which two number one hits followed --  Hello-A and How Do You Do, in 1972.
",Mouth and MacNeal,Henry Gross,Cymarron,England Dan and John Ford Coley,Mouth and MacNeal
164,"Chevy Van, a 1974 song which tells a story about a driver, who picks up a girl, was performed by what singer?
",Sammy Johns,Sherman Kelly,Coven,Alive  and Kicking,Sammy Johns
165,"Who sang the massive, international 1974 hit, Beach Baby?
",First Class,Gladys Knight  The Pips,Fifth Dimension,The Beach Boys,First Class
166,"What British pop group performed several hit songs, including the 1970 My Baby Loves Lovin and the 1971 When You Are a King.
",White Plains,Johnny Maestro and The Brooklyn Bridge,The Manhattans,Boston,White Plains
167,"What rock band, originally called Fat City, sang the 1976 hit, Afternoon Delight?
",The Mamas and the Papas,Starland Vocal Band,Heart,Abba,Starland Vocal Band
168,"What British singer performed the 1972 hit, Beautiful Sunday?
",Bryan Adams,Paul Revere and The Raiders,Daniel Boone,Leo Sayer,Daniel Boone
169,"What RB and soul singer, best known for her hits in the 1970s, performed the single, Right Back Where We Started From in 1975?
",Maxine Nightingale,Natalie Cole,Crystal Gayle,Diana Ross,Maxine Nightingale
170,"Who performed the hit song Having My Baby in 1976, in duet with Odia Coates?
",Paul Anka,Starbuck,Paul Revere and The Raiders,Paul Williams,Paul Anka
171,"Elvis made his first record as a surprise gift for his mom.
",False,True,,,True
172,"Where did Elvis movie Jailhouse Rock premiere?
","Memphis, Tennessee","Nashville, Tennessee","New York, New York","Hollywood, California","Memphis, Tennessee"
173,"What Elvis Presley song was written by Mac Davis and had the alternate title The Vicious Circle ?
",Way Down,In the Ghetto,Suspicious Minds,Return to Sender,In the Ghetto
174,"Is there really  a Heartbreak Hotel down at the end of Lonely Street as the famous Elvis song goes?
",No,Yes,,,Yes
175,"Who was in an Elvis movie as a child and then went on to play him as an adult?
",Mel Gibson,Kurt Russell,Ronnie McDowell,Don Johnson,Kurt Russell
176,"Which President did Elvis meet at the White House?
",Ronald Regan,Richard Nixon,Jimmy Carter,Bill Clinton,Richard Nixon
177,"The American rock band Survivor had a #1 song in 1982. What was the name of this song?
",Call Me,Eye of the Tiger,Heat of the Moment,Waiting for a Girl Like You,Eye of the Tiger
178,"Welsh singer Bonnie Tyler had massive success with what #1 song in 1983?
",Its A Heartache,Queen of Hearts,Total Eclipse of the Heart,The Tide Is High,Total Eclipse of the Heart
179,"Eddie Rabbitt  Crystal Gayle joined forces in 1983 and had a massive hit in the United States. What was the name of their song that reached #5 on the Billboard charts?
",Endless Love,Baby Come to Me,You and I,Gonna Make My Brown Eyes Blue,You and I
180,"What 1984 hit song by Prince was declared the top-selling single of the year by the Billboard magazine?
",Kiss,1999,When Doves Cry,Little Red Corvette,When Doves Cry
181,"In 1980 US pop music duo Captain  Tennille reached #1 charts with what song?
",Im Your Captain,Muscrat Love,Love Will Keep Us Together,Do That To Me One More Time,Do That To Me One More Time
182,"Which song by Whitesnake was a # 1 song in 1987?
",Here I Go Again,Down Under,Every Rose Has Its Thorn,Is This Love,Here I Go Again
183,"Which song by Queen from their album The Game reached #1 on the U.S. Billboard Hot 100 in 1980?
",Fat Bottomed Girls,Bohemian Rhapsody,Another One Bites the Dust,We Are The Champions,Another One Bites the Dust
