,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
117,"According to the Harry Potter books, who is Harrys godfather?
",Sirius Black,Remus Lupin,Peter Pettigrew,James Potter,Sirius Black
118,"In what book of the Harry Potter series does professor Trelawney get fired?
",Harry Potter and the Philosophers Stone,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,She doesnt get fired in the books,Harry Potter and the Order of the Phoenix
119,"In the Harry Potter books, what is Harrys classmate Hermiones full name?
",Hermione Cassandra Granger,It was never mentioned.,Hermione James Dumbledore,Hermione Jean Granger,Hermione Jean Granger
120,"In which movie did Hermione Granger say the following:
",Harry Potter and the Sorcerers Stone,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets," going to bed, before either one of you have another clever idea to get us killed, or worse, expelled"
121,"What did Hermione Granger, a character from the Harry Potter series, think about the Firebolt?
",that it was jinxed and was given to Harry by Sirius Black,that it was given to Harry by Dumbledore because he felt bad after Harrys broom was demolished by the Whomping Willow,that it was amazing and wanted to be the first to ride it after Harry,that it was jinxed and was given to Harry by Lucius Malfoy who was still angry about the loss of his House Elf,that it was jinxed and was given to Harry by Sirius Black
122,"It is stated in the Harry Potter books that Hermione Grangers parents are teachers.
",True,False,,,False
123,"Was Hermione able to see the Thresals in Harry Potter and the Order of the Phoenix?
",No,Yes,,,No
124,"In the Harry Potter series, Hermiones full name is Hermione Denise Granger.
",False,True,,,False
125,"What is the wooden stick used to hit a baseball called?
",Baseball Wand,Baseball Bat,Baseball Raquet,Baseball Club,Baseball Bat
126,"What color is a major league baseball?
",Green,White,Black,Blue,White
127,"Should you wear a helmet while hitting a baseball?
",Yes,No,,,Yes
128,"What is it called when you hit a baseball out of the park?
",Home Run,Stolen Base,Hat Trick,3 Pointer,Home Run
129,"What do you wear on your hand when playing the field in baseball?
",Baseball Helmet,Baseball Glove,Baseball Mittens,Baseball Shoes,Baseball Glove
130,"In baseball, what is the name of the player who squats behind the hitter and catches the ball?
",Catcher,Short Stop,Manager,Pitcher,Catcher
131,"When you run the bases in baseball you should run from 3rd base to 1st base.
",False,True,,,False
132,"What is the player who throws the ball to the hitter called in baseball?
",Coach,Catcher,Short Stop,Pitcher,Pitcher
133,"Baseball is usually played indoors.
",False,True,,,False
134,"Casey has 2 ten dollar bills, 3 five dollar bills, and 4 one dollar bills. How much money does Casey have altogether?
",$44,$35,$39,$37,$39
135,"What would be next in this pattern:  XX, XXXX, XXXXXX, ________?
",XXXXXXXX,XXXXXXX,XXXXXXXXX,XXXXXXXXXX,XXXXXXXX
136,"Reeses Pieces cost $0.60. Nerds cost $0.35. Pepsi costs $0.90. Gum costs $0.45. I have $1.25, and want to spend all of my money. What should I buy?
","Reeses Pieces, Nerds, and Gum",Pepsi and Gum,Pepsi and Nerds,Reeses Pieces and Gum,Pepsi and Nerds
137,"Chad and Jason have a collection of comic books. Chad has 23 books. Together, Chad and Jason have a total of 59 books. How many books does Jason have?
",26,35,36,82,36
138,"Leah is making chocolate chip cookies. She has 6 groups of 5 chocolate chips each. If she adds one more group of 5 chocolate chips, how many chocolate chips will she have?
",30,35,45,40,35
139,"Stephanie has $0.85. She gives a quarter to Jennifer. In return, Jennifer gives Stephanie a dime. How much money does Stephanie have now?
",$0.60,$0.65,$0.70,$0.75,$0.70
140,"Mike has to be to school at 8:00 a.m. If it takes him 25 minutes to walk to school, what time should he leave?
",7:35 a.m.,7:45 a.m.,8:25 a.m,7:25 a.m.,7:35 a.m.
141,"The Chronicles of Narnia, written by C.S. Lewis, is a series of seven fantasy novels. Which of the following is not one of the books in this series?
",Prince Caspian,The Boy and His Horse,"The Lion, the Witch and the Wardrobe",The Voyage of the Dawn Treader,The Boy and His Horse
142,"In The Voyage of the Dawn Treader, published in 1952, Edmund and Lucy Pevensie return to Narnia along with their younger cousin named what?
",Caspian,Telmar,Eustace,Digory,Eustace
143,"There comes a point when Peter, Susan, Edmund, and Lucy Pevensie are no longer allowed to visit Narnia because they are too old. So the lion calls their young cousin back to Narnia together with Jill, a fellow student of his. This happens in which book of The Chronicles of Narnia series?
",The Last Battle,Prince Caspian,The Voyage of the Dawn Treader,The Silver Chair,The Silver Chair
144,"Which of the Pevensie children is lured into teaming up with the White Witch in the novel The Lion, the Witch and the Wardrobe?
",Lucy,Susan,Edmund,Peter,Edmund
145,"In The Last Battle chronicles, which earned C.S. Lewis a Carnegie Medal, two children return to save Narnia from Shift who tricks the donkey Puzzle into impersonating the Great Lion. What kind of creature is Shift?
",Ape,Centaur,Unicorn,Faun,Ape
146,"What can Bungy the budgie do?
",water ski,bungy jump,walk a tightrope,snow ski,water ski
147,"Who sent Harry a letter in Chapter 2 telling him not to do any more magic, or to surrender his wand?
",Hermione,Sirius Black,Arthur Weasley,Molly Weasley,Arthur Weasley
148,"Cornelius Fudge thinks that who wants to be the Minister of Magic?
",Sirius Black,Lucius Malfoy,Arthur Weasly,Albus Dumbledore,Albus Dumbledore
149,"This person is Siriuss brother.
",Regulus,Tom,Ronald,Remus,Regulus
150,"Luna Lovegood was reading the Quippler on the Hogwarts Express.
",False,True,,,False
151,"What ward was Arthur Weasly in while at St Mungos?
",Llewellyn,Corwin,Blaise,Diedre,Llewellyn
152,"This is Professor Umbridges middle name.
",Jane,Marie,Barbara,Mary,Jane
153,"A giant chief is called this.
",Urg,Gurg,Gurrl,Ugh,Gurg
154,"Who had Neville Longbottom seen die?
",his Grandmother,no one,his Grandfather,his parents,his Grandfather
155,"Who did not go with Harry to the Ministry of Magic to rescue Black?
",Cho,Neville,Luna,Ron,Cho
156,"Josh and Parker star on this Nickelodeon show which takes place mostly at a fast food restaurant. What is the name of the show?
",Mr. Fast Food,Mr. Meaty,Mr. Meat,Dr. Burger,Mr. Meaty
157,"Which of these Nickelodeon animated shows stars a big headed kid who also has a very big brain?
",Jimmy Neutron,Drake and Josh,"Neutron, Boy Genius",The fairly odd parents,Jimmy Neutron
158,"In the show Jimmy Neutron, Jimmy goes to Mars in search of a major power source and runs into some huge rock creatures living on Mars. What substance are these creatures vulnerable to?
",Water,Fire,Air,Light,Water
159,"Actor Drake Bell from the Nickelodeon show Drake and Josh founded a band named Drake 24/7 in real life.
",False,True,,,True
160,"In Neds Declassified School Survival Guide, who dares Moze to wear a frilly dress with flowers for 48 hours?
",Ned Bigby,Simon Nelson Cook,Nobody dares her that,Billy Loomer,Nobody dares her that
161,"Actress Miranda Cosgrove plays Megan in the hit Nickelodeon show Drake and Josh.
",True,False,,,True
162,"Complete this line from the classic childrens book Green Eggs and Ham:
",Sam,A Lamb,Jean-Claude Van Damme,Sam,am ______.
163,"The book Green Eggs and Ham was first published in 1952.
",True,False,,,False
164,"Where did Green Eggs and Ham rank according to Publishers Weekly 2001 list of best selling childrens books of all-time?
",Fourth,Second,First,Third,Fourth
165,"Rev. Jesse Jackson once read Green Eggs and Ham aloud on the late Night show Saturday Night Live.
",False,True,,,True
166,"Complete this line from the book Green Eggs and Ham:
",Fox,Dog with Chicken Pox,Bag of Rocks,Clock,do not like them in a box! I do not like them with a _____!
167,"The book Green Eggs and Ham contains only 50 different words.
",True,False,,,True
168,"What word is missing in this line from the book Green Eggs and Ham:
", a ........?,Car,Line at the DMV,Jeep,uld you? Could you?
169,"What should you wear on your head when you play American football?
",Hat,Helmet,Wig,Shoe,Helmet
170,"In American football, the player who throws the ball to the other players on the field is called what?
",Quarterback,Running back,Kicker,Tight End,Quarterback
171,"Which of these items is not used in an American football game?
",Helmet,Stick,Padding,Football,Stick
172,"What is the main method of scoring in American football?
",Touchdown,Three Pointer,Home Run,Hat Trick,Touchdown
173,"What is the professional team of Miami in American football called?
",Patriots,Dolphins,Yankees,Jets,Dolphins
174,"What do you call the grassy area on which an American football game is played?
",Court,Rink,Diamond,Field,Field
175,"What is the color of a traditional American football?
",Brown and white,Green and yellow,Pink and purple,Blue and red,Brown and white
176,"How many points is a touchdown worth in American football?
",2,4,5,6,6
177,"What is the shape of a traditional American football?
",Rectangle,Square,Oval,Round,Oval
178,"What do you call the man or woman who runs a football team and tells the players what to do?
",Wide Receiver,Quarterback,Tight End,Coach,Coach
179,"In what year did Disney release the film The Little Mermaid?
",1889,1985,1989,1885,1989
180,"What was the name of the housemaid that served dinner on Ariels first night in the palace in the movie The Little Mermaid?
",Marianne,Vanessa,Janice,Carlotta,Carlotta
181,"Ursula, one of the characters in the Disney movie The Little Mermaid, is a cecaelia sea witch.
",True,False,,,True
182,"What name did Ursula adopt while in disguise in the movie The Little Mermaid?
",Matilda,Vanessa,Gertrude,Louise,Vanessa
183,"Buddy Hackett provided the voice of Flounder in the movie The Little Mermaid.
",False,True,,,False
184,"The film The Little Mermaid grossed approximately $200,000,000.
",True,False,,,True
185,"The first line in the movie The Little Mermaid was Flounder, quit being such a guppy!.
",False,True,,,False
186,"When was the film The Little Mermaid released in Germany?
",Nov. 18 1989,Nov. 29 1990,Nov. 15 1989,Nov. 15 1990,Nov. 29 1990
187,"In the book Harry Potter and the Half-Blood Prince, when Harry went to his potions class the first time that year, there were 4 potions on Mr. Slughorns desk. What were they called?
","Veritaserum, Felix felicis, Amortentia and Poly juice potion","Veritaserum, hurnslug, setumaniea and felkamena","Poly juice potion, majoina, conastance and cenputok","Draught of the living death, milliitinie, carnaogdhor and gononala","Veritaserum, Felix felicis, Amortentia and Poly juice potion"
188,"McLaggen, who was first introduced in Harry Potter and the Half Blood Prince hit Harry in the back of his head with a wooden bat.
",False,True,,,True
189,"Was Ron poisoned in the book Harry Potter and the Half-blood Prince?
",Yes,No,,,Yes
190,"In the book Harry Potter and the Half-Blood Prince, Harry almost killed Malfoy.
",False,True,,,True
191,"Is it true that Mrs. Arabella Figg, a character from the Harry Potter books, is a Squib?
",Yes,No,,,Yes
192,"In Harry Potter and the Half-Blood Prince, was the horcrux Dumbledore and Harry recovered fake?
",Yes,No,,,Yes
193,"Who went first into the barrier in the book Harry Potter and the Chamber of Secrets?
",Ron,Fred and George,Percy,Harry,Percy
194,"What was the name of the book which Ron gave Harry for Christmas in Harry Potter and the Chamber of Secrets?
",Flying with the Cannons,Gold Stars - How do they do it?,Fantastic Beasts and Where to Find them,Quidditch through the ages,Flying with the Cannons
195,"What did Dudley want Harry to pass him at breakfast in chapter 1 of Harry Potter and the Chamber of Secrets?
",bacon,waffles,pancakes,eggs,bacon
196,"What is the title of chapter 11 of the book Harry Potter and the Chamber of Secrets?
",Quidditch,The Dueling Club,The Writing on the Wall,The Rogue Bludger,The Dueling Club
197,"In the book Harry Potter and the Chamber of Secrets, what did Ron keep on doing to his Charms homework?
",scribbling on it,poking holes in it,making finger prints on it,dropping ink blots on it,dropping ink blots on it
198,"What was the first spell cast at the dueling match in the book Harry Potter and the Chamber of Secrets?
",Sarpensortia,Wingardium Leviosa,Expelliarmus,Rictusempra,Expelliarmus
199,"In the book Harry Potter and the Chamber of Secrets, Tom Riddles diary falls into whose hands?
",Rons,Hermiones,Ginnys,Harrys,Ginnys
