,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
26,"Darth Sidious is portrayed in all of these Star Wars movies except this one.
",Star Wars Episode I: The Phantom Menace,Star Wars Episode III: Revenge of the Sith,Star Wars Episode II: Attack of the Clones,Star Wars Episode IV: A New Hope,Star Wars Episode IV: A New Hope
27,"This fictional TV character was Mikes wife, and a mother to Greg, Marcia, Peter, Jan, Bobby and Cindy.
",Marian Cunningham,Shirley Partridge,Mary Hartman,Carol Brady,Carol Brady
28,"This TV mom, who had a daughter named Gloria, was married to the working class bigot Archie.
",Carol Brady,Louise Jefferson,Marcia Brady,Edith Bunker,Edith Bunker
29,"This TV character and her husband Barney had an extremely strong son named Bamm Bamm.
",Carly Simon,Wilma Flintstone,Betty Rubble,Morticia Addams,Betty Rubble
30,"This TV moms son, Little Ricky, learned to sing Babalou like his dad, Ricky.
",Ethel Mertz,Mortica Addams,Lucy Ricardo,Marian Cunningham,Lucy Ricardo
31,"This TV mom was married to Herman, who caused more trouble than her son Eddie.
",Olivia Newton John,Carol Partridge,Mortica Addams,Lily Munster,Lily Munster
32,"Which widowed TV mother travelled around in a colorful bus with her children Keith, Laurie, Danny, Christopher and Tracy?
",Marian Cunningham,Shirley Partridge,Carol Brady,Mortica Addams,Shirley Partridge
33,"This TV personality and her husband Ward were the loving parents of Wally and the Beaver.
",Lily Munster,Edith Bunker,Marian Cunningham,June Cleaver,June Cleaver
34,"This TV mom and her husband Charles were busy raising Mary, Laura and Carrie in Walnut Grove, Minnesota.
",Mortica Addams,Marian Cunningham,June Cleaver,Caroline Ingalls,Caroline Ingalls
35,"Which TV mom moved to Manhattans Upper East Side with her son Lionel and her husband George?
",Edith Bunker,Carol Brady,Anne Jones,Louise Jefferson,Louise Jefferson
36,"Pugsley and Wednesday were the kids of this TV mom and her husband, Gomez.
",June Cleaver,Edith Bunker,Betty Rubble,Morticia Addams,Morticia Addams
37,"This red-haired TV character was the wife of Fred and the mother of Pebbles.
",Carrie Fisher,Betty Rubble,Wilma Flintstone,June Cleaver,Wilma Flintstone
38,"This TV mother divorced her husband and moved back to her hometown of Indianapolis with her two daughters, Julie and Barbara.
",Carol Partridge,Ann Romano Royer,June Cleaver,Carrie Fisher,Ann Romano Royer
39,"This TV mom and her husband Howard were the parents of Chuck, Richie and Joanie.
",Carol Brady,Marion Cunningham,Edith Bunker,Shirley Partridge,Marion Cunningham
40,"In The Pilot who is dressed as a bride and becomes a room mate to Monica?
",Phoebe,Janice,Chandler,Rachel,Rachel
41,"What was the nickname that never caught on for Ross?
",The divorcer,Fossil dude,Rossatron,Rossasaurous,Rossatron
42,"In the episode where everyone is up all night in season 7, why cant Phoebe go to sleep?
",The smoke detector keeps beeping,She is drunk in Vegas,She is going into labor,She has to much coffee,The smoke detector keeps beeping
43,"Who broke Chandlers barcalounger?
",Joey,Rachel,Chandler himself,Monica,Joey
44,"What is Rachels full name?
",Rachel Isabella Green,Rachel Karen Green,Rachel Emma Green,Rachel Lisa Green,Rachel Karen Green
45,"What friend never had a bike as a child?
",Phoebe,Monica,Chandler,Joey,Phoebe
46,"In the opening credits/theme song, what is the color of Joeys umbrella?
",Green,Black,Blue,Red,Blue
47,"What was Rosss son, Bens first word?
",Dog,Hi,How you doin?,Ma-ma,Hi
48,"How many chairs are around Monicas kitchen table?
",Five,Three,Four,Six,Four
49,"What number wife is Rachel to Ross?
",First,Second,Third,They never got married,Third
50,"What friend has a fear of dogs?
",Joey,Phoebe,Rachel,Chandler,Chandler
51,"How many Emmy Awards has the show Friends won for Outstanding Comedy Series?
",2,10,1,None,None
52,"Who does Rachel have a baby with?
",Tag,Joey,Chandler,Ross,Ross
53,"What actress plays Monica Geller?
",Kelly Rippa,Jennifer Aniston,Lisa Kudrow,Courteney Cox Arquette,Courteney Cox Arquette
54,"What is Joeys favorite food?
",Seafood,Lasagna,Pizza,Sandwiches,Sandwiches
55,"In what area of New York City do the Friends live?
",Soho,Tribeca,Greenwich Village,Chelsea,Greenwich Village
56,"How many seasons was Friends on the air for?
",10,9,7,8,10
57,"What friends cast member directed some of the episodes?
",Matthew Perry,Lisa Kudrow,David Schwimmer,Matt Le Blanc,David Schwimmer
58,"In Chandlers 50 states game, who forgot 14 of the 50 states?
",Monica,Phoebe,Rachel,Ross,Monica
59,"How many children did Monica and Chandler adopt?
",None,Triplets,Twins,One,Twins
60,"This 80s television show featured a family living in a brownstone in Brooklyn. The father was an obstetrician and the mother was a lawyer.
",The Cosby Show,Family Ties,Growing Pains,Too Close For Comfort,The Cosby Show
61,"This show, set in New York City at the High School For Performing Arts, was about students who wanted to become actors, musicians and dancers.
",You Can Do It If You Try,Fame,Talented Kids,Whiz Kids,Fame
62,"In this 80s television show, set in Columbus, Ohio, the parents (Steve and Elyse) had 4 children. Steve worked at a television station as a manager and Elyse was an architect.
",Family Ties,Family Matters,Family,Family Affair,Family Ties
63,"This 80s television series focused on a family that lived in the New York suburbs. The father was a psychiatrist and the mothers name was Maggie. They had 4 children with the oldest being Mike.
",Family Ties,Gimme A Break,Diffrent Strokes,Growing Pains,Growing Pains
64,"This 80s show, which was a box office smash for Goldie Hawn, tells the story of a New York socialite who decides to tackle the U. S. Army.
",Private Benjamin,Attention !!!!,Working Stiffs,Blanskys Girls,Private Benjamin
65,"This 80s show, that took place in the fictional town of Glen Lawn, California, was about a black housekeeper who took care of three teenage girls, whose father was a police chief.
",The Chief,Gimme A Break,Kojak,Just The Ten Of Us,Gimme A Break
66,"This 80s television series, set in Connecticut, was about a male housekeeper who worked for the president of an advertising agency.
",Whos the Boss?,Whos Watching The Kids,I Will Clean Your House,Just the Two Of Us,Whos the Boss?
67,"This 80s show was about a probationary angel named Jonathan. His unusual mission on earth was to bring love and understanding into the lives of people who were in trouble.
",Amen,Help The People,Highway to Heaven,Wings,Highway to Heaven
68,"What Canadian actor played Dr. Arthur Harmon in sitcom, Maude and than went on to star in Diffrent Strokes?
",Conrad Bain,Gordon Jump,Jerry Van Dyke,Danny Thomas,Conrad Bain
69,"Who played Detective Donahue on TV show, Soap?
",John Byner,Sal Viscuso,Robert Mandan,Richard Mulligan,John Byner
70,"What actor played Huggy Bear on the show Starsky and Hutch?
",Antonio Fargas,Thalmus Rasulala,Whitman Mayo,Snoop Dog,Antonio Fargas
71,"Who played Charlie Harrison on the sitcom, Fish?
",Barry Gordon,Jay North,Johnnie Whitaker,Rusty Hamer,Barry Gordon
72,"Who played Carrie on 70s TV show, Little House on the Prairie?
",Lindsay Sidney Greenbush,Lindsay  Greenbush,All of these,Sidney Greenbush,All of these
73,"Who played the role of Chuck on television sitcom, Happy Days?
",Don Grady,James Broderick,Gavan O Herlihy,Harold Lipschitz,Gavan O Herlihy
74,"What actor played Cousin Oliver on ABCs situation comedy, The Brady Bunch?
",Harry Hand,Robbie Rist,Michael Gray,Neil J. Schwartz,Robbie Rist
75,"Who played Keith on 1970s CBS sitcom, Good Times?
",Al Jarreau,Ben Powers,Len Powers,Gregory Abbott,Ben Powers
76,"Who sang the buoyant theme song for the CBS sitcom, The Jeffersons?
",Glodean James,Marla Gibbs,Janet DuBois,Patti Labelle,Janet DuBois
77,"On television miniseries, Rich Man, Poor Man Book 1, who played the role of Tom Jordache?
",Peter Strauss,Perry King,Nick Nolte,Gavan O Herlihy,Nick Nolte
78,"Which of these shows did Alan Hale Jr. play on?
",Bewitched,Gilligans Island,Dark Shadows,None of the above,Gilligans Island
79,"Which of these shows did Russell Johnson play on?
",Rosanne,Bewitched,Gilligans Island,Cosby,Gilligans Island
80,"Which of these shows did Milburn Stone play on?
",Gunsmoke,Bonanza,Dynasty,Good Times,Gunsmoke
81,"Which of these shows did Eve Plumb play on?
",Little House on the Prairie,Cosby,The Waltons,The Brady Bunch,The Brady Bunch
82,"Which of these shows did Anissa Jones play on?
",Bewitched,Good Times,Everybody Loves Raymond,Family Affair,Family Affair
83,"Which of these shows did Betty Lynn play on?
",Gilligans Island,Dark Shadows,The Andy Griffith Show,The Life of Riley,The Andy Griffith Show
84,"Which of these shows did Eddie Albert play on?
",The Love Boat,Green Acres,The Mod Squad,Alf,Green Acres
85,"Name the two main families in the TV series Soap, which ran on ABC from 1977 to 1981.
",The Tates and the Smiths,The Tates and the Campbells,The Campbells and the Bradys,The Campbells and the Nelsons,The Tates and the Campbells
86,"What were the first names of the Tuscadero sisters, portrayed by Suzi Quatro and Roz Kelly, on TV series, Happy Days?
",Leather and Suede,Leather and Pinky,Pinky and Blue,Black and Blue,Leather and Pinky
87,"In detective series Baretta, detective Tony Baretta lived in a run-down hotel with what pet?
","Fred, the cockatoo","Max, the Border Collie","Tink, the snake","Boz, the turtle","Fred, the cockatoo"
88,"On the sitcom Brady Bunch, Carol was a single mother before marrying Mike Brady, because her husband had been killed in a car accident.
",True,False,,,False
89,"What was Skipper Grumbys first name on TV sitcom, Gilligans Island?
",Jonas,Jonathon,John,Joseph,Jonas
90,"Jaime Sommers, the bionic woman who first appeared on TV series The Six Million Dollar Man, was nearly killed in an accident involving what?
",A car,A spacecraft,A parachute,Scuba diving,A parachute
91,"What actor played the character of Vinnie Barbarino on the sitcom, Welcome Back, Kotter?
",Patrick Duffy,Don Johnson,John Ritter,John Travolta,John Travolta
92,"What was the name of Radars dog in the 1972-1983 TV series, M*A*S*H?
",Soldier,Ranger,Trooper,Buck,Ranger
93,"Which actress played the oldest sister, Marcia Brady, on The Brady Bunch?
",Maureen McCormick,Ann B. Davis,Maureen McGovern,Florence Henderson,Maureen McCormick
94,"Which actor played the Skipper on the cult sitcom Gilligans Island?
",Jonas Quimby,Jonas Hale,Alan Thicke,Alan Hale,Alan Hale
95,"Steve Douglas, Mikes father on television series sitcom, My Three Sons was portrayed by actor Edwin R. Murray.
",False,True,,,False
96,"MTV super stars, Jessica and Ashlee Simpsons father used to be a youth minister at a church before managing their careers.
",False,True,,,True
97,"What actor portrays bumbling idiot deputy, Barney Fife, in The Andy Griffith Show?
",Jim Nabors,Don Knotts,George Lindsay,Andy Griffith,Don Knotts
98,"What Places in the Heart star also played the starring role of The Flying Nun in her earlier days?
",Meryl Streep,Cher,Sally Field,Cicely Tyson,Sally Field
99,"Baywatch hunk, David Hasselhoff, also starred in a TV detective series called Vegas.
",False,True,,,False
100,"Buddy Ebsen, who played Detective Barnaby Jones on the TV series Barnaby Jones, and Jed Clampett on the Beverly Hillbillies, served for 5 years as a lieutenant in what branch of the United States armed forces?
",United States Army,United States Coast Guard,United States Navy,United States Air Force,United States Coast Guard
101,"This TV mom, who was married to Darrin, had a daughter Tabitha and a son Adam.
",Jill Taylor,Samantha Stephens,Edith Bunker,Claire Huxtable,Samantha Stephens
102,"This blue-haired mom and her husband Homer had 3 kids, Bart, Lisa and Maggie.
",Edith Bunker,Thelma Harper,Marge Simpson,Betty Rubble,Marge Simpson
103,"This TV character and her spouse Tim The Tool Man were the parents of  Brad, Randy and Mark.
",Florida Evans,Maureen Robinson,Jill Taylor,Edith Bunker,Jill Taylor
104,"This hard-working TV mother and her husband James took care of their three children, J. J., Thelma and Michael.
",Thelma Harper,Roseanne Conner,Florida Evans,Isabel Sanford,Florida Evans
105,"This TV mom and her husband John struggle to live a decent life during the Great Depression and the Second World War, taking care of their seven kids, John Boy, Mary Ellen, Jason, Erin, Ben, Jim Bob and Elizabeth.
",Jill Taylor,Marge Simpson,Olivia Walton,Betty Rubble,Olivia Walton
106,"Which TV sharp-tongued widow had a son, named Vinton?
",Edith Bunker,Shirley Partridge,Thelma Harper,Lois Wilkerson,Thelma Harper
107,"This TV character, who is a trained biochemist, and her husband John are the parents of  Judy, Penny and Will.
",Claire Huxtable,Maureen Robinson,Thelma Harper,Elizabeth Montgomery,Maureen Robinson
108,"This TV mom and her husband Cliff live in in Brooklyn, New York with their kids Sondra, Denise, Theo, Vanessa and Rudy.
",Carol Brady,Jill Taylor,Isabel Sanford,Claire Huxtable,Claire Huxtable
109,"This TV mom and her husband Hal are the parents of Francis, Reese, Malcom, Dewey and Jamie.
",Samantha Stephens,Lois Wilkerson,Wilma Flintstone,Jane Curtin,Lois Wilkerson
110,"This bossy and dominant TV character and her easy-going husband Dan have three children, Becky, Darlene, and DJ.
",Anne Romano,Olivia Walton,Thelma Harper,Roseanne Conner,Roseanne Conner
111,"What year did the popular sitcom Happy Days first hit the airwaves?
",1969,1974,1970,1968,1974
112,"Ralph Malph, the chracter from Happy Days who left with Richie to join the army, was played by which actor?
",Donny Most,Anson Williams,Randolph Roberts,Gavan O Herlihy,Donny Most
113,"What high school did the gang from the sitcom Happy Days attend?
",Cleveland,Fillmore,Jefferson,Madison,Jefferson
114,"The sci-fi-based sitcom Mork and Mindy was a spinoff from the 70s show Happy Days.
",False,True,,,True
115,"What was the name of Fonzies girlfriend, portrayed on the show Happy days by actress Roz Kelly?
",Laverne,Dawn,Phoebe,Pinky,Pinky
116,"What was the last name of Chachi, the character from Happy Days, who eventually married Joanie Cunningham?
",Fonzarelli,Arcola,DeMartino,Cappiacola,Arcola
117,"On the ABC show Happy Days, Richie got married to Lori Beth, who was portrayed by which actress?
",Linda Lavin,Lynda Purl,Lynda Goodfriend,Linda Schwartz,Lynda Goodfriend
118,"On the sitcom Happy Days, Fonzie worked as a mechanic in which garage?
",Casperellis Repair Shop,Pinkys Fix  It Fast,Arthurs  Auto Shop,Broncos Garage,Broncos Garage
119,"Who played the part of Fonzies father in the ABC TV series Happy Days?
",Cesar Romero,Joey Bagadonuts,Vicent Gardenia,Al Molinaro,Cesar Romero
120,"What was the name of the oldest Cunningham brother on the show  Happy Days?
",Chuck,Mitch,Bobby,Billy,Chuck
121,"This character from the popular sitcom Happy Days was a waitress on roller skates, played by Beatrice Cohen.
",Jan,Marsha,Cindy,Carol,Marsha
122,"Heather O Rourke who played the little girl in Poltergeist was a regular cast member of the 70s hit show Happy Days.
",True,False,,,True
123,"Who played the role of  Police Officer Jon Baker on the hit show CHiPs, which hit the airwaves in 1977?
",Bruce Penhall,Robert Pine,Larry Wilcox,Paul Linke,Larry Wilcox
124,"This actor played the role of Nels Oleson, the proprietor of the towns general store, in the TV series Little House on the Prairie.
",Kevin Hagen,Michael Landon,Richard Bull,Dabs Greer,Richard Bull
125,"Which Emmy-winning actor portrayed detective Dan Tanna on the 70s show  Vegas?
",David Hasselhoff,Sam Elliot,Greg Evigan,Robert Urich,Robert Urich
126,"Who played the role of Lt. Bill Crowley on the hit television show Police Woman, that ran from 1974 to 1978?
",Jerry Reed,Val Bisoglio,Earl Holliman,Dave Madden,Earl Holliman
127,"Which Canadian actor starred on the sitcom Diffrent Strokes as the rich widower Phillip Drummond?
",Robert Conrad,Conrad Janis,Conrad Bain,William Conrad,Conrad Bain
128,"This African-American actor played the role of Grady Wilson on the sitcom Sanford and Son, which debuted on NBC in 1972.
",Slappy White,Don Bexley,Demond Wilson,Whitman Mayo,Whitman Mayo
129,"The Facts of Life was the only spin-off from the popular television show Diffrent Strokes.
",True,False,,,False
130,"Who starred on the sitcom Alice as the neurotic and feather-brained Vera?
",Polly Holliday,Beth Howland,Celia Weston,Diane Ladd,Beth Howland
131,"Phillip McKeon, who played Alices son Tommy Hyatt on the show Alice, is a relative of Nancy McKeon.
",False,True,,,True
132,"Who played the role of  Lori Beth Allen on the sitcom Happy Days, that debuted on ABC in 1974?
",Cathy Silvers,Linda Purl,Crystal Bernard,Lynda Goodfriend,Lynda Goodfriend
133,"In episode #48 of the sitcom The Brady Bunch, entitled  Alices September Song, Alice gets a visit from an old boyfriend whose name is what?
",Mark Millard,Sam  Dabutcher,Mike Gregory,John Stephenson,Mark Millard
134,"What was the name of Cindys beloved doll in the The Brady Bunch?
",Baby This and That,Mrs. Beasley,Kitty Karryall,Tiffany Taylor,Kitty Karryall
135,"This actor portrayed Sam the Butcher, a recurring character in the TV series, The Brady Bunch.
",Joe E. Ross,Allan Melvin,Jerry Van Dyke,Carroll  OConnor,Allan Melvin
136,"This actor is famous for playing the role of Peter Brady on the sitcom, The Brady Bunch.
",Michael Knight,Ted Knight,Barry Williams,Christopher Knight,Christopher Knight
137,"In Getting Gregs Goat, an episode of The Brady Bunch, Greg steals the goat Raquel, mascot of which rival school?
",Millard Fillmore High School,Carver High School,Coolidge High School,James Madison High School,Coolidge High School
138,"This character, played by Robbie Rist is Carols nephew, who appeared in the final season of  The Brady Bunch.
",Stan,Oliver,Sigmund,Jason,Oliver
139,"In 54-40 and Fight, an episode of The Brady Bunch,  the kids collect trading stamps and decide who will keep control over all stamps, using what type of contest?
",3 legged race in the backyard,Building a house of cards,Doing chin ups on the swing set,Bicycle race,Building a house of cards
140,"What was Carols full name before she married Mike Brady in the pilot episode of The Brady Bunch?
",Carol Luise Anderson,Carol Tyler Martin,Carol Anderson Bradford,Carol Brown Whitaker,Carol Tyler Martin
141,"This actress portrays Aunt Jenny in an episode of the The Brady Bunch, entitled Jans Aunt Jenny.
",Natalie Schaefer,June Lockhart,Frances Whitfield,Imogene Coca,Imogene Coca
142,"This actress, who as an adult got into graphic design, played the role of Cindy, one of Carols daughters on The Brady Bunch.
",Cynthia Olsen,Susan Olsen,Mary Kate Olsen,Nellie Olsen,Susan Olsen
143,"What year did the long-running television show Cheers  first hit the airwaves?
",1980,1979,1982,1984,1982
144,"Sam Malone, the bartender and owner of the eponymous bar on the show Cheers, was a former major league pitcher. What was his nickname as a player?
",Mayday Malone,Sam the Man,The Mighty Malone,Strike em Out Sammy,Mayday Malone
145,"Who played the role of the blond waitress Diane Chambers in the 80s TV series Cheers?
",Shelley Long,Kirstie Alley,Jackie Swanson,Diane Lane,Shelley Long
146,"The television show Frasier was a spinoff of the sitcom Cheers.
",True,False,,,True
147,"On the sitcom Cheers, actress Rhea Perlman played the role of Carla. What was Carlas last name?
",Esposito,Tortelli,Gianculli,Farlow,Tortelli
148,"What was the name of  Woody Boyds girlfriend on the show Cheers?
",Nelly,Shelley,Michelle,Kelly,Kelly
149,"What was the maiden name of Frasier Cranes wife Lilith, portrayed on the show Cheers by Bebe Neuwirth?
",Schwartz,Tannenbaum,Sternin,Goldschmidt,Sternin
150,"Hall of Fame baseball player Wade Boggs appeared on the NBC sitcom Cheers.
",True,False,,,True
151,"What is the theme song of the TV show Cheers, performed by Gary Portnoy?
",Love and Marriage,Do You Remember Me,Where Everybody Knows Your Name,I Love You,Where Everybody Knows Your Name
152,"What year did the popular NBC show Cheers go off the air?
",1993,1997,1992,1994,1993
153,"Which New York City school did Archie Bunker from TV series, All in the family attend?
",Long Island City,William Cullen Bryant,James Madison,Grover Cleveland,William Cullen Bryant
154,"In what year did the popular sitcom All in the Family first hit the airwaves?
",1972,1969,1970,1971,1971
155,"In the sitcom All in the family, Archie Bunker was a dock foreman for what company?
",Bills bait and Tackle,Johnny Estradas Hardware Goods,Freemans  Bait and Tackle,Prendergast Tool and Die company,Prendergast Tool and Die company
156,"In TV series All in the Family, the Bunkers resided at what address?
",22-20 77th Street,23-34 Dorothy Place,1313 Mockingbird Lane,704 Houser Street,704 Houser Street
157,"In the series All in the Family, what nickname was given to Michael Stivic by his father-in-law, Archie Bunker?
",Dummy,Dingbat,Big Butt,Meathead,Meathead
158,"This character from All in the Family, played by actress Danielle Brisebois, was adopted by the Bunkers.
",Stephanie,Billie,Gloria,Millie,Stephanie
159,"In season four of  All in the family, Betty Garrett and Vincent Gardenia played the Bunkers new next-door neighbors, whose last name was what?
",Esposito,Lorenzo,Cappiacola,LaRocca,Lorenzo
160,"What was the name of the bar, that Archie Bunker used to frequent in All in the family?
",Kelseys Bar,The Manor Lounge,Murrays Bar and Grill,O Neills Pub,Kelseys Bar
161,"The sitcom, All in the Family is based on what British TV series?
",Honey I Love You,Archibald And Edith,Till Death Do Us Part,The British Are Coming,Till Death Do Us Part
162,"Which African-American couple lived next to the Bunkers on All in the Family?
",The Montgomerys,The Johnsons,The Whites,The Jeffersons,The Jeffersons
163,"Amy has one brother, but he has been called two different names.  He is mentioned and seen once in an early season. In later seasons he appears with a different name.  What are the two names he has been referred to as?
",A. Peter  Rusty,C. Rusty  Russell,B. Peter  Russell,D. Russell  Ryan,B. Peter  Russell
164,"After Deborahs parents divorce, they visit for Thanksgiving.  What does Ray witness that creeps him out?
",Warren watching an adult movie.,Warren  Lois in bed together.,Lois kissing Robert.,Warren in bed naked.,Warren  Lois in bed together.
165,"What was Roberts ex-wifes name as an exotic dancer in Atlantic City?
",Peppermint,Cinnamon,Honey,Bambi,Cinnamon
166,"After Marie drives the car into Ray and Deborahs house, why does Ray get so upset when it is repaired?
",Deborah doesnt think it looks the same as before.,Frank wont pay for it.,The stripes on the new wallpaper are different.,The window is moved over.,The stripes on the new wallpaper are different.
167,"How did Robert get injured on the job?
",He was attacked by a rabid dog.,He fell in a manhole.,He was gored by a bull.,He was shot during a robbery.,He was gored by a bull.
168,"Where was Deborah working when she met Raymond?
",For the New York Mets.,"At the Hunt, Rogers and Snyder law firm.",For the New York Rangers.,At The Charlotte Sterling Advertising Agency.,For the New York Rangers.
169,"What did Robert get Amy for their first Valentines Day together.
",Iguana,Puppy,Flowers,A necklace,Iguana
170,"Where did Frank say he learned to play ping pong?
","In Korea, during the war.",In college.,From his father.,At the lodge.,"In Korea, during the war."
171,"Who does Ray get into a fight with when he takes Allie to sell Campfire Girl Cookies?
",Allie,"The Troop leader, Peggy",A neighbor,A business owner,"The Troop leader, Peggy"
172,"What indiscretion does Deborah commit during college that ended up on the front page of the paper?
",She got drunk.,She went to a nude beach.,She got arrested for lewd behavior.,She got topless at Mardi Gras.,She got topless at Mardi Gras.
173,"When Raymond is seen swing dancing at a club, what does a woman comment that may be wrong with him.
",A seizure.,He is mentally challenged.,An inner ear problem.,Body spasms.,An inner ear problem.
174,"This TV cartoon character used the catchphrase HEY HEY HEY starting in 1972.
",Fat Albert,Scooby Doo,Underdog,Archie Andrews,Fat Albert
175,"Danger, Will Robinson was heard each week on this science fiction show back in 1965.
",Johnny Quest,Mannix,Its About Time,Lost in Space,Lost in Space
176,"This show, set in Chicago, featured a character who used the catchphrase Dyn-o-mite.
",The Mary Tyler Moore Show,Good Times,The Dick Van Dyke Show,Barnaby Jones,Good Times
177,"Godll get you for that was the catchphrase of Edith Bunkers cousin who appeared on which of these shows?
",Maude,Columbo,The Jackie Gleason Show,The Waltons,Maude
178,"Is that your final answer was said in each episode by the host of what game show?
",Jeopardy,Who Wants To Be Millionaire,Match Game P.M.,The Wheel Of Fortune,Who Wants To Be Millionaire
179,"The one-word catchphrase Stifle! was addressed to Edith Bunker weekly on what TV show?
",Mannix,Good Times,All in the Family,The X-Files,All in the Family
180,"Baby, youre the greatest could be heard from a New York bus driver on what show?
",The A-Team,The Honeymooners,Bonanza,Gunsmoke,The Honeymooners
181,"The catchphrase Good night, John Boy could be heard at the end of each episode of this family show.
",The Waltons,Leave it to Beaver,Sanford and Son,The Honeymooners,The Waltons
182,"At the end of most episodes of this show, Steve McGarrett would say Book em Danno.
",Barney Miller,Hawaii Five - 0,Mannix,The Andy Griffith Show,Hawaii Five - 0
183,"Come on down is a catchphrase heard on this game show hosted by Bob Barker.
",The Price Is Right,Blockbusters,Super Password,Lingo,The Price Is Right
184,"What 70s television show featured three waitresses who worked at a diner in Phoenix, Arizona?
",Roseanne,Alice,Gimme a Break,Food for Thought,Alice
185,"This controversial television show, which was the hit of 1977, centered around two families - the Tates and the Campbells.
",Mamas Family,Soap,Love Sidney,Im A Big Girl Now,Soap
186,"This 70s television, patterned after the hit series Love, American Style, consisted of sketches dealing with love of all types, young and old, married and unmarried. All of the stories took place on a luxury cruise ship.
",Love Connection,Fantasy Island,Blanskys Beauties,The Love Boat,The Love Boat
187,"This 70s television show, set in Pasadena, California, focused on a middle class family, the Lawrences. The father Doug Lawrence was a lawyer.
",Eight Is Enough,Family,Family Affair,Family Matters,Family
188,"This 70s television show was centered around a husband and wife who were supersleuths. Jonathan was a self-made millionaire and his wife Jennifer was a freelance journalist.
",Just the Two Of Us,Love And Marriage,To Catch a Thief,Hart to Hart,Hart to Hart
