,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
64,"What is the title, given to employees at Disney World?
",Disney Friends,Directors,Mickey Mouse Helpers,Cast Members,Cast Members
65,"Which of the following statements is a true fact about Disney World?
","There is a tree farm on the Disney property, so that when a tree in one of the parks dies, it can be replaced by another mature tree.",All of the above.,The streets of Disney are steam cleaned every night after the parks close.,Gold leaf paint is used to paint the carousel horses.,All of the above.
66,"How many resorts are there on the Disney World property?
",35,32,17,24,32
67,"World Showcase is a part of Epcot that highlights different countries and cultures.  Which of the following countries is not in the Showcase?
",Morocco,Mexico,France,Spain,Spain
68,"The Twilight Tower of Terror is a free fall thrill ride located in Hollywood Studios.  It is based on a television show from the 1950s.  What was the name of that show?
",Tales From the Crypt,The Alfred Hitchcock Show,Goosebumps,The Twilight Zone,The Twilight Zone
69,"What is the main icon of the Animal Kingdom park?
",The Tree of Life,Habitat Habit,Silverback Gorillas,Dinosaur Ride,The Tree of Life
70,"Which of the four parks is the largest single Disney theme park in the world?
",Epcot,Magic Kingdom,Animal Kingdom,Hollywood Studios,Animal Kingdom
71,"Dilbert from the self-titled comic strip is an engineer who graduated from MIT. What type of engineering degree does Dilbert have?
",Electrical,Chemical,Civil,Mechanical,Electrical
72,"Which of the following is not one of the characters that live in Dilberts house in the comic strip Dilbert?
",Ratbert,Dogbert,Catbert,Bob the Dinosaur,Catbert
73,"Which of the following is not a word/term created by Scott Adams for the comic strip Dilbert?
",synergy,splendsmartful,Induhvidual,frooglepoopillion,synergy
74,"In the comic strip Dilbert, the real name of Dilberts pointed-haired boss is Phil.
",False,True,,,False
75,"Who is the brother of the pointed-haired boss in the comic strip Dilbert?
","Ted, the Generic guy","Phil, Prince of Insufficient Light","Yuri, the Elbonian",Techno Bill,"Phil, Prince of Insufficient Light"
76,"What is the name of Dilberts coworker in the comic strip Dilbert, who believes he has psychic powers?
",Asok,Wally,Carol,Alice,Asok
77,"What is the name of Dilberts sometimes girlfriend in the comic strip Dilbert?
",Tina,Alice,Carol,Liz,Liz
78,"Which wrestler is famous for using a move called the Pedigree?
",John Cena,Triple H,Edge,Randy Orton,Triple H
79,"Dave Animal Batistas famous ending move is called the Batista Drop.
",False,True,,,False
80,"The FU is the signature move of this wrestler, who also performs a pre-ending move called U Cant See Me.
",The Undertaker,Jeff Hardy,John Cena,Edge,John Cena
81,"Which finishing move is most notably performed by Shawn Michaels?
",Sweet Chin Music,Swing Chin Music,Warming up the Band,Sweet Cheyenne Music,Sweet Chin Music
82,"What is the signature finishing move performed by EDGE of SmackDown?
",the Spoke,the Poke,the Spear,the Spike,the Spear
83,"Which WWE champion has two signature moves called the Swanton Bomb and the Twist of Fate?
",Chris Jericho,Matt Hardy,Jeff Hardy,CM Punk,Jeff Hardy
84,"What is the ending move used by former champion Randy Orton called?
",Panther,the Legend Killer,RKO,TKO,RKO
85,"What is The Undertakers signature finishing move?
",Graveyard Smash,Death Wish,Tombstone Pile Driver,Casket Drop,Tombstone Pile Driver
86,"Which former WWE champion uses a move called Codebreakerr?
",Chris Jericho,Randy Orton,CM Punk,Santino Morales,Chris Jericho
87,"In the music video game Guitar Hero 3, what is the encore song you play in the first set of songs?
",Rock All Night,Cult of Your Personality,Rage Against the Machine,The Devil Went Down to Georgia,Rock All Night
88,"There are five unlockable characters in the music video game Guitar Hero 3.
",False,True,,,True
89,"How many songs excluding the encores are there in Guitar Hero 3?
",32,16,27,30,32
90,"Slash, a character in the Guitar Hero 3 music video game, is also a real life musician that became popular with which of these bands?
",AFI,Dragonforce,Korn,Guns N Roses,Guns N Roses
91,"Music video game Guitar Hero 3 is rated T for teen.
",False,True,,,True
92,"In Guitar Hero 3, 鈥淏ulls on Parade by Rage Against the Machine is the third encore song.
",True,False,,,False
93,"Who is the last boss in the music video game Guitar Hero 3?
",Lou,Slash,Billy,Bob,Lou
94,"In what year was the debut of the comic strip Hagar the Horrible?
",1968,1965,1973,1970,1973
95,"Hagar the Horrible from the comic strip of the same name had his own short lived line of beer called Hagars Viking Beer which was pulled off the shelves due to lack of sales.
",False,True,,,False
96,"Shortly after its creation the Hagar the Horrible comic strips distributed to how many newspapers worldwide?
","1,900","2,400","3,000",800,"1,900"
97,"In how many countries were the Hagar the Horrible comic strips strip distributed?
",32,58,120,84,58
98,"How many languages were the Hagar the Horrible comics printed in worldwide?
",9,13,24,20,13
99,"What kind of radiation was Dr. Banner exposed to that causes him to turn into the Hulk?
",Beta,Gamma,Delta,Alpha,Gamma
100,"In what year did The Incredible Hulk debut?
",1965,1960,1971,1962,1962
101,"What year saw the debut of The Incredible Hulk TV series?
",1982,1975,1978,1980,1978
102,"In the 1989 TV movie The Trial of he Incredible Hulk, the Hulk co-stars with what fellow superhero?
",Spider-man,Thor,Captain America,Daredevil,Daredevil
103,"Who were the creators of comics superhero Aquaman?
",Steven Crane and Walt Ambroli,Paul Norris and Mort Weisinger,John Hopkins and Mort Weisinger,Paul Norris and Steven Crane,Paul Norris and Mort Weisinger
104,"What famous comic book company published Aquaman Comics?
",More Fun Comics,Marvel Comics,DC Comics,Action Comics,DC Comics
105,"Aquamans enemy the Ocean Master was his own father.
",False,True,,,False
106,"Did comics character Aquaman ever have a child?
",No,Yes,,,Yes
107,"What was the name of Aquamans girlfriend and eventual wife?
",Mera,Sea Queen,Aquatica,Madeline,Mera
108,"Which of these was not one of Aquamans amazing powers?
",Communicating with all forms of sea life.,Breathing under water,Having complete control over water,Super High Speed Swimming,Having complete control over water
109,"How long could Aquaman survive out of water?
",Forever,One Hour,Half an Hour,2 Hours,One Hour
110,"Comics superhero Aquaman was one of the founding members of The Justice League of America.
",True,False,,,True
111,"In the comic strip FoxTrot, what is the name of the only girl in the Fox family?
",Sarah,Piage,Page,Paige,Paige
112,"Does FoxTrot character Jason ever joke that it is 25 degrees out?
",Yes,No,,,No
113,"In the comics FoxTrot, Roger Fox is writing a novel.
",True,False,,,True
114,"Does Andy and Rogers daughter get notes in her locker in FoxTrot?
",No,Yes,,,Yes
115,"What is the name of Peters girlfriend in the comics FoxTrot?
",Ashley,Sarah,Abbey,Denise,Denise
116,"Which of the following best describes Andy and Roger鈥檚 youngest child in the comics FoxTrot?
",A jock,A nerd,A sports addict,A TV addict,A nerd
117,"Has FoxTrot character Jason developed a plan for a Star Trek-themed amusement park?
",Yes,No,,,No
118,"What Batman villain formerly worked as a zoologist?
",Poison Ivy,The Penguin,ManBat,Killer Croc,ManBat
119,"What super villain once broke Batmans back, leaving him crippled and wheelchair-bound?
",Clayface,Bane,Killer Croc,Ras Al Ghul,Bane
120,"What year was the character of Robin first introduced?
",1940,1950,1941,1951,1940
121,"Who is credited with creating Batman?
",Joe Shuster,Bob Kane,Jack Kirby,Jerry Siegel,Bob Kane
122,"In Detective Comics #267, a magical Kobold from another dimension decides to help Batman fight crime--what was his name?
",Bat-Mite,Bat-Dwarf,Mr Mxyztplk,Martian Manhunter,Bat-Mite
123,"What was Bat-hounds name?
",Lucky,Champ,Ace,Burt,Ace
124,"What were the names of Bruce Waynes parents?
",Thomas  Martha,James  Elizabeth,Wayne  Alice,George  Elaine,Thomas  Martha
125,"The original Batgirl was related to what familiar Batman character?
",Alfred,Batwoman,The Joker,Commissioner Gordon,Batwoman
126,"Which of these Bat-villains was introduced first?
",The Riddler,Mr. Freeze,The Penguin,Catwoman,Catwoman
127,"What was Alfred the butlers original family name?
",Chatsworth,Chapman,Beagle,Windham,Beagle
128,"How many health points does the Mountian Giant unit have?
",1400,1500,1600,1200,1600
129,"What hero does the phrase Moonlight shines upon the guilty and the innocent alike belong to?
",Maiev Shadowsong,Jeana Proudmoore,Tyrande Whisperwind,Naisha,Naisha
130,"Who is the leader of the Burning Legion?
",Archimond,Death Prince Arthas,Tichondrius,Varimathras,Archimond
131,"What is the name of the well from which Night Elfs originally obtained their magical powers?
",MoonWell,Well of Magic,Well of Eternity,Well of Power,Well of Eternity
132,"What hero or unit does the this phrase belong to?
",Muradin Bronzebeard,Knight,Mountian Giant,Dwarf Rifleman,Muradin Bronzebeard
133,"Who is Tyrande Whisperwind in love with?
",Malfurion Stormrage,Cenarius Stormage,Prince Arthas,Illidan Stormrage,Malfurion Stormrage
134,"In Warcraft III:The Frozen Throne, Illidan Stormrage works for?
",Tichondrius,Kiljaeden,Sargeras,Archimond,Kiljaeden
135,"What is the name of the creator of Bloom County?
",Berkely Brethed,Simon Pimon,Chris Claremont,Charle Schultz,Berkely Brethed
136,"What was the name of the penguin in Bloom County?
",Sandoval,Opus,Big Bertha,Salmoneus,Opus
137,"In Bloom County, Milo Bloom was a 10-year-old reporter for The Bloom Chronicle.
",True,False,,,False
138,"What was the name of the hard rock band formed by lawyer Steve Dallas in the Bloom County comic strip?
",The Raiders,Deathtongue,Opus and the Orangeheads,Billy and the Boingers,Deathtongue
139,"Who did Opus marry in the comic strip Bloom County?
",Nola Spinuzzi,Lola Granola,Rona Amonia,Ima Petunia,Lola Granola
140,"Bloom County character Opus has appeared in two other comic strips titled Neverland and Opus.
",True,False,,,False
141,"What was the name of the feminist school teacher in Bloom County?
",Bobbie Simmons,Bobbie Harlowe,Bobbie Jo,Bobbie Smith,Bobbie Harlowe
142,"There was a TV Christmas special that centered on the famous comic strip character Opus.
",True,False,,,True
143,"In the comic strip Bloom County, Bill the cat became a televangelist. What was his name?
",Oral Bill,Fundamentally mental Bill,Bill Roberts,Fundamentally Oral Bill,Fundamentally Oral Bill
144,"What year did Andy Capp make his comic strip debut?
",1969,1957,1963,1972,1957
145,"Which of these is NOT one of Andy Capps hobbies?
",Pigeon Racing,Gambling,Hunting,Drinking,Hunting
146,"There was once a musical based on the Andy Capp comic strip.
",True,False,,,True
147,"Who are Andy Capps best friends and neighbors?
",The Smiths,The Ritsons,The Blacks,The Whites,The Whites
148,"What country are the Andy Capp comic strips set in?
",Britain,Ireland,America,Canada,Britain
149,"Cartoon character Andy Capp has a son.
",True,False,,,True
150,"In what year did the Andy Capp comic strips reach the U.S.?
",1959,1963,1960,1971,1963
151,"Which one of these comics was the first comic Jim Davis created?
",The Life of Jon Arbuckle,Gnorm Gnat,Farm Life,Garfield,Gnorm Gnat
152,"When did the comic strip Garfield come out?
",1978,2000,1952,1995,1978
153,"Is it true that the comic strip Garfield inspired a CD titled Am I Cool or Not?
",No,Yes,,,No
154,"Who is Garfields on and off girlfriend?
",Nermal,Arlene,Liz,Irma,Arlene
155,"Is it true that Nermal, who makes unannounced visits into Garfields home, is a male kitten?
",Yes,No,,,Yes
156,"Who is the fictional dog that gets pushed around by Garfield?
",Odie,Jon,Fido,Irma,Odie
157,"Who is the Garfields owner on the popular comic strip?
",Dr. Liz Wilson,Jon Arbuckle,Clive,Jim Davis,Jon Arbuckle
158,"What is the profession of Irma, one of the supporting characters on the comic strip Garfield?
",cook,waitress,vet,She is unemployed.,waitress
159,"What is the name of Garfields veterinarian on the self-titled comic strip?
",Liz Arbuckle,Liz Wilson,Liz Davis,Julie Payne,Liz Wilson
160,"This ancient circus, situated between the Palatine and Aventine hills, was both the first and the largest circus in Rome.
",Circus of Maxentius,Circus Maximus,Circus Neronis,Circus Flaminius,Circus Maximus
161,"Who was the creator of the French circus, who is also thought to be one of the creators of modern circus?
",Paul Fratellini,Antonio Franconi,Pierrot Bidon,Arthur Vercoe Pedlar,Antonio Franconi
162,"In which state did the first circus building in the USA open in 1793?
",Pennsylvania,California,Illinois,Oklahoma,Pennsylvania
163,"What was typical for the Cirque nouveau or the New Circus that developed in the 1970s in France, Australia, the USA.and the UK?
",all of these,It consisted mainly of dangerous stunts.,No animals were used.,It used multimedia and laser shows.,No animals were used.
164,"What is the presenter of a traditional circus show called?
",coiffeur,contortionist,chapeaugrapher,ringmaster,ringmaster
165,"O and Ovo are among the shows performed by this circus group founded in 1984.
",Cirque du Soleil,Circus Smirkus,Circus Amok,Archaos,Cirque du Soleil
166,"Name the Frenchman who invented the flying trapeze in 1859.
",Monty Python,Guy Lalibert茅,Daniel Gauthier,Jules Leotard,Jules Leotard
167,"Which traveling circus of the early 20th century, based in Peru, Indiana, was the inspiration for Cathy Days novel The Circus in Winter?
",Shrine Circus,Cirque dhiver,The Bertram Mills Circus,The Hagenbeck-Wallace Circus,The Hagenbeck-Wallace Circus
168,"Which of these is the name of an old British circus dynasty that toured Europe and the Far East with their shows?
",Forepaugh,Ashton,Chipperfield,Barnum,Chipperfield
169,"What circus was founded in 1995 by a duo named Fireplay?
",Silvers Circus,Albert  Friends Instant Circus,The Bindlestiff Family Cirkus,Chipperfields Circus,The Bindlestiff Family Cirkus
170,"Who sidelined WWE wrestler John Cena for 4 months, because of a torn pectoral muscle?
",Randy Orton,HHH,Umaga,Mr. Kennedy,Randy Orton
171,"The WWE wrestlers Jeff Hardy and Matt Hardy tag-team with each other a lot.
",False,True,,,False
172,"This Diva was one of the best WWE Divas ever, but unfortunately, she retired in 2007.
",Stacy Keibler,Trish Stratus,Ashley,Lita,Lita
173,"WWE wrestler Triple H is the brother of Stephanie McMahon.
",True,False,,,False
174,"WWE DIVA Ashley was actually born in Los Angles, California.
",Yes,No,,,No
175,"Who did WWE wrestler Matt Hardy lose his love interest Lita to?
",John Cena,John Morrison,Edge,Batista,Edge
176,"When did WWE wrestler Ric Flairs career end?
",March 17 2008,"February 27, 2008",March 24 2008,March 31 2008,March 31 2008
177,"At Wrestlemania 24, it came down to Y2J, Chris Jericho and CM Punk in the Money In The Bank ladder match and CM Punk won.
",False,True,,,True
178,"The Marvel character Anubis is also known as The Guardian of the Veil .
",False,True,,,True
179,"In the Marvel comics universe, Horus is the God of fire.
",True,False,,,False
180,"Marvel character Zeus ruled the underworld.
",True,False,,,False
181,"Seth is the Egyptian god of evil and death in the Marvel Comics universe.
",False,True,,,True
182,"On what radio station do the Junkies broadcast?
",WAVA,NPR,WTOP,WJFK,WJFK
183,"Which of the following is NOT one of the four Junkies?
",John Auville,Eric Bickel,JP Flaim,Bruce The Hugger,Bruce The Hugger
184,"Johnny Cakes Auville once stayed in a coffin in order to win a bet.
",False,True,,,True
185,"According to the Junkies, what is the practice of inebriated love making immediately followed by redistribution of wealth and treating your friends to breakfast called?
",the devil inside,escapade,barracuda,sturching,sturching
186,"If someone well-versed in Junkies Lingo says that someone or something is a show, it is a positive thing.
",False,True,,,False
187,"Which Junkies ersatz nickname is The Latin Donkey?
",JP,EB,Lurch,Cakes,JP
188,"On Fridays, Big Daddy Kev comes in for a segment on the morning Junkies show to talk about fantasy sports.
",True,False,,,False
189,"What is the first tubular steel track roller coaster?
",Revolution Six Flags Magic Mountain,Storm Runner Hershey Park,"Matterhorn Bobsleds, Disneyland",Corkscrew Knotts Berry Farm,"Matterhorn Bobsleds, Disneyland"
190,"What is the first amusement park with four roller coasters that are taller than 200 feet (61 m)?
","Kings Dominion Doswell, Virginia, USA","Canadas Wonderland Vaughan, Ontario, Canada","Cedar Point Sandusky, Ohio, USA","Six Flags Magic Mountain Valencia, California, USA","Cedar Point Sandusky, Ohio, USA"
191,"What was the first looping roller coaster?
","Corkscrew, Knotts Berry Farm, Buena Park, California.","Centrifugal Railway, Frascati Garden, Paris","Carolina Cyclone, Carowinds, North Carolina","Revolution, Six Flags Magic Mountain, Valencia, California","Centrifugal Railway, Frascati Garden, Paris"
192,"What was the first roller coaster to reach a height of 100 ft?
","Cyclone, Revere Beach, Revere, Massachusetts, United States","Drop-The-Dips, Coney Island","Centrifugal Railway, Frascati Garden, Paris","Gravity Pleasure, Coney Island, Brooklyn, New York","Cyclone, Revere Beach, Revere, Massachusetts, United States"
193,"There has never been a wooden roller coaster with an inversion.
",True,False,,,False
194,"What is the first modern roller coaster to have a vertical loop?
","Shockwave, Six Flags Great America, Gurnee, Illinois, United  states","Dragon Khan, Port Aventura, Salou, Spain","Revolution, Six Flags Magic Mountain, Valencia, California","Corkscrew, Knotts Berry Farm, Buena Park, California","Revolution, Six Flags Magic Mountain, Valencia, California"
195,"Who is the mascot for Indiana Beach?
",IB Crow,Beach Bird,Indiana Jones,Hoosier Hawk,IB Crow
196,"Which roller coaster was Indiana Beachs first?
",Cornball Express,Tigrr,Galaxy,Steel Hawg,Galaxy
197,"In addition to the sandy beach, Indiana Beach also has a large waterpark.
",True,False,,,True
198,"Which of the following is not a lodging option at Indiana Beach?
",Cottages,Time-shares,Camping,Motel,Time-shares
199,"What year did Indiana Beach open?
",1996,1929,1955,1926,1926
200,"What is the Shafer Queen?
",Fine dining restaurant,Mini golf course,Antique auto,River boat,River boat
201,"What is the Indiana Beach slogan?
",A beach in the middle of nowhere,A beach in the middle of a corn field,Come and walk on the boardwalk!,Theres more than corn in Indiana.,Theres more than corn in Indiana.
202,"Indiana Beach has a water and ski show.
",True,False,,,True
203,"What type of walk-through attraction at Indiana Beach was voted the worlds #1 in 2006?
",a house of mirrors,a petting zoo,a haunted house,a funhouse,a haunted house
204,"What is Judge Dredds first name?
",Guido,"None of these, nobody knows his first name",Joseph,Johnathan,Joseph
205,"Judge Dredd is 2000 ADs longest-running character, appearing from the first issue in 1977.
",True,False,,,False
206,"Judge Dredds visual appearance was loosely based on the character of Frankenstein from the film Death Race 2000.
",True,False,,,True
207,"The giant city, Mega City One, where Judge Dredd is a lawkeeper, is located in which area that we would recognise nowadays?
",West coast USA,East coast USA,Australia,The British Isles,East coast USA
208,"What sentence does Judge Dredd frequently utter during his duties?
",Thank Grudd its Friday!,"Shop smart, shop S-Mart!",I am the law!,Respect my authority!,I am the law!
209,"What was the name of Judge Dredds clone-brother, who he turned in to the authorities when he began to break the law?
",Nico,Tubbs,Rico,Tibbs,Rico
210,"Judge Dredd once lived in an apartment block named after a character from Rawhide.
",False,True,,,True
211,"Which of the following has Judge Dredd not battled against?
",Lobo from Omega Men comics,Predators from Predator films,Daleks from the TV series Dr Who,Xenomorphs from the Alien films,Daleks from the TV series Dr Who
212,"In the film Judge Dredd, who plays the title character?
",Arnold Schwarzenegger,Lou Ferrigno,The Rock,Sylvester Stallone,Sylvester Stallone
213,"In The New Batman Adventures episode Over the Edge, who does Commissioner Gordon hire to help him kill Batman?
",The Joker,Bane,Two-Face,Jack Napier,Bane
214,"Fictional character Batman has a son.
",False,True,,,True
215,"What issue did the Joker originally appear in?
",The Man Who Laughs,Detective Comics #168,Detective Comics #34,Batman#1,Detective Comics #168
216,"In Homestar Runner, what power does the blue diamond on Strong Bads mask give him?
",He can hover about three inches off the ground.,He can make a black dot appear on walls.,He can mentally open Cold Ones.,He can change the color of his mask at any time.,He can mentally open Cold Ones.
