,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
65,"This player was drafted in 1962 by the Celtics. He is also known as Hondo.
",Maurice Cheeks,Jonh Havlicek,Peja Sojakovich,Sam Jones,Jonh Havlicek
66,"In 1986 Detroit Pistons had great luck- they made two good draft picks. One of them was John Salley and the other was the 27th selected player.
",LeBron James,Vlade Divac,Dennis Rodman,Chris Webber,Dennis Rodman
67,"Although this player was the 36th selected player drafted by the Philadelphia 76ers in 1978, he turned out to be the best point guard drafted that year.
",Jerome James,Maurice Cheeks,Butch Lee,Butch Lee,Maurice Cheeks
68,"Although he wasnt the best player on his college team, he became an All-Star player in his fifth season. Detroit Pistons drafted him in 1971.
",Roko Ukic,Curtis Rowe,Ben Gordon,Jackson Vroman,Curtis Rowe
69,"This player was the 31st selected in 2001 draft by the Golden State Warriors.  He and Jamison was chossen to represent the Washington Wizards at the 2005 NBA All-Star Game.
",Carmelo Anthony,Ben Gordon,Vlade Divac,Gilbert Arenas,Gilbert Arenas
70,"This European player was drafted in 2001 by the San Antonio Spurs. He became the youngest player ever to appear in a game with the Spurs making his NBA debut at 19 years old.
",Tony Parker,Vlade Divac,Peja Stojakovic,Raul Lopez,Tony Parker
71,"Before they were the Detroit Pistons, the Pistons played in this city.
","Gary, Indiana","Louisville, Kentucky","Ft. Wayne, Indiana","Cincinnati, Ohio","Ft. Wayne, Indiana"
72,"Before they were the L.A. Lakers, they played in this city.
",Denver,Milwaukee,Minneapolis,Cincinnati,Minneapolis
73,"Where were the NBA Hawks located, before moving to Atlanta?
","Rochester, NY","Syracuse, NY","Cincinnati, OH","St. Louis,MO","St. Louis,MO"
74,"These are the only two original NBA teams that never  moved.
",Warriors and Bulls,Bulls and Celtics,Knicks and Celtics,Warriors and Knicks,Knicks and Celtics
75,"Where did the Atlanta Braves team originate?
",Boston,They were always in Atlanta,Sacramento,Milwaukee,Boston
76,"Where were the Dodgers playing before they moved to L.A.?
","Newark, NJ","Sacramento, CA","Brooklyn, NY","Washington, DC","Brooklyn, NY"
77,"What was the original home to the NFL Rams?
","Cincinnati, OH","Canton, OH","L.A., CA","Cleveland, OH","Cleveland, OH"
78,"Where did the Philadelphia Eagles use to play?
","Rochest, NY",Pittsburgh and Philadelphia,"Cincinnati, OH","Canton, OH",Pittsburgh and Philadelphia
79,"To which city do the Sacramento Kings trace their origins?
","Washington, DC","Pittsburgh, PA","Louisville, KY","Rochester, NY","Rochester, NY"
80,"Where did the San Francisco Giants play before San Francisco?
","Washington, DC","Buffalo, NY","Atlanta, GA","New York, NY","New York, NY"
81,"This team won the 1994 NCAA Division I-A national football championship. The motto of the team is: Not the victory but the action. Not the goal but the game. In the deed the glory.
",Nebraska,Oklahoma,Ohio State,Florida St,Nebraska
82,"In 1927 this Ivy League team won the NCAA Division I-A national football championship.
",Harvard,Army,Princeton,Yale,Yale
83,"In 1958, this team shared their first title from NCAA Division I-A national football championship with Iowa.
",LSU,Army,BYU,Florida,LSU
84,"This team won the 2005 NCAA Football Championship, lead by head coach Mack Brown
",Notre Dame,Texas,LSU,USC,Texas
85,"This team, with head coach Tom Osborne, won the most NCAA football Championships in the 1990s.
",Tennessee,Nebraska,Florida,Florida State,Nebraska
86,"According to Dickinson poll, in 1928 this football team, coached by Howard Jones, won its first national title.
",LSU,USC,BYU,Yale,USC
87,"This team, nicknamed The Hurricanes, won three NCAA Football Titles in the 1980s.
",Miami,Oklahoma,Penn State,Notre Dame,Miami
88,"In what year did Notre Dame and their head coach Knute Rockne, win their first NCAA football Championship?
",1987,1980,1938,1924,1924
89,"This team, led by head coach James Tressel,  won the 2002 NCAA championship, beating Miami in overtime.
",USC,Ohio State,LSU,Miami,Ohio State
90,"The athletic teams of St. John鈥檚 University were called the Redmen in the 1920s.
",False,True,,,True
91,"Which is the nickname of North Carolina and of the University of North Carolina at Chapel Hill?
",Hoyas,Buckeyes,Tar Heels,Bruins,Tar Heels
92,"Which American university has chosen the spider as its official mascot?
",University of Richmond,Boston College,University of Rhode Island,Valipariaso,University of Richmond
93,"The nickname for the University of Washington is the Huskies.
",False,True,,,True
94,"The Eagles athletic teams represent which college/university?
",Boston College,University of Arizona,University of Philadelphia,Yale,Boston College
95,"What is the nickname of the University of Tennessees teams?
",Hokies,Terrapins,Crimsom Tide,Volunteers,Volunteers
96,"The Boilermakers is the nickname of which American university?
",University of Michigan,Indiana State University,Northwestern University,Purdue University,Purdue University
97,"In 1933 this team won the first NFL Championship Game.
",New York Giants,Chicago Bears,Canton Bulldogs,Washington Redskins,Chicago Bears
98,"Which team won the 1940 National Football League Championship Game with 73-0?
",New York Giants,Oakland Raiders,Washington Redskins,Chicago Bears,Chicago Bears
99,"Which of these teams won their first Super Bowl in 2005?
",Atlanta,None of these,Seattle,Cincinnati,None of these
100,"Which championship game was called The Greatest Game Ever Played and was the first  championship game to go into overtime?
",The 1983 Championship Game,The 1974 Championship Game,The 1990 Championship Game,The 1958 Championship Game,The 1958 Championship Game
101,"In the 1967 NFL Championship Game Green Bay beat Dallas 21-17. Which nickname is attached to this game?
",The Long Fourth-Quarter Game,The Ice Bowl,The One -Quarter Game,The First Super Bowl,The Ice Bowl
102,"Which NFL team won their 12th Championship in 1997?
",Green Bay Packers,New England Patriots,Chicago Bears,Cleveland Bowns,Green Bay Packers
103,"Which of these teams was defeated at the Super Bowl XXXIII game by the Denver Broncos?
",Atlanta Falcons,Providence Steam Roller,Frankford Yellow Jackets,Tennessee Titans,Atlanta Falcons
104,"Which team won Super Bowl VII and Super Bowl VIII?
",Pittsburgh Steelers,San Francisco 49ERs,Miami Dolphins,Dallas Cowboys,Miami Dolphins
105,"This player from Alabama University was the Championship MVP in 1968.
",Paul Horning,Darryl LaMonica,Bart Starr,Max McGee,Bart Starr
106,"Which of these players have never won the Super Bowl MVP?
",Richard Dent,Jake Scott,Dan Marino,Chuck Howley,Dan Marino
107,"The Ultimate Warrior and Rick Rude competed for the Intercontinental Title in which SummerSlam?
",1989,1990,1988,1991,1989
108,"The Honky Tonk man lost the Intercontinental Title to Ultimate Warrior at the first SummerSlam in 1988, but who was Honky originally to defend his title against?
",Don Murracco,Jake Roberts,Brutus Beefcake,Jim Duggan,Brutus Beefcake
109,"Bret Hart wrestled in every SummerSlam that he could, while a WWF SuperStar.  From 1988-1997 he missed only one SummerSlam.  What year?
",1989,1990,1996,1988,1996
110,"How Many Times has Randy Savage been the Macho King at SummerSlam?
",2,1,0,3,1
111,"Hulk Hogan has won a title at SummerSlam.
",False,True,,,False
112,"The Largest in terms of attendance SummerSlam took Place in what year?
",2001,2002,1994,1992,1992
113,"In the SmackDown! US title match from the 2003 edition of SummerSlam, who walked out the US Champion?
",Tajiri,Chris Benoit,Eddie Guerrero,Rhyno,Eddie Guerrero
114,"The first steel cage match at SummerSlam was between which two competitors?
",Diesel/Mabel,Bret Hart/Owen Hart,Ultimate Warrior/Rick Rude,Mankind/Hunter Hearst Helmsley,Ultimate Warrior/Rick Rude
115,"How many times has SummerSlam been in New York City, at Madison Square Garden?
",1,At least 3,2,0,At least 3
116,"Which team won five NBA titles in the 1980s?
",New York Knicks,Chicago Bulls,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers
117,"What NFL team did O.J. Simpson play for at the end of his career?
",San Francisco 49ers,Oakland Raiders,Philadelphia Eagles,Miami Dolphins,San Francisco 49ers
118,"What NBA team did Bill Walton lead to a NBA title?
",Portland Trail Blazers,Utah Jazz,San Antonio Spurs,Houston Rockets,Portland Trail Blazers
119,"What college basketball team did Billy King, general manager of the Philadelphia 76ers, play for?
",Alabama,UCLA,Georgetown,Duke,Duke
120,"What NBA team is known for their cowbells?
",Atlanta Hawks,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Sacramento Kings
121,"What NFL team went 1-15 during the 1989 season?
",Houston Texans,Chicago Bears,Dallas Cowboys,The New York Jets,Dallas Cowboys
122,"What team did Oklahoma beat in the 2000 Orange Bowl to win the national title?
",Florida Sate,ISU,Miami,Nebraska,Florida Sate
123,"What number did Ralph Kiner, who was inducted into the Baseball Hall of Fame in 1975, wear when he played for the Pittsburgh Pirates in the 40s and 50s?
",11,7,3,4,4
124,"What number did Tom Seaver, who was elected to the Baseball Hall of Fame on January in 1992,  wear when he was a player for the New York Mets in the 1970s?
",35,47,41,32,41
125,"What number did Major League Baseball player Pete Rose wear when he played for the Cincinnati Reds?
",14,5,4,7,14
126,"What number did  Baseball Hall of Famer, Rod Carew, wear on his uniform when he played for the Minnesota Twins?
",33,6,29,44,29
127,"What number did Don Mattingly wear when he played as a part-time first baseman and outfielder for the New York Yankees in 1983?
",33,18,23,46,46
128,"What number did baseball player Darryl Strawberry wear when he played for the Los Angeles Dodgers in the 1990s?
",44,39,8,18,44
129,"What number did American football quarterback Joe Montana wear when he played for the college team Notre Dame?
",18,3,16,12,3
130,"What number did O. J. Simpson, a member of the Pro Football Hall of Fame, wear when he played for the Buffalo Bills in the 70s?
",44,33,32,34,32
131,"What number did Kirby Puckett,  who was elected to the Baseball Hall of Fame in 2001, wear when he was a player for the Minnesota Twins?
",14,34,32,18,34
132,"What number did Carlton Fisk, who was inducted into the Baseball Hall of Fame in 2000, wear when he played for the Chicago White Sox?
",27,72,15,13,72
133,"This college was first to have the first overall pick for both the NFL and the NBA in the same year.
",Notre Dame,Texas,Utah,USC,Utah
134,"Which two schools are given credit for playing the first college football game?
",Chicago - Ohio State,UCLA - USC,Princeton - Rutgers,Purdue - Notre Dame,Princeton - Rutgers
135,"In NCAA football, a conference can play a conference championship game if it has this many teams.
",12,16,10,11,12
136,"Which of these bascetball players scored 100 points in one college game?
",Wilt Chamberlain,Rod Thorn,Frank Selvey,Kareem Abdul Jabbar,Frank Selvey
137,"For which college did Wilt Chamberlain play?
",Villanova,Kansas,UCLA,North Carolina,Kansas
138,"For which college  did Reggie Jackson play baseball?
",Florida,UCLA,Texas,Arizona State,Arizona State
139,"Which college used to have the nickname The Ramblin Wrecks?
",Purdue,Georgia Tech,Texas Tech,Oklahoma State,Georgia Tech
140,"Which college has the team nicknamed The Boiler Makers?
",Florida,Purdue,Miami,Stanford,Purdue
141,"Which college has the team nicknamed The Sooners?
",San Diego State,Oklahoma,Purdue,Florida,Oklahoma
142,"Which college football team set the record for most consecutive wins, eventually losing to Notre Dame?
",Oklahoma,USC,Nebraska,Army,Oklahoma
143,"Which three teams are eligible to win The Commanders Trophy ?
","Indiana, Purdue and Ball state.","UCLA, USC and Stanford","Harvard, Yale, and Princeton","Army, Navy and Air Force","Army, Navy and Air Force"
144,"Which former football quarterback, inducted into the Pro Football Hall of Fame in 1977, was the MVP of the first two Super Bowls?
",Art Donovan,Eric Dickerson,Al Davis,Bart Starr,Bart Starr
145,"This former American football wide receiver, nicknamed Bambi, was inducted into the Pro Football Hall of Fame in 1978.
",Don Hutson,Charlie Joiner,Bobby Mitchell,Lance Alworth,Lance Alworth
146,"Who was the first person to become a member of both the Pro Football Hall of Fame and the Baseball Hall of Fame?
",Cal Hubbard,Jackie Jensen,Dave Winfield,Bo Jackson,Cal Hubbard
147,"Which former quarterback was named the Most Valuable Player of Super Bowl XXIX, and was inducted into the Pro Football Hall of Fame in 2005?
",Jim Kelly,Bobby Layne,Norm Van Brocklin,Steve Young,Steve Young
148,"Which versatile athlete, inducted into the Pro Football Hall of Fame in 1963, won Olympic gold medals in the pentathlon and decathlon?
",Kirk Gibson,Bo Jackson,Jim Thorpe,Jim Brown,Jim Thorpe
149,"This legendary Green Bay Packers head coach, inducted into the Pro Football Hall of Fame in 1971, had the following maxim: Winning isnt everything; its the only thing.
",Chuck Noll,Vince Lombardi,Tom Landry,Bill Parcells,Vince Lombardi
150,"This retired cornerback, who played college football at Grambling University, was inducted into the Pro Football Hall of Fame on July 28, 1984.
",Buck Buchanan,William Brown,Charlie Joiner,Willie Davis,William Brown
151,"Henry Aaron hit home run number 715 off of which Dodger pitcher?
",Don Drysdale,Don Sutton,Al Downing,Sandy Koufax,Al Downing
152,"What year did the Braves move to Atlanta?
",1967,1965,1968,1966,1966
153,"What is Chipper Jones actual first name?
",Peter,Paul,Larry,George,Larry
154,"Atlanta Fulton County Stadium had what nickname?
",Braveland,The Hot-Lanta,The Launching Pad,The Homer Dome,The Launching Pad
155,"The first couple of years in Atlanta, the Braves were considered lovable losers.  They won the first NL West title in 1969, the first year of divisional play.
",True,False,,,True
156,"This pitcher ended Pete Roses 44 game hit streak in 1978 with a strikeout.
",John Smoltz,Bruce Sutter,Pat Jarvis,Gene Garber,Gene Garber
157,"In the 1996 World Series, this Braves player hit a home run in his first two at-bats.
",David Justice,Andruw Jones,Fred McGriff,Chipper Jones,Andruw Jones
158,"Who was the winning pitcher in game six of the 1995 World Series, 1-0 victory over the Cleveland Indians?
",Steve Avery,Greg Maddux,John Smoltz,Tom Glavine,Tom Glavine
159,"Who is considered the first modern heavyweight boxing champion?
",Bob Fotzsimmons,Jimmy Ellis,John L. Sullivan,James J. Corbett,John L. Sullivan
160,"Which boxing heavyweight champ was the subject of the movie The Great White Hope?
",Marvin Hart,Jack Johnson,Jersey Joe Walcott,Tommy Burns,Jack Johnson
161,"Who lost the boxing heavyweight championship to Joe Louis?
",Jack Dempsey,James J. Braddock,Jess Willard,Max Baer,James J. Braddock
162,"Who was the only undefeated boxing heavyweight champ, later killed in an airplane accident?
",Floyd Patterson,Ezzard Charles,Leon Spinks,Rocky Marciano,Rocky Marciano
163,"A Swedish boxer once held the boxing heavyweight title.
",True,False,,,True
164,"From whom did Muhammad Ali get the championship the first time?
",Leon Spinks,Cassius Clay,Sonny Liston,Floyd Patterson,Sonny Liston
165,"Who did Muhammad Ali beat to get the boxing crown the second time?
",Joe Frazier,Ernie Terrell,George Foreman,Ken Norton,George Foreman
166,"Which boxers shared the boxing heavyweight crown in 1978 ?
","Ali, Spinks and Holmes","Norton, Spinks, Holmes and  Dokes",Ali and Norton,"Ali, Norton, Spinks, Holmes and Ali","Ali, Norton, Spinks, Holmes and Ali"
167,"How did boxer James J. Braddock get most of his money?
",Shipping,Appearance fees,From Joe Louis,Boxing,From Joe Louis
168,"What country did boxing champion Lennox Lewis represent?
",Ireland,Canada,Texas,England,England
169,"Former NBA player, Michael Jeffrey Jordan was born on February 17, what year?
",1965,1963,1960,1961,1963
170,"What is the height of former NBA player, Michael Jordan?
",68,6 6,67,65,6 6
171,"Michael Jordan majored in geography at what university?
",University of North Carolina,Duke University,Arizona State University,Florida State University,University of North Carolina
172,"After retiring from basketball in 1993, Michael Jordan spent the next year playing professional baseball.
",True,False,,,True
173,"Former NBA player Michael Jordan won his second Olympic gold medal in what year?
",1992,1988,1996,1984,1992
174,"What number did Michael Jordan wear after the return to NBA from his first retirement?
",23,15,45,3,45
175,"On January 19, 2000, Jordan returned to the NBA not as a player, but as part owner and President of Basketball Operations of which team?
",The Washington Wizards,The Los Angeles Clippers,The Indiana Pacers,The Chicago Bulls,The Washington Wizards
176,"What former catcher managed the New York Mets in 1973?
",Gil Hodges,Joe Frazier,Wes Westrum,Yogi Berra,Yogi Berra
177,"Joining the team in 1962, this former infielder, manager and coach was the first 3rd baseman to play for the New York Mets.
",Wayne Garrett,Don Zimmer,Ed Charles,Elliot Maddox,Don Zimmer
178,"This great pitcher of the New York Mets won the Rookie of the Year award in 1972 by going 15-10 with a 2.32 ERA.
",Jerry Koosman,Tom Seaver,Jon Matlack,Nino Espinosa,Jon Matlack
179,"This right-handed Major League Baseball player won the World Series MVP award, and then became the first player to sign with new team after winning the award, joining the Orioles in 1987.
",Lenny Dykstra,Dave Kingman,Ray Knight,Darryl Strawberry,Ray Knight
180,"What Dominican Republic born baseball player, played shortstop for the New York Mets in 1979?
",Mike Phillips,Frank Taveras,Tim Foli,Ray Sadecki,Frank Taveras
181,"What former Major League Baseball shortstop, who at the time played for the New York Mets, got into a fight with Pete Rose during the 1973 playoffs?
",Tim Foli,Teddy Martinez,Bud Harrelson,Rafael Santana,Bud Harrelson
182,"This former pitcher, manager and executive in Major League Baseball, who led the Philadelphia Phillies to their first World Series title in 1980, managed the New York Mets during 1993-96.
",Dallas Green,Davey Johnson,Joe Torre,Bobby Valentine,Dallas Green
183,"Who became owner of  Major League Baseball, New york Mets in 1961?
",Nelson Doubleday,Lorinda De Roulet,Joan Payson,M. Donald Grant,Joan Payson
184,"This baseball player, signed by the New York Yankees as an amateur free agent in 1976, played for the New York Mets during 1984-1987.
",Rafael Santana,Kevin Elster,Larry Bowa,Al Pedrique,Rafael Santana
185,"After five seasons as a roving instructor for the Seattle Mariners, this man eventually got hired by the New York Mets as the pitching coach, a position he held for ten years.
",Mel Stottlemyre,Joe Pignatano,Bob Apodaca,Rube Walker,Mel Stottlemyre
186,"This baseball player and American national icon was known as The Sultan of Swat.
",Christy Mathewson,Babe Ruth,Lou Gehrig,Cy Young,Babe Ruth
187,"Which multiple MVP winner was called the Georgia Peach?
",Walter Johnson,Ty Cobb,Albert Belle,Eddie Murray,Ty Cobb
188,"This Baseball Hall of Famer is known as The Splendid Splinter.
",Johnny Bench,Ted Williams,Joe DiMaggio,Hank Aaron,Ted Williams
189,"Which Hall of Fame pitcher was known as Rapid Robert?
",Bob Turley,Bob Esposito,Bob Miller,Bob Feller,Bob Feller
190,"This former baseball player, called The Ol Perfesser, left his mark on the game as a manager.
",Miller Huggins,Earl Weaver,Connie Mack,Casey Stengel,Casey Stengel
191,"This baseball player appeared in 14 World Series, won the American League MVP Award three times and was elected to the Hall of Fame in 1972. His given name is Lawrence Peter but hes better known under what nickname?
",Dutch,L.P.,Yogi,Larry,Yogi
192,"This former baseball player called The Major won the World Series in his first two seasons as manager.
",Ralph Houk,Earl Weaver,Joe McCarthy,Dick Howser,Ralph Houk
193,"Which player for the New York Mets was called Choo-Choo?
",Rusty Staub,Jerry Grote,Rod Kanehl,Clarence Coleman,Clarence Coleman
194,"This baseball player, nicknamed True, was a three time 20-game winner for the Oakland As.
",Jim Hunter,Dennis Eckersley,Vida Blue,Rollie Fingers,Vida Blue
195,"Which New York Yankee pitcher was known as Louisiana Lightning?
",Fritz Peterson,Ron Guidry,Bob Turley,Mel Stottlemyre,Ron Guidry
196,"This baseball player, who started his career with the Texas Rangers in 1991 at the age of 19, is known as Pudge.
",Rusty Greer,Alfonso Soriano,Doug Mirabelli,Ivan Rodriguez,Ivan Rodriguez
197,"Dating back to 776 B.C., the ancient Olympic Games were held in the valley of Olympia in southwestern Greece, to honor this god.
",Poseidon,Hermes,Zeus,Apollo,Zeus
198,"This person, widely regarded as the founder of the modern Olympic Games, presented his ideas of reviving the Olympics at a 1894 congress, held in Paris.
",Father Henri Martin Didon,Harold Abrahams,Gaston Doumergue,Pierre de Coubertin,Pierre de Coubertin
199,"The parade of the nations is part of the opening ceremony of the Olympic Games. Since the1928 Summer Olympics, which nation traditionally leads the parade?
",The first country in alphabetical order,Greece,The country with the most medals from the last Olympics,The host country,Greece
