,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
29,"In the movie Monsters, Inc., which actor provided the voice of the mean Randall Boggs?
",Steve Buscemi,George Wendt,Gilbert Gottfried,John Ratzenberger,Steve Buscemi
30,"What is the name of the scare floor secretary in the animated movie Monsters, Inc.?
",Scary Mary,Mary,Roz,Celia Mae,Roz
31,"In the movie Monsters, Inc., Mr. Waternoose sends both Mike and Sulley to the Himalayas. Who do they stay with while they are there?
",Jack Frost,Mikes cousin Ike,Frosty the Snowman,Abominable Snowman,Abominable Snowman
32,"At the end of Monsters, Inc., the monsters change their format at the power plant. They realize that instead of scaring children, they can generate more energy for the monster world by doing what?
",making children laugh,taking children to the movies,taking children to the park,taking children out for ice cream,making children laugh
33,"Most fire engines and fire trucks are this color.
",red,green,white,blue,red
34,"This word is the name of a fruit and a color.
",apple,banana,pear,orange,orange
35,"Water is most often considered this color.
",orange,brown,yellow,blue,blue
36,"A ready to eat banana is this color.
",brown,black,yellow,green,yellow
37,"Grass under normal weather conditions is this color.
",tan,orange,yellow,green,green
38,"What color is Barney the dinosaur from the childrens program?
",purple,yellow,green,white,purple
39,"Clouds that are not storm clouds are usually this color.
",white,orange,red,black,white
40,"Black is the most popular color of dress shoes for men and boys. What is the second most popular color?
",red,brown,blue,green,brown
41,"This color is usually associated with girls.
",yellow,brown,red,pink,pink
42,"This color is neither white nor black but somewhere in between.
",orange,gray,green,brown,gray
43,"What year did the thriller Fatal Attraction first hit the movie theatres in the United States?
",1984,1987,1988,1991,1987
44,"What does Dan Gallagher do for a living in the hit movie Fatal Attraction?
",Car Salesman,Tax Preparer,Mgr. of Home Depot,Attorney,Attorney
45,"How does Dan Gallagher meet Alex Forrest in the great movie Fatal Attraction?
",He meets her through work.,He meets at the supermarket.,He meets her at the Department of Motor Vehicles.,He meets her at the gym.,He meets her through work.
46,"In the movie Fatal Attraction, what is the name of Alex Forrests favorite opera of all time?
",The Merry Widow,Madame Butterfly,Porgy  Bess,Swan Lake,Madame Butterfly
47,"In the movie Fatal Attraction, Alex kills Dans daughters pet by boiling it in water. She leaves it on the stove for Dan and the family to see. What kind of pet was it?
",Cat,Fish,Rabbit,Hamster,Rabbit
48,"In Fatal Attraction, Alex Forrest kidnaps Ellen Gallagher (Dans daughter) from school.
",False,True,,,True
49,"In the thriller Fatal Attraction, while Beth is in the bathroom, she looks in the mirror and sees a reflection of Alex Forrest. At this point, Alex comes charging towards her with a weapon. What type of weapon is Alex holding in her hand?
",axe,knife,hammer,gun,knife
50,"In what city is the movie Fatal Attraction set?
",Los Angeles,Coplay,Chicago,New York,New York
51,"John Travolta was considered for the part of Dan Gallagher in Fatal Attraction.
",False,True,,,True
52,"What year did the sensational movie A League of Their Own first hit the movie theatres?
",1988,1992,1994,1990,1992
53,"What role did Geena Davis play in the movie A League of Their Own?
",Dottie Hinson,Vada Pinson,Bobbi Stinson,Dorothy Hansen,Dottie Hinson
54,"What was the name of the former major league baseball great who managed the Rockford Peaches in the movie A League of Their Own?
",Billy McIntyre,Jackie Coogan,Honus Wagner,Jimmy Dugan,Jimmy Dugan
55,"Pop star Madonna was in the movie A League of Their Own.
",False,True,,,True
56,"What was the name of Dottie Hinsons sister and teammate who also played ball in the movie A League of Their Own?
",Kat,Kit,Millie,Pat,Kit
57,"Why was the All American Girls Professional Baseball League (AAGPBL) created in the first place in the great movie A League of Their Own?
",The women were bored and wanted to play ball.,JustSomeGuy was bored and felt like starting his own Baseball League.,World War ll was going to shut down Major League Baseball due to the fact that many of the players were in the military.,The powerful Womens Lib Movement struck a deal with Major League Baseball.,World War ll was going to shut down Major League Baseball due to the fact that many of the players were in the military.
58,"Who provided the vocals for the song Now and Forever, that was featured in the movie A League of Their Own?
",Cyndi Lauper,Carly Simon,Carole King,Judy Collins,Carole King
59,"What was the nickname of Betty Horn who played left field for the Rockford Peaches in the movie A League of Their Own?
",Betty Machete,Betty Shoe Horn,Betty Spaghetti,Betty Confetti,Betty Spaghetti
60,"In the movie A League of Their Own, there was an obnoxious little kid who used to go to all of his mothers baseball games. He always sat in the dugout and bothered all of the players. What was the name of this kid?
",T.J.,Anthony,Harvey,Stillwell,Stillwell
61,"Which of these appetizing bands had a 1971 hit with Baby, Im- a Want You?
",Strawberry Alarm Clock,Hot Chocolate,Bread,Vanilla Fudge,Bread
62,"Papa John Creach played the fiddle for which  edible 60s band?
",Humble Pie,Canned Heat,Hot Chocolate,Hot Tuna,Hot Tuna
63,"What year did the movie The Wedding Singer first hit the movie theatres in the United States?
",1998,2000,1994,1997,1998
64,"What is the name of Robbies girlfriend/fiance in the hit movie The Wedding Singer?
",Lucy,Linda,Christina,Olivia,Linda
65,"What is the name of the waitress, played by Drew Barrymore in the comedy movie The Wedding Singer?
",Christina Pickles,Julia Sullivan,Cindy Licious,Rhonda Relish,Julia Sullivan
66,"Robbie Hart gets stood up at the altar by his fiance in the movie The Wedding Singer.
",False,True,,,True
67,"What is the name of the 80s music icon that appears in the great movie The Wedding Singer?
",Billy Idol,Jon Bon Jovi,Sting,Boy George,Billy Idol
68,"What was the name of Robbies best friend in the movie The Wedding Singer?
",Junior,Sammy,Davis,Allen,Sammy
69,"The movie The Wedding Singer takes place in the 80s, but what year is actually depicted in this great romantic comedy?
",1983,1987,1982,1985,1985
70,"What actor played the role of the drunk best man in the movie The Wedding Singer?
",Allen Covert,Alexis Arquette,Matthew Glave,Steve Buscemi,Steve Buscemi
71,"If Julia would have married her fiance Glen in the movie The Wedding Singer, what would her name have become?
",Julia Gulia,Julia Schumilia,Julia OToolia,Julia Bulia,Julia Gulia
72,"What song is being played as Robbie and Julia are getting married at the end of the movie The Wedding Singer?
",Set Adrift On Memory Bliss by P.M. Dawn,Relax by Frankie Goes To Hollywood,True by Spandau Ballet,Do You Really Want To Hurt Me by Culture Club,True by Spandau Ballet
73,"In this movie, Al Pacino played a junkie named Bobby.
",Scarface,The Panic In Needle Park,Bobby Deerfield,Dog Day Afternoon,The Panic In Needle Park
74,"This movie is about an undercover cop who exposes the NYC Police Department for corruption, a move that isolates him from the force. What is the name of this Al Pacino movie?
",Revolution,N.Y.P.D,Serpico,And Justice for All,Serpico
75,"What Francis Ford Coppola movie earned Al Pacino his first Academy Award nomination?
",Out of It,The Godfather,Serpico,Scarface,The Godfather
76,"In this movie, Al Pacino plays a Cuban refugee who turns into a drug dealer. What is the name of this classic Pacino movie?
",Carlitos Way,Serpico,Heat,Scarface,Scarface
77,"In what movie does Pacino play a blind, hard drinking ex army colonel?
",Scent of a Woman,Donnie Brasco,Blind Rage,Two Bits,Scent of a Woman
78,"In this movie Al Pacino plays a lawyer who single-handedly battles Marylands judicial system. What is the name of this Pacino movie?
",Scent of a Woman,Cruising,The Insider,And Justice For All,And Justice For All
79,"In this movie, Pacino holds up a bank in Brooklyn, New York to pay for his lovers sex change operation. What was the name of this classic Pacino flick?
",Dog Day Afternoon,Serpico,Take the Money And Run,Stick Em Up!,Dog Day Afternoon
80,"In this movie, Pacino plays the role of Charlie Brigante. He was a Puerto Rican who just served a 5 year prison term. He has a sleazy lawyer played by actor Sean Penn. What was the name of this Pacino movie?
",Carlitos Way,Glengarry Glen Ross,Revolution,Serpico,Carlitos Way
81,"Name the movie in which Pacino plays the role of an obsessive, L.A detective in search of a high-tech, high-precision robber and his tight knit gang.
",City Hall,The Insider,Two Bits,Heat,Heat
82,"Did Al Pacino star in 鈥淭he Godfather III,鈥 reprising his role as Don Michael Corleone?
",No,Yes,,,Yes
83,"What year did the movie Risky Business first hit the theatres in the United States?
",1983,1981,1984,1982,1983
84,"What was the name of Tom Cruises character in the movie Risky Business?
",Joel Goodsen,Bill Toddson,Shimon Bentzvi,Joe L. Goodman,Joel Goodsen
85,"What city is the hit movie Risky Business set in?
",Los Angeles,Chicago,Philadelphia,New York,Chicago
86,"What college is Joel trying to get into in the movie Risky Business?
",Temple,Princeton,Harvard,Boston College,Princeton
87,"What is the name of Lanas pimp in the movie Risky Business?
",Angelo,Vito,Leno,Guido,Guido
88,"What actress played Lana, the call girl, in the popular movie Risky Business?
",Rebecca De Mornay,Megan Mullaly,Susan Sarandon,Cindy Williams,Rebecca De Mornay
89,"In the movie Risky Business, Joels mom has something very special to her on the mantelpiece. It almost falls to the ground but Joel dives in the air to save it from breaking. What is it?
",a crystal egg,a family portrait,an urn of her grandmothers ashes,a grandfathers clock,a crystal egg
90,"What year were the English rock band Rolling Stones formed?
",1958,1955,1962,1964,1962
91,"What is Mick Jaggers middle name?
",Winston,Curtis,Phillip,Rufus,Phillip
92,"Which  ex-Rolling Stones band member died in 1969?
",Charlie Watts,Brian Jones,Country Joe McDonald,Mick Taylor,Brian Jones
93,"The Rolling Stones A Bigger Bang Tour began on August 21, 2005.
",True,False,,,True
94,"Who officially replaced Rolling Stones member Mick Taylor in 1976?
",Ed Wood,Wilbur Wood,Ron Wood,Roy Wood,Ron Wood
95,"Which Rolling Stones band members real name is William Perks?
",Keith Richards,Bill Wyman,Ron Wood,Charlie Watts,Bill Wyman
96,"In 1994, The Rolling Stones won their first Grammy award for Best Rock Album. What was the name of that album?
",Metamorphosis,Voodoo Lounge,Dirty Work,Stripped,Voodoo Lounge
97,"The Facts of Life, a show about a housemother (Mrs. Edna Garrett) taking care of a bunch of teenage girls at a private school called Eastland Academy, is a spin-off of what  television show?
",Hello Larry,Diffrent Strokes,Valerie,Makin It,Diffrent Strokes
98,"Family Matters, a show about a nerdy kid (Steve Urkel) who wreaks havoc on the Winslow family, is a spin-off of what television show?
",The Love Boat,Perfect Strangers,Family Ties,Family,Perfect Strangers
99,"Benson, a show about a butler who works for the Governor, is a spin-off of what television show?
",Soap,Family Affair,Mr. Belvedere,The Addams Family,Soap
100,"The Jeffersons is a show about an upper-middle class African-American couple and their son living in New York City. The Jeffersons is a spin-off of what television show?
",Blanskys Beautys,All in The Family,Maude,Makin It,All in The Family
101,"Mork  Mindy, a show about an alien from the planet Ork living in the United States, is a spin-off of what television show?
",Cindi  Hayley,A Date With Judy,Happy Days,JustSomeGuy,Happy Days
102,"Frasier, a show about a neurotic psychiatrist who moves to Seattle to start fresh and lands a job hosting his own radio show, is a spin-off of what television show?
",Big Blue Marble,The Tortellis,Franks Place,Cheers,Cheers
103,"Good Times, a show about a family struggling to make ends meet in Chicago,  is a spin-off of what television show?
",Roots,The Ghetto,The Struggle,Maude,Maude
104,"Rhoda, a show about a woman in her 30s who leaves her home in Minneapolis to start a new life in New York City, is a spin-off of what television show?
",Maude,The Mary Tyler Moore Show,Alice,Gloria,The Mary Tyler Moore Show
105,"Enos, a show about a bumpkin deputy who lands a job in Los Angeles after making an important arrest in his hometown, is a spin-off from what television show?
",The Dukes Of Hazzard,Knots Landing,Kojak,Heat Of The Night,The Dukes Of Hazzard
106,"A Different World, a show about the everyday lives of young women attending Hillman College, is a spin-off of what television show?
",The Cosby Show,School Daze,Living Single,Girl Talk,The Cosby Show
107,"What year did the hilarious movie from the 80s, Back to School first hit the theatres in the United States?
",1983,1986,1984,1982,1986
108,"What was the name of the university that Thornton and his son Jason attended in the great 80s movie Back to School?
",Loyola Marymount,St. Johns University,Kansas State University,Grand Lakes University,Grand Lakes University
109,"What was Thorntons last name in the movie Back to School?
",Dillon,Melon,Schmelling,Orange,Melon
110,"In the movie Back to School, Thorntons son is the towel boy for  the school diving team. One of the star divers on the team (Chas) gets hurt, so Thornton has to fill in for him. What is the name of the famous dive that Thornton performs in the competition?
",The Triple Play,The Double Crossover Jack- knife,The Triple Lindy,The Triple Axle,The Triple Lindy
111,"What does Thornton do for a living in the hit 80s movie Back to School?
",He owns the Milwaukee Brewers major league baseball team.,He owns a string of donut shops.,He owns a chain of Big and Fat stores.,He owns a bunch hot dog trucks.,He owns a chain of Big and Fat stores.
112,"Who plays the college weirdo Derek Lutz in the movie Back to School?
",Robert Downey Jr.,Charlie Sheen,Will E.  Maze,Emilio Estevez,Robert Downey Jr.
113,"What is the name of Thorntons bodyguard/driver in the classic film Back to School?
",Rocco,Paulie,Lou,Sonny,Lou
114,"The late comedian Sam Kinison appears in the movie Back to School.
",True,False,,,True
115,"What is the nickname of the Grand Lakes University swim team in the movie Back to School?
",Orioles,Hooters,Sparrows,Jayhawks,Hooters
116,"What American entertainer was born Tula Ellice Finklea on March 8, 1921, in Amarillo, Texas?
",Buddy Ebsen,Tom Selleck,Cyd Charisse,Buddy Hackett,Cyd Charisse
117,"What American entertainer, who once flew over the Grand Canyon, was born David Seth Kotkin?
",David Copperfield,Danny DeVito,David Brenner,David Susskind,David Copperfield
118,"What an American singer, songwriter, and actress was born Kathie Epstein on August 16, 1953, in Paris, France?
",Kathy Lee Gifford,Cathy Rigby,Marisa Tomei,Geena Davis,Kathy Lee Gifford
119,"What American film and stage actress, who appeared in Shock Treatment (1964), was born Betty Joan Perske on 16 September 1924 in New York City, New York?
",Earth Kitt,Joan Collins,Lauren Bacall,Yvonne De Carlo,Lauren Bacall
120,"What American television and film actress, married for some years to musician/composer Burt Bacharach, was born Angeline Brown on September 30, 1931?
",Angelina Jolie,Angie Dickinson,Donna Pescow,Angie Everheart,Angie Dickinson
121,"What African American actor and rapper, originally a member of the group, N.W.A, was born OShea Jackson on June 15, 1969?
",Ice T,Lawrence Hilton-Jacobs,50 Cent,Ice Cube,Ice Cube
122,"What American actor, producer and director, who starred as Little Joe on TV show, Bonanza, was born Eugene Maurice Orowitz?
",Gene Hackman,Gene Wilder,Michael Landon,Hal Linden,Michael Landon
123,"Best known as lead singer of The Four Seasons, he was born Francis Stephen Castelluccio in Newark, New Jersey.
",Tom Jones,Frank Sinatra,Frank Zappa,Frankie Valli,Frankie Valli
124,"What American actor, famous for his role in TV series The Six Million Dollar Man, was born Harvey Lee Yeary?
",Lee Majors,Lee Strasberg,Lee Marvin,Lee Mazzilli,Lee Majors
125,"American entertainer Herbert Khaury, born April 12, 1932, was better known as this stage name, after the character from Dickens, A Christmas Carol.
",Harry Anderson,Tiny Tim,Billy Crystal,Herbie Hancock,Tiny Tim
126,"Name the American actress and signer, born Dana Elaine Owens on March 18, 1970, whose brother Lance was killed in 1992.
",Vivica A. Fox,Erika Alexander,Diahann Carroll,Queen Latifah,Queen Latifah
127,"What year did the great 80s movie The Outsiders first hit the movie theatres in the United States?
",1983,1986,1985,1982,1983
128,"In the great 80s movie The Outsiders, what state do the principal characters live in?
",North Carolina,Tennessee,Oklahoma,Kentucky,Oklahoma
129,"How does Johnny Cade kill Bob Sheldon in the popular 80s movie The Outsiders?
",throws him off a rooftop,shoots him in the stomach,switchblade,cracks him in the head with a rock,switchblade
130,"After Johnny kills Bob in the movie The Outsiders, he and Ponyboy go to Dallas Winston ( Matt Dillon ) for help and he gives them directions to go hide out somewhere. Where do they go to hide out ?
",an old baseball stadium,an abandoned church in Windrixville,a vacant lot in Alabamba,a run down movie theatre,an abandoned church in Windrixville
131,"In the hit 80s movie The Outsiders, when Ponyboy and Johnny tell Dallas that they want to turn themselves in to the police and admit to killing Bob Sheldon, Dallas gets mad at them. They are driving together in a car and see a building on fire. What type of building is on fire?
",a pizza place,school,Dairy Queen,church,church
132,"In the film The Outsiders, Dallas Winston opens up a homeless shelter and takes care of all the kids in need.
",False,True,,,False
133,"In the 80s movie The Outsiders, Keith Two-Bit Matthews (Emilio Estevez) is wearing a shirt with a Disney character on it . What is the name of this Disney character?
",Donald Duck,Mickey Mouse,Goofy,Minnie Mouse,Mickey Mouse
134,"What actress plays the role of Cherry Valance in the movie The Outsiders?
",Diane Lane,Sherit Blackbelt,Diane Ladd,Diane Chambers,Diane Lane
135,"What year did the movie Austin Powers: International Man of Mystery come out in the movie theatres?
",1995,1996,1997,1994,1997
136,"Who played the role of Austin Powers in the movie Austin Powers: International Man of Mystery?
",Robert Wagner,Michael McKean,Michael Douglas,Michael Myers,Michael Myers
137,"In the movie Austin Powers: International Man of Mystery, Austin Powers was frozen in what year in the 1960s?
",1964,1965,1969,1967,1967
138,"What was the name of Dr. Evils cat in the movie Austin Powers: International Man of Mystery?
",Mr. Bigglesworth,Scott,Morris,Wench 00,Mr. Bigglesworth
139,"What actress played the role of Vanessa Kensington in the hit movie  Austin Powers: International Man of Mystery ?
",Debra-Neil Fisher,Carrie Fisher,Elizabeth Hurley,Mimi Rogers,Elizabeth Hurley
140,"In the movie Austin Powers: International Man Of Mystery, which one of Dr. Evils henchmen was played by actor Robert Wagner?
",Number 2,Alotta Fagina,Cinema 26,Mustafa,Number 2
141,"In the movie Austin Powers: International Man of Mystery, Austin marries Vanessa Kensington.
",True,False,,,True
142,"Which of these is one of Austin Powers catchphrases from the movie Austin Powers: International Man of Mystery?
","Yeah, baby!",Dyno-mite!,Sit on it !,The devil made me do it,"Yeah, baby!"
143,"In the movie Austin Powers: International Man of Mystery, Dr. Evil has android models with guns that pop out of their breasts. What is the name of these android models?
",Fembots,Hot robot,Sexy Guns,2hot2trot,Fembots
144,"What was the name of the person who owned the dairy farm at which the Woodstock Festival took place?
",Max Baer,Max Factor,Max Yasgur,Abbie Hoffman,Max Yasgur
145,"Who was the first singer to perform at the legendary 60s Woodstock Festival?
",The Paul Butterfield Blues Band,Joan Baez,Richie Havens,Ten Years After,Richie Havens
146,"What state did the Woodstock Festival take place in?
",New York,California,Florida,Texas,New York
147,"What year did The Silence of the Lambs make its U.S. debut in movie theatres?
",1993,1990,1991,1994,1991
148,"What is the name of the young FBI trainee played by Jodie Foster in the thriller The Silence of the Lambs?
",Clarice Starling,Mary Stevens,Michelle Farlow,Catherine Martin,Clarice Starling
149,"In the hit movie The Silence of the Lambs, what did Dr. Hannibal Lecter do before getting nine life sentences in a Baltimore mental institute?
",phychiatrist,oral surgeon,podiatrist,shoe salesman,phychiatrist
150,"What did Clarice Starling want to give Dr. Hannibal Lecter when she visits the asylum in the movie The Silence of the Lambs?
",a homicide report,a handcuff key,the case file,an autopsy report,the case file
151,"What is the name of the serial killer in the great movie The Silence of the Lambs?
",The Boston Strangler,Pittsburgh Pete,Baltimore Bob,Buffalo Bill,Buffalo Bill
152,"In a scene from thriller The Silence of The Lambs, Clarice Starling and Jack Crawford are performing an autopsy on one of the victims. What does Clarice find in the throat of the victim?
",a dollar bill,a small machete,a chrysalis moth,a bumble bee,a chrysalis moth
153,"Actress Michelle Pfeiffer was originally asked to star in the movie The Silence Of The Lambs portraying FBI trainee Clarice Starling.
",True,False,,,True
154,"In the movie The Silence of the Lambs, how does Clarice finally figure out that she is in Buffalo Bills house?
",She sees a fur coat in the house.,He tells her I am Buffalo Bill.,She sees lots of yarn and thread in the house.,She sees a victims head in the house.,She sees lots of yarn and thread in the house.
155,"What is the name of Buffalo Bills dog in the movie The Silence of the Lambs?
",Benji,Precious,Tinkerbell,Darling,Precious
156,"From what Disney movie is the song you can hear in the audio file?
",Snow White and the Seven Dwarfs,Sleeping Beauty,Cinderella,Fantasia,Snow White and the Seven Dwarfs
157,"This song was sung by the character Horatio Felonious Ignacious Crustaceous Sebastian in what Disney movie?
",The Little Mermaid,Aladdin,Beauty and the Beast,Peter Pan,The Little Mermaid
158,"What 1967 animated Disney feature is this song from?
",The Fox and the Hound,Dumbo,The Jungle Book,The Rescuers,The Jungle Book
159,"The popular Disney movie you will hear an extract from became a long-running show on Broadway.
",The Lion King,Aladdin,Tarzan,The Sword in the Stone,The Lion King
160,"The song you hear in the track is from Disneys 2002  Lilo and Stich movie.
",False,True,,,False
161,"Si and Am are the two characters that sang the song you hear. What Disney movie is it from?
",Lady and the Tramp,The Rescuers,The Aristocats,101 Dalmations,Lady and the Tramp
162,"This song won the Academy Award for best song in a movie. What Disney movie did it appear in?
",Snow White and the Seven Dwarfs,The Jungle Book,Pinocchio,Sleeping Beauty,Pinocchio
163,"Listen to the track and decide what animated Disney feature this song is from.
",Pocahontas,Aladdin,Brother Bear,Mulan,Pocahontas
164,"What is the name of the 1991 Disney movie this song is from?
",Mulan,Beauty and the Beast,Pocahontas,The Little Mermaid,Beauty and the Beast
165,"This song you can hear in the track is from the Walt Disney animated movie Mulan.
",False,True,,,True
166,"What year did the movie Misery first hit the movie theatres in the United States?
",1990,1993,1994,1992,1990
167,"Who was the director of  the hit 90s movie Misery?
",Richard Bachman,Stephen King,Rob Reiner,Ron Howard,Rob Reiner
168,"What was the name of the character played by the  Academy Award-winning actress Kathy Bates in the sensational movie Misery?
",Dominique Wilkes,Annie Jilkes,Annie Wilkes,Penny Wilson,Annie Wilkes
169,"What is the profession of Paul Sheldon, played by James Caan, in the movie Misery?
",Limo Driver,Milkman,Writer,Mailman,Writer
170,"In the 90s movie Misery, how does Paul Sheldon end up waking up in somebodys home?
",car accident,boating accident,plane crash,He went to the wrong house,car accident
171,"In the movie Misery, Paul sends Annie to the store. What does she buy for him?
",beer,typing paper,sledgehammer,some print for the typewriter,typing paper
172,"In the thriller Misery,  Annie finds out that Paul has been out of his room. She then gets even with him by doing what?
",breaking his ankles with a hockey stick,breaking his arms with a pick axe,breaking his ankles with a sledgehammer,breaking his ankles with a baseball bat,breaking his ankles with a sledgehammer
173,"How does Annie Wilkes get knocked out in the movie Misery?
",Paul cracks her in the head with one of his books.,Paul breaks the champagne bottle over her head.,Paul clubs her in the head with a tire iron.,Paul trips her and she hits her head on a typewriter.,Paul trips her and she hits her head on a typewriter.
174,"In the film Misery, Paul leaves his room while Annie is out of the house. How does he find out about her incriminating background?
",He finds 12 dead bodies in the basement.,He is watching television and sees a story about her on the news.,Somebody comes to the house and tells him about her past.,He finds an old scrapbook.,He finds an old scrapbook.
175,"At the end of the movie Misery, Paul is explaining to his book editor that sometimes he still sees Annie walking around. While he is saying this, he sees Annie walking towards him. Who is actually walking towards him?
",A limousine driver,A bellhop,a police officer,A waitress in the restaurant,A waitress in the restaurant
176,"What year did the movie My Cousin Vinny first hit the theatres?
",1995,1990,1991,1992,1992
177,"Who played the tough Judge Chamberlain Haller in the movie My Cousin Vinny?
",Fred Gwynne,John Astin,Al Lewis,Jackie Coogan,Fred Gwynne
178,"In the movie My Cousin Vinny,  in what field is Mona Lisa considered an expert witness?
",automobiles,beauty tips,The New York Yankees,chewing gum,automobiles
179,"What year did the hilarious movie The Bad News Bears first hit the movie theatres in the United States?
",1974,1976,1980,1979,1976
180,"In the movie The Bad News Bears, what is the name of the coach of the Bears, portrayed by Walter Matthau?
",Fred Eichelberger,Morris Buttermaker,Morris Engelberg,Forest Green,Morris Buttermaker
181,"The best pitcher on the team in the movie The Bad News Bears was a girl who pitched right handed.
",True,False,,,True
182,"What was the name of the teams power hitter in The Bad News Bears, who used to ride a motorcycle?
",Kelly,Telly,Rudi,Toby,Kelly
183,"What was the name of the company that sponsored the Bears in the movie The Bad News Bears?
",Just Some Guys Kids,Diplomat Cleaners,Chicos Bail Bonds,Buttermakers Troublemakers,Chicos Bail Bonds
184,"Who was the wise cracking shortstop for the Bears in the movie The Bad News Bears?
",Tanner,Rudi,Roy,Cleveland,Tanner
185,"What state do the Bears play in the movie The Bad News Bears?
",California,Texas,Philadelphia,New York,California
186,"In the movie The Bad News Bears, the Bears actually make it to the championship game. What is the name of the team that the Bears play in the championship?
",Angels,Red Sox,Yankees,Mets,Yankees
187,"In the movie The Bad News Bears, Kelly hits a game winning grand slam and leads the Bears to a championship victory.
",True,False,,,False
188,"In The Bad News Bears, Ahmad is an African American boy who plays right field for the Bears and wears uniform #44. He is a big fan of what Hall of Fame baseball player?
",Reggie Jackson,Willey McCovey,Orlando Cepeda,Hank Aaron,Hank Aaron
