,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
56,"This line from the Bible is from an address by God to Noah: 鈥淎nd the bow shall be in the cloud and I will look upon it that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.鈥
",False,True,,,True
57,"According to the Bible, Judas Iscariot was paid 30 pieces of gold to betray Jesus.
",True,False,,,False
58,"In Genesis, we can read that Joseph was sold into slavery by his brothers.
",False,True,,,True
59,"The magic wand is a must have accessory of every witch, if she wants to work wonders. What is the wand is made of?
",Glass,Metal,Chestnut,Hazel,Hazel
60,"Every new witch receives a special craft name, which they only disclose to coven members and keep a secret from everyone else.  Why?
",It would bring ill fate upon the person,It would take away the magical powers of the coven,It would kill the person who knows the secret name,Knowing the craft name gives magical powers,Knowing the craft name gives magical powers
61,"Incense is often used in witchcraft.  What is the meaning of jasmine scented incense?
",To ease hurt caused by love,Luck in love,True love,Intense desire,Luck in love
62,"This is one of the most widely used religious symbols. It is generally used for protection. Even though it is often associated with witchcraft, it was also used in Christianity, symbolizing the five wounds of Christ.
",Hazel,Sword,Pentagram,Chalice,Pentagram
63,"This is when the spell casting powers are at their fullest.  It is the hour of midnight on a full moon.
",The Midnight Hour,The Power Hour,The Witching Hour,The Moon Hour,The Witching Hour
64,"It is  the magical power of this herb: In the event of some kind of troublesome misfortune, gather the root with care during the descent of the lions cub and hang it around your neck.  It will drive away cares and cause a merry heart. - Syrenius (1540 - 1611).
",Wormwood,Barberry,Betony,Angelica,Angelica
65,"An ancient tradition was to distinguish witches by their color. There were white, red, green, etc. witches. The tradition doesnt exist any more but the meaning of the colors is still applied in various practices. What is the color for these magical uses: divination, spirituality, protection, psychic powers, healing, truth, peace?
",Green,Pink,White,Yellow,White
66,"When you collect flowers or herbs for magical purposes you should have in mind the hour at which you gather them. What are the magical hours?
","3, 6, 9 and 12","4, 6, 8 and 11","1, 7, 9 and 11","1, 4, 5 and 10","3, 6, 9 and 12"
67,"This ancient pagan ritual was practiced in Scotland until the end of the 19th century. It allows a couple to make a commitment to each other within their own spiritual path. This commitment lasts for one year and a day. After that the couple can go their own way or renew their bond.
",Handfasting,Faerie,Anam cara,A prayer of passage,Handfasting
68,"What is this spell used for?  Dear Father, tsar fire, be gentle and kind to me.  Burn away all my aches  pains, tears  worries.
",Love,Happiness,Wealth,Faith,Happiness
69,"Every Catholic can receive any of the seven sacraments, but no one can receive all seven.
",False,True,,,False
70,"What is the Catholic term describing a place of purification after bodily death, but before the soul enters heaven?
",apocalypse,limbo,purgatory,apocrypha,purgatory
71,"This part of the Catholic mass, in which the priest asks God to change the bread and wine into Jesus body and blood, is called what?
",invocation,consecration,offertory,communion,consecration
72,"The Hail Mary is a biblical prayer.
",True,False,,,True
73,"What was the church council that revised the prayers used in the Catholic mass and authorized masses to be said in the language of the local people?
",Nicea,Vatican II,Vatican I,Trent,Vatican II
74,"A schism in the Christian church culminated in two bishops excommunicating each other in 1054, resulting in what?
",the division between Catholicism and Orthodoxy,the Protestant Reformation,the ecumenical movement,the Crusades,the division between Catholicism and Orthodoxy
75,"There are ten holy days of obligation, days other than Sunday on which all the worlds Catholics are required to attend mass.
",False,True,,,False
76,"What is the Catholic term for a person who, after death, goes to heaven?
",saint,cherub,seraph,angel,saint
77,"What does the Catholic church teach about Mary, Jesus mother?
","She was a virgin when Jesus was born, but not necessarily after.",Joseph divorced her quietly after Jesus was born.,"She was a virgin when Jesus was conceived, but not necessarily after.",She was a virgin until her death.,She was a virgin until her death.
78,"According to the Bibles description of the creation of the world, on what day of the week were the sun, moon, and stars formed?
",Second,Third,Fifth,Fourth,Fourth
79,"According to the Bible, Sarah and Abraham have a common relative by blood.
",False,True,,,True
80,"Who begged for the body of Jesus to give it a proper burial?
",Joseph of Arimathaea,Peter,Mark,Matthew,Joseph of Arimathaea
81,"What scripture of the King James Bible is most noted for the story of the birth of Jesus?
","Luke, Chapter 1","Luke, Chapter 3","Luke, Chapter 2","Matthew, Chapter 2","Luke, Chapter 2"
82,"According to the biblical texts, whom do these words belong to: Thou shalt have no other gods before me!?
",Moses,Aaron,Miriam,God,God
83,"The first of the 10 commandments that also contains a promise was Honor thy Father and Mother.
",True,False,,,True
84,"Who was Ruths mother-in-law according to biblical texts?
",Mara,Naomi,Orpah,Boaz,Naomi
85,"According to the Bible, Ruth was the great grandmother of David.
",False,True,,,True
86,"Who wrote Epistle to the Romans, included in the New Testament canon of the Christian Bible?
",Peter,Paul,Mark,Luke,Paul
87,"According to Christian beliefs, what was the nature of the first sin man ever committed?
",Greed,Murder,Disobedience,Blasphemy,Disobedience
88,"According to the Bibles interpretation of Moses life, who ran along the bank to make sure that Moses was alright in his basket after he was set adrift on the Nile river?
",His brother,His mother,His sister,His father,His sister
89,"According to the Bible, did the Pharaoh鈥檚 wife find little Moses who was drifting along the Nile in a basket.
",No,Yes,,,No
90,"What does the name Moses mean according to the Biblical texts?
",Found,Child of the river,Conceived by a Hebrew,Drawn out,Drawn out
91,"What was the name of Mosess brother according to the Bible?
",Clive,Aaron,Peter,John,Aaron
92,"According to Exodus, what was the ninth plague that God inflicted on Egypt in order to convince Pharaoh to let the Israelite slaves leave?
",Death of First Born Child,Lice,Darkness,Frogs,Darkness
93,"Why did Moses have to flee out of Egypt and settle on the Sinai Peninsula according to the Bible?
",He killed an Egyptian,He was banned for disrespectable behaviour towards the Pharaoh.,None of these,He killed the Pharaoh,He killed an Egyptian
94,"According to the last chapters of Exodus, what was the Tabernacle, which was built after the Israelites passed safely the Red Sea with Gods help?
",A vehicle with a prayer altar,A portable prayer altar,A portable place of worship,A portable irrigating system,A portable place of worship
95,"Who is the second oldest living man according to the Bible?
",Enoch,Mahalalel,Jared,Methuselah,Jared
96,"What is the name of the only Archangel mentioned in the Bible?
",Lucifer,Jesus,Michael,Gabriel,Michael
97,"Who was emperor of Rome at the time of Jesus death?
",Augustus,Tiberius,Caligula,Claudius,Tiberius
98,"King Solomon had 300 wives and 700 concubines.
",False,True,,,False
99,"This tradition was founded in England in the 1960s by Alex Sanders, who referred to himself as the King of his Witches.
",Strega,Gardnerian,Celtic,Alexandrian,Alexandrian
100,"Caledonii tradition comes from this country.
",France,Italy,England,Scotland,Scotland
101,"This system is indigenous to South Central Pennsylvania, USA.
",Strega,Satanic,Pow-Wow,Seax-Wica,Pow-Wow
102,"This tradition was founded by Raymond Buckland in 1973.
",Seax-Wica,Dianic,Teutonic,Hereditary,Seax-Wica
103,"This tradtion is also know as the Nordic tradition.
",Eclectic,British Traditional Witch,Pictish,Teutonic,Teutonic
104,"The International Red Garters are an organization of British traditional witches.
",False,True,,,True
105,"If I practice the Craft by myself,  not as part of a coven, I am said to be this.
",Strega,Solitary,Alexandrian,Pictish,Solitary
106,"An eclectic witch strictly follows his or her chosen tradition.
",True,False,,,False
107,"Voodoo is actually a religion, which originated in Africa. Voodoo comes from the West African word vodun. What does vodun mean?
",Revenge,Spirit,Doll,Death,Spirit
108,"The structure of Voodoo, as we know it today, was developed after the Europeans started slavery. Where was Voodoo born?
",Jamaica,Hawaii,Taiti,Haiti,Haiti
109,"Voodoo rituals include animal sacrifice.
",True,False,,,True
110,"The French rulers persecuted Voodoo priests and practitioners. In 1791 a revolution exploded, which was led by the Voodoo priests. It ended in the year of Napoleons crowning.
",1784,1804,1754,1854,1804
111,"The high Voodoo priest and priestess are often called this.
",Papa and Maman,Supreme Magicians,Son and Daughter of the Serpent,Dad and Mum,Papa and Maman
112,"Voodoo Dancing is just a prelude to sexual frenzy.
",True,False,,,False
113,"In Voodoo, God is considered to be too distant for people to communicate with. Therefore, Voodoo priests communicate with God through Loa. What is Loa?
",The spirits,The dolls,The drums,The demons,The spirits
114,"Voodoo dolls are commonly used for voodoo.
",False,True,,,False
115,"Voodoos equivalent in Cuba is Santeria. Do you know which the equivalent of Voodoo in Brazil is?
",Maabaa,Mooboo,Macumba,Mojo,Macumba
116,"Nowadays Voodoo is no longer a religion.
",True,False,,,False
117,"How is New Year referred to in Judaism?
",Tzom Gedalia,Rosh Hashannah,Yom KIppur,Shabbat,Rosh Hashannah
118,"At Passover, Jews eat a special meal done in a special order.  What is that meal called?
",A festavus for the rest of us,A seder,A Shidduch,A circumcision,A seder
119,"What is the traditional Jewish prayer book called?
",Siddur,Seder,The United Psalmistry,Shofar,Siddur
120,"How many letters are in the hebrew alphabet?
",24,22,25,20,22
121,"How many vowels are in the Hebrew alphabet ?
",8,0,5,6,0
122,"We consider there to be three Patriarchs in Judaism. Who were they?
","Moses, David, Abraham","Abraham, David, Moses","Abraham, Issac, Jacob","David, Joshua, Solomon","Abraham, Issac, Jacob"
123,"In Judaism, who was Joshuas father?
",Abraham,Solomon,Nun,Moses,Nun
124,"On the first day of which month do Jews celebrate New Year?
",Cheshvan,Adar,Tishrei,Av,Tishrei
125,"Which Hebrew phrase is most commonly associated with the English expression Good Luck and/or Congratulations?
",Laych lGehinnom,Hayem Yankel,Oy Vey,Mazel Tov,Mazel Tov
126,"Who was the Baal Shem Tov ?
",The founder of the Bnai Brith,The first Premier of  Israel,The founder of Chassidism,The first President of Israel,The founder of Chassidism
127,"According to the second half of the Acts of the Apostles, what was Pauls name before God changed it?
",Peter,Luke,Saul,John,Saul
128,"The second chapter of the Gospel of Luke, Luke 2, tells us the story of Christs birth.
",True,False,,,True
129,"In the Old Testament, a man is said to have lived to be 969 years old.
",False,True,,,True
130,"There is a man in the Bible named Rehoboam who had 88 children.
",False,True,,,True
131,"There was an army mentioned in the Old Testament that consisted of men who were all left-handed and numbered 700.
",False,True,,,True
132,"Does the Bible ever speak of the sun moving backwards?
",No,Yes,,,Yes
133,"Which line gives the correct order of the first 5 books of the Old Testament?
","Genesis, Leviticus, Numbers, Deuteronomy, Exodus","Genesis, Exodus, Numbers, Deuteronomy, Leviticus","Genesis, Exodus, Leviticus, Deuteronomy, Numbers","Genesis, Exodus, Leviticus, Numbers, Deuteronomy","Genesis, Exodus, Leviticus, Numbers, Deuteronomy"
134,"What tribe of Israel was Moses born into?
",Reubon,Benjamin,Jacob,Levite,Levite
135,"Eye of newt and toe of frog
", one of the most famous spells in English literature. In what Shakespeare play do the three witches cast their evil spells?,Macbeth,The Tempest,Hamlet,ol of bat and tongue of dog 
136,"She held me spellbound in the night
",azy laughter in another room ,d she drove herself to madness,th a silver spoon.,at group sings about a Witchy Woman with the moon in her eyes?,ncing shadows and firelight
137,"Do you think God knew what He was doing when he created woman? Or do you think it was another one of his minor mistakes like tidal waves, earthquakes or FLOODS!, asked Daryl Van Horne in The Witches of Eastwick. What actor played Daryl Van Horne, just your average horny little devil?
",Dennis Hopper,Harvey Keitel,Christopher Walken,Jack Nicholson,Jack Nicholson
138,"Ding dong the witch is dead.
",e wicked witch.,l you could see under the house was two shrivelled up legs and a pair of ruby slippers. Which wicked witchs demise brought forth such joy to the citizens of Oz in the book The Wizard of Oz?,The Wicked Witch of the East,The Wicked Witch of the West,ich old witch?
139,"The movie An American Haunting was based on one of the most famous hauntings in American folklore. A Tennessee farmer shot at a strange animal with the body of a dog and the head of a rabbit.  What name was given to the entity that haunted the family and was said to have murdered the Tennessee farmer?
",The Blair Witch,The White Witch,Mother Shipton,The Bell Witch,The Bell Witch
140,"The works of this Jewish thinker formed the basis of the writings of Thomas Aquinas.
",Rashi,Bal Shem Tov,Maimonides,Ibn Gabriol,Maimonides
141,"What is prayer shawl worn by Jews in the morning Jewish services, during the Torah service, on Yom Kippur, and other holidays called?
",A kippah,A mohel,A mezzuzah,A tallit,A tallit
142,"Even when Jewish men are not reading Torah, they wear a garment with fringes with knots. It is worn under the shirt with the fringes exposed. What is this garment called ?
",Yarmulka,Tephilin,Tallit katan,Kippah,Tallit katan
143,"The night before Yom Kippur, called this,  is the most important night service in Judaism.
",Rosh Hashannah,Musaff,Shabbat  HaGadol,Kol Nidre,Kol Nidre
144,"The most important prayer in Judaism is called the Shema. What does it affirm?
",That we will not be moved,Our faith that there is one and only God.,That everyday problems will eventually solve if we have faith,We thank God for delivering us from at least some of our problems,Our faith that there is one and only God.
145,"What is the first letter of the Hebrew alphabet?
",Dalet,Gimmel,Bet,Aleph,Aleph
146,"What do Jews do when the case which houses the Torah is opened?
",Become quiet,Close eyes,Bow heads,Stand up,Stand up
147,"On the Holy Day of Yom Kippur, Jews ask that all their sins be forgiven.
",True,False,,,True
148,"On which Holy Day do Jews feast on unleavened bread?
",Rosh Hashannah,Channukah,Passover,Yom Kippur,Passover
149,"There are two ways to pronounce Hebrew words. One is called Ashkanazi and the other one, this
",Galut,Asian,Sawphateet,Sephardic,Sephardic
150,"These fundamental statements have led to the formulation of the Buddhist philosophy, and contain the basic principles of the spiritual teacher, Buddha.
",The Seven Articles of Faith,The Three Scrolls,The Ten Paths,The Four Noble Truths,The Four Noble Truths
151,"What is the central theme of the teachings of religious teacher Buddha and of Buddhist philosophy as a whole?
",Happiness,Achieving perfection,Achieving unity with nature,Suffering,Suffering
152,"What was the birth name of the historic figure known as Buddha, the founder of the Buddhist religion?
",Siddhartha Gautama,Jakili Saruputa,Elkini Baros,Malik Mohammed,Siddhartha Gautama
153,"What is the formula to end or reduce suffering according to the principles of Buddhism?
",The Ten Righteous Practices,Deep Meditation,The Noble Eightfold Path,The Six Cures,The Noble Eightfold Path
154,"After completing his religious reawakening, Buddha considered himself to be which of these?
","a man, who woke up to the nature of reality",a god,"a prophet, sent by a supreme being to deliver the universal truth",pure spiritual energy,"a man, who woke up to the nature of reality"
155,"The beginning of the Buddhist religion can be traced back to the fifth century BC in which country?
",China,Thailand,India,Pakistan,India
156,"What is the Japanese variation of Buddhism, that emphasizes on the role of sitting meditation in pursuing enlightenment?
",Mahayana,Thervada,Zen,Tantric,Zen
157,"What is the definition of Zen Koan, one of the important aspects of Buddhist religious practices?
","A question, meant to challenge rational thinking",A clan of spiritual leaders in the Zen Buddhist religious community,"A sitting pillow, used during mediation",An robe worn by Zen Buddhist monks,"A question, meant to challenge rational thinking"
158,"Creating complex, radial, and symbolic sand paintings is a practice typical for which branch of Buddhism?
",Theravadic Buddhism,Tibetan Buddhism,Nichiren Buddhism,Zen Buddhism,Tibetan Buddhism
159,"Which of the following statements best describes the essence of Buddhism?
",It is a means for people to save themselves.,"It is the legacy of a prophet, sent to earth with a message of universal love.",It is a religion that seeks to attract and convert others.,It is a tradition aimed at spreading peace in the world.,It is a means for people to save themselves.
160,"Son of a Jewish immigrant from Breslau, Prussia, Lucius Nathan Littauer was born in Gloversville, Upstate New York, in 1859. Being a politician wasnt his only occupation; what is Lucius Littauers other achievement with which he remained in history?
",The first Jewish  basketball coach in Oxford,The first professional Jewish baseball player,The first Jewish football coach at Harvard,The first Jewish professional football coach,The first Jewish football coach at Harvard
161,"Julius Vogel, a London born Jew, who first became involved in politics in 1862, was the first Jew to be on this political post.
",Prime Minister of Australia,Prime Minister of Canada,Prime Minister of New Zealand,Governor General of Canada,Prime Minister of New Zealand
162,"During the 1968 presidential campaign, Rabbi Baruch Korff developed a personal relationship with this American president, who even referred to Korff as My Rabbi.
",Gerald Ford,Lyndon Johnson,Richard Nixon,Jimmy Carter,Richard Nixon
163,"In 1927 Charles A. Levine was the first Jew to do what?
",Fly the Atlantic,Fly a USAF fighter,Get a degree in aerospace engineering,Build a monoplane,Fly the Atlantic
164,"In what business did John M. Brunswick and his two half brothers, David and Emmanuel, make their fortune?
",Entertaining industry,Aircraft industry,Billiard table business,Cell phone business,Billiard table business
165,"The music for Somewhere Over the Rainbow, one of the most famous and beloved songs of the late 1930s, was based on a Jewish Cantorial theme.
",True,False,,,True
166,"Isachar Zacharie, an English born Jew, who was related to important American politicians, worked as what?
",Lincolns podiatrist,Al Gores press secretary,The first Jewish Prime Minister,Washingtons lawyer in Virginia,Lincolns podiatrist
167,"Why was Rabbi David Einhorn, a German rabbi and later leader of the Jewish reform movement in the United States, forced to leave Baltimore in 1861, during the Civil War?
",He expressed too radical views,"He insulted the Governor of Maryland,Thomas Hicks","He insulted the Mayor of Baltimore, George Williams",He preached against slavery,He preached against slavery
168,"A famous and talented composer was almost bankrupt when he wrote one of his best-known works, Judas Maccabaeus - an oratorio based on a Jewish theme. Who was this classical composer?
",Hayden,Handel,Chopin,Mozart,Handel
169,"Marty Glickman and Sam Stoller were great 100-yard runners in the 1930s. They were to be on the 4x100 meter relay race team for the USA in the 1936 Olympics, but eventually did not take part in the race. What was the reason?
",They were late to the field,They refused to run on Saturday (Shabbos),They were caught using steroids,Hitler demanded their exclusion,Hitler demanded their exclusion
170,"Bodhisattva is consciously seeking what?
",Tranquility,Enlightenment,Thangka,Buddha,Enlightenment
171,"What is Dharma?
",The cosmic principles of existence,The Hindu Goddess of happiness,The extinction of desire and individual consciousness,Same as Adharma,The cosmic principles of existence
172,"Buddhist believe that this depends on the actions that we have taken in the past.
",Our Nirvana,Our happiness,Our births,Our Karma,Our births
173,"In Buddhism the cycle of rebirths is known as what?
",Bodhi,Dharma,Samsara,Thangka,Samsara
174,"Which saint is known as the patron of children?
",Anthony,Nicholas,Barbara,Martha,Nicholas
175,"Who is known as the patron of India?
",Francis Xavier,John the Divine,Giles,Catherine,Francis Xavier
176,"St. Benedict is known as the patron of which of these groups of people?
",Monks,Librarians,Musicians,Fishermen,Monks
177,"Who was the first Italian-American woman to be canonized as a saint of the Catholic Church?
",Mother Catherine,Dorothea of the Angels,Frances Cabrini,Agnes of God,Frances Cabrini
178,"Which saint is referred to as the patron of fishermen?
",Andrew the Apostle,Raphael the Archangel,Jerome,Sebastian,Andrew the Apostle
179,"Which  saint is most often invoked for the recovery of a lost object?
",Josephine,Rebecca,Anthony,Jude,Anthony
180,"Who used to be the patron saint of travelers?
",St. Michael,St. Christopher,St. Theresa,St. Andrew,St. Christopher
181,"Which saint is the patron of all animals and living creatures?
",Francsis of Asissi,Francis de Salles,Francis of Rome,Francis Xavier,Francsis of Asissi
182,"Who is the patron saint of writers and librarians?
",Jerome,Thomas Aquinas,Gregory,Edward the Confessor,Jerome
183,"To which saint does one pray for healthy eyes?
",St. Mary of Naples,"St. Lucy, Virgin",St. Frances of the Holy Redeemer,St. Anne,"St. Lucy, Virgin"
184,"What is the Hindu Trinity?
","Shiva, Brahma, Krishna","Shiva, Lakshmi, Ganesh","Vishnu, Brahma, Shiva","Buddha, Brahma, Ganesh","Vishnu, Brahma, Shiva"
185,"Hinduism is a monotheistic religion.
",True,False,,,False
186,"What is the most sacred river for Hindus?
",Jamuna,Gange,Siddharta,Goa,Gange
187,"How many women-followers did the Hindu deity Lord Krishna have?
",108,2,1,167,108
188,"What are the main characters of the ancient Sanskrit epic Ramayana?
",Brahma and Vishnu,Rama and Krishna,Rama and Sita,Krishna and Shiva,Rama and Sita
189,"Who is the founder of the International Society for Krishna Consciousness, known as the Hare Krishna?
",Prabhupada,George Harrison,Sai Baba,Dalai Lama,Prabhupada
190,"Lord Ganesh, one of the most worshipped divinities in Hinduism, has the head of what animal?
",cobra,lion,bear,elephant,elephant
191,"Which of these belonged to the highest-ranking Hindu caste?
",widows,warriors,priests,workers,priests
192,"Krishna is an incarnation of which Hindu god?
",Vishnu,Buddha,Shiva,Brahma,Vishnu
193,"The Swastika is a solar symbol for Hindus.
",False,True,,,True
194,"According to the Book of Esther, Esther replaced this disobedient Biblical queen.
",Queen Ruth,Queen Vashti,Queen Mary,Queen of Sheba,Queen Vashti
195,"This brave Biblical woman led the Israelites to victory in the battle against Sisera.
",Rebecah,Leah,Sarah,Deborah,Deborah
196,"According to the Bible, King David saw this beautiful woman bathing, and immediately desired her, but she was married.
",Ahinoam,Abigail,Michal,Bathsheba,Bathsheba
197,"This Biblical woman couldnt have children, but finally God granted her a son, who was to be named Samuel and become one of the Bibles most prolific prophets of all time.
",Hannah,Abigail,Peninnah,Hagar,Hannah
198,"According to the New Testament, this woman had a son called John the Baptist.
",Martha,Elizabeth,Maacah,Mary,Elizabeth
199,"According to the Book of Exodus, this brave mother hid her young baby son, Moses, in a basket along the Nile River, so that no one could kill him.
",Jochebed,Miriam,Martha,Zipporah,Jochebed
