,Questions,answer_A,answer_B,answer_C,answer_D,Correct_answer
29,"This American is an actor, producer, director and general philanthropist.  He is responsible for setting up the Sundance Independent Film Festival.
",Stephen Dorff,Matthew Broderick,Nick Nolte,Robert Redford,Robert Redford
30,"This British actor is mainly known for his portrayal of a schoolboy wizard, but has also appeared on stage naked!
",Frank Converse,Kenneth Branagh,Ewan McGregor,Daniel Radcliffe,Daniel Radcliffe
31,"This versatile young actor has played a diverse range of characters in films, but is known best as a heroic little hobbit in Peter Jacksons blockbuster trilogy of Lord Of The Rings.
",Haley Joel Osment,Elijah Wood,Ryan Reynolds,Edward Speleers,Elijah Wood
32,"This British actor is probably best known for playing the villain Blofeld in the James Bond series of films and Dr. Loomis in the Halloween movies.
",Stuart Townsend,Samuel West,Donald Pleasence,Tom Baker,Donald Pleasence
33,"Which actor, who played Legolas in The Lord of the Rings trilogy, was born on January 13, 1977?
",Elijah Wood,Sean Astin,Orlando Bloom,Viggo Mortensen,Orlando Bloom
34,"What more than 10-time Grammy Award winning pop singer was born on February 2, 1977.
",Nelly Furtado,Pink,Mya,Shakira,Shakira
35,"This actress, who starred in the movie I Know What You Did Last Summer, was born on April 14, 1977. What is her name?
",Rachael Leigh Cook,Jennifer Love Hewitt,Sarah Michelle Gellar,Brandy,Sarah Michelle Gellar
36,"Which singer, born on January 28, 1977, was a member of the popular boy-band N Sync?
",Joey Fatone,Lance Bass,Nick Carter,Justin Timberlake,Joey Fatone
37,"This actor, who is also an animal rights activist, was born on August 2, 1977. He was arrested in Kentucky for attempting to free lobsters from a grocery store.
",Chris Klein,Macaulay Culkin,Edward Norton,Edward Furlong,Edward Furlong
38,"What instrument did Louis Armstrong play?
",Saxophone,Trumpet,Clarinet,Violin,Trumpet
39,"What instrument did jazz musician Benny Goodman play?
",Drums,Flute,Clarinet,Saxophone,Clarinet
40,"Prince can play the drums.
",False,True,,,True
41,"Matt Cameron, who has been a member of Soundgarden and Pearl Jam, plays what instrument?
",Keyboards,Drums,Bass,Guitar,Drums
42,"Bobby Militello of The Dave Brubeck Quartet plays the piano.
",False,True,,,False
43,"Adam Yauch, one of the founding members of the Beastie Boys, plays which of the following instruments?
",Turntable,Bass,Keyboards,Guitar,Bass
44,"Buddy Guy played a Fender Stratocaster.
",True,False,,,True
45,"David Bowie plays many instruments, which of the below does he also play?
",French Horn,Cello,Flute,Bass,Cello
46,"Nick Rhodes from Duran Duran plays what instrument?
",Keyboards,Tuba,Symbols,Drums,Keyboards
47,"What is the middle name of John Stamos?
",Jesse,Ronald,Roy,Phillip,Phillip
48,"Actor John Stamos didnt play in which one of these shows?
",Full House,General Hospital,Different Strokes,ER,Different Strokes
49,"John Stamos original family name was Stamotopoulos.
",False,True,,,True
50,"John Stamos dated singer and American Idol judge, Paula Abdul.
",No,Yes,,,Yes
51,"Was John Stamos cast in the role of the main character Jake in Jake in Progress?
",Yes,No,,,Yes
52,"The TV sitcom Fullhouse ran on ABC for how many seasons?
",1,6,8,11,8
53,"John Stamos was born in Cypress, California on what date?
","August, 2","August, 19","July, 11","August, 12","August, 19"
54,"Did Rebecca Romijn and John Stamos divorce in 2005?
",Yes,No,,,Yes
55,"John Stamos appeared in an episode of Friends.
",True,False,,,True
56,"The song A Day in the Life, from the Beatles Sgt. Peppers album, contains a Paul McCartney death clue that supposedly reveals what?
",Pauls age when he died,Who took Pauls place in the band,The manner of Pauls death,Why Pauls death was kept a secret,The manner of Pauls death
57,"Who took Paul McCartneys place in the Beatles, according to a death clue in the song Sgt. Peppers Lonely Hearts Club Band on the album of the same name?
",Mr. Kite,Sgt. Pepper,Billy Shears,An unnamed replacement,Billy Shears
58,"The Paul is dead myth holds that Paul McCartney died on November 9, 1966.  Which of the following is not a clue suggesting that date?
","The bass drum on the Sgt. Peppers album cover has a hidden message, visible by holding a mirror through the middle of the drum, indicating 11/9.","The lyrics of Shes Leaving Home include the line, Wednesday morning at five oclock, and November 9, 1966, was a Wednesday.",The repetition of number nine in the song Revolution 9 means November nine.,The Beatles had released nine albums by the time Paul supposedly died.,The Beatles had released nine albums by the time Paul supposedly died.
59,"Richard Kiel, who is 72 tall, remains best known for which role in the James Bond movies?
",Jaws,Mr. Kidd,Largo,Mister Big,Jaws
60,"Sean Connery was placed third in the tall mans division of 1953 Mr. Universe Bodybuilding Contest.
",True,False,,,True
61,"Which of the following James Bond movies, starring Sean Connery, was released first?
",Thunderball,Never Say Never Again,From Russia with Love,Dr. No,Dr. No
62,"What of these was the last movie Sean Connery made?
",Finding Forrester,The League of Extraordinary Gentlemen,First Knight,The Avengers,The League of Extraordinary Gentlemen
63,"Sean Connery was offered a role in The Matrix but turned it down.
",True,False,,,True
64,"Sean Connery has done voice-over work in a video game.
",True,False,,,True
65,"Sean Connery got tattoos while he was in the Navy.
",False,True,,,True
66,"Why was Sean Connerys service in the Navy shortened?
",Bad conduct,none of the above,injury to his back,stomach ulcer,stomach ulcer
67,"This actor gave his voice to the popular animated cartoon cat Garfield. He was also known as the voice of Carlton, the doorman on the television comedy Rhoda, a spin-off of the Mary Tyler More Show.
",Lorenzo Music,Billy Gilbert,Ernie Sabella,Peter Falk,Lorenzo Music
68,"An elephant in Dumbo, the Queen of Hearts in Alice in Wonderland, and Flora in Sleeping Beauty were some of the best roles of this voice actress.
",Edith Head,Nancy Cartwright,Lucille La Verne,Verna Felton,Verna Felton
69,"You remember this actress voice from Mulan (Grandmother Fa), Cinderella (Lucifer the Cat) and The Smurfs (Jokey Smurf and Mother Nature). She was also Granny, the owner of Tweety and Sylvester the cat.
",Adriana Caselotti,Mary K. Bergman,Shaaron Claridge,June Foray,June Foray
70,"Which of these characters was voiced by Adriana Caselotti, an Italian-American actress of a musical family?
",Roger Rabbit,Snow White,The Little Mermaid,Cinderella,Snow White
71,"This TV and voice actor is from a Jewish family from Greece. He has had many voice roles (numerous characters on the The Simpsons, Eddie Brock in the Spider-Man animated series), several Emmys, and roles in many movies and TV shows.
",Mike Judge,Johnny Knoxville,Hank Azaria,Paul Giamotti,Hank Azaria
72,"To which of these animated films has popular American actress and voice artist, Mae Questel not contributed?
",Who Framed Roger Rabbit,Popeye the Sailor,Micky Mouse,Betty Boop,Micky Mouse
73,"This remarkable ventriloquist voiced Scooby-Doo, Papa Smurf, Astro (the Jetsons dog), Hampton Pig, Boo-Boo (Yogi Bears buddy) and Ruff from Ruff n Reddy.
",Don Messick,Thurl Ravenscroft,Trey Parker,Hans Conreid,Don Messick
74,"This voice actor was often called the king of the movie trailer, having voiced the trailers for over 3,000 movies. He is given credit for such movie clich茅s as A one man army.... and In a world, where....
",Isaac Hayes,Peter Cullen,Don La Fontaine,Melvin Franklin,Don La Fontaine
75,"This actor from Paterson, New Jersey voiced Joe Swanson in Family Guy, Kronk in The Emperors New Groove, and Tick in TV series, Tick.
",Mike Judge,Daws Butler,Tex Brasher,Patrick Warburton,Patrick Warburton
76,"Bill Scott, a voice actor, writer, and producer of animated cartoons, primarily in association with Jay Ward, was the voice of three of these characters. Name the one he did not voice.
",Boris Badenough,Bullwinkle,Mr. Big,George of the Jungle,Boris Badenough
77,"This American actress, born in Paris, is best known for voicing Lisa Simpson from The Simpsons series. She also appeared on the situation comedies Hermans Head and Dharma and Greg.
",Julie Kravner,Yeardley Smith,Nancy Cartwright,Daniella Castellaneta,Yeardley Smith
78,"Her name is Memphis Eve. Who is her famous dad?
",Bono,Todd Rundgren,Shaquille ONeal,Gregg Allman,Bono
79,"He changed his family name to separate himself from his famous uncle, but he named his son Kal-El.
",Jack Black,Nicholas Cage,Elliot DePalma,John Soderburgh,Nicholas Cage
80,"She has named her children Six, Seven, Fly and Puma.
",Erykah Badu,Shakira,Mel B.,Mel C.,Erykah Badu
81,"This Hawaiian born actress/singer starred in A Knights Tale; Kiss, Kiss, Bang, Bang; and appeared as a guest star on several TV shows. She named her son Audio Science Clayton.
",Edie Falco,Shannon Sossamon,Keira Knightly,Bette Midler,Shannon Sossamon
82,"Singer Sarah McLachlan has children named India Ann Sushil and Tajah Summer.
",False,True,,,True
83,"This actor and friend of Jimmy Stewart served on board the U.S.S. destroyer, Satterlee. He served honorably in war, yet his daughter spent most of her early life protesting the Vietnam War.
",Robert Mitchum,Kirk Douglas,John Wayne,Henry Fonda,Henry Fonda
84,"It was clear...frankly my dear, he did give a damn. He served honorably in WWII in the air force.
",Spencer Tracy,Clark Gable,Douglas Fairbanks,Lee Marvin,Clark Gable
85,"Nicolas Cage played one of the protagonists in the movie Fast Times at Ridgemont High.
",True,False,,,False
86,"In which of these movies has Nicolas Cage not appeared?
",Face Off,Crash (2004),Con Air,The Family Man,Crash (2004)
87,"What was the occupation of Nicolas Cages character in the movie It Could Happen to You?
",a painter,a lawyer,a judge,a police officer,a police officer
88,"In which of these movies does Nicolas Cage play an arms dealer?
",Warlord,The Warlords,Lord of War,War,Lord of War
89,"Which of these war movies stars Nicolas Cage?
",Black Hawk Down,Saving Private Ryan,Windtalkers,Thin Red Line,Windtalkers
90,"Does Willem Dafoe star with Nicolas Cage in the 1990 movie Wild at Heart?
",Yes,No,,,Yes
91,"Nicolas Cage plays Andrew Sterling in the movie Amos  Andrew.
",False,True,,,False
92,"What was the name of Nicolas Cages character in the movie City of Angels?
",Steven,Nate,Nathaniel,Seth,Seth
93,"Nicolas Cage won an Academy Award for his performance as a suicidal alcoholic in this movie.
",Wild at Heart,8mm,Leaving Las Vegas,Adaptation,Leaving Las Vegas
94,"The movie Captain Corellis Mandolin, starring Nicolas Cage, is set during which war?
",The Vietnam War,None of these,WWII,WWI,WWII
95,"What was the full name of Hardy, of the famous comedy partnership, Laurel and Hardy?
",Oliver Norwell Hardy,Oliver Wendell Hardy,Wendell Oliver Hardy,Norton Oliver Hardy,Oliver Norwell Hardy
96,"What was the full name of Laurel, of the famous comedy duo, Laurel and Hardy?
",Stanley Arthur Jefferson,Wolliam Wendell Laurel,Arthur Stanley Jefferson,Arthur Stanley Laurel,Arthur Stanley Jefferson
97,"Which was the first movie in which Stan Laurel and Oliver Hardy both appeared in 1921, albeit not as a team?
",A Lucky Dog,The Second Hundred Years,The Bohemians,The  Piano Movers,A Lucky Dog
98,"What was the last movie famous comedy duo, Laurel and Hardy made together?
",The Bohemians,Atoll K (aka Utopia),The Jerks at Sea,The Kentucky Gentlemen,Atoll K (aka Utopia)
99,"Which of these is not a name comedy duo Laurel and Hardy went by, in European countries?
",Dick und Dorf,Da Schoene und da Huebsche,El Gordo y El Flaco,Stallio and Ollio,Da Schoene und da Huebsche
100,"Which of the two members of comedy team Laurel and Hardy won a Lifetime Achievement Academy Award from the Screen Actors Guild ?
",Neither,Laurel,They won as a team,Hardy,Laurel
101,"What was the cause of American actor, Oliver Hardys death on August 7, 1957?
",Stroke,Tuberculosis,Cancer,Heart attack,Stroke
102,"Which of comedy team, Laurel and Hardys films won an Oscar for Best Comedy Short Subject in 1932?
",The Music Box,The Tie Twiddler,The Bohemian Girl,Two Jerks at Sea,The Music Box
103,"Which was the first movie in which actors Stan Laurel and Oliver Hardy officially appeared as a team?
",The Second Hundred Years (June 1927),Babes in Toyland (1934),The Lucky Dog (1921),The Music Box (1932),The Second Hundred Years (June 1927)
104,"Who co-starred with Elvis in Flaming Star?
",Debra Paget,Juliet Prowse,Shelly Fabares,Barbara Eden,Barbara Eden
105,"Which actress was Elviss love interest in Blue Hawaii?
",Joan Blackman,Judy Tyler,Debra Paget,Carolyn Jones,Joan Blackman
106,"Loving You stars Elvis Presley and this actress.
",Diana Goodwin,Judy Tyler,Barbara Eden,Dolores Hart,Dolores Hart
107,"Elviss first film, Love Me Tender, stars what leading lady?
",Dolores Hart,Judy Tyler,Dianna Goodwin,Debra Paget,Debra Paget
108,"Elviss girlfriend in Charro was played by this actress.
",Carolyn Jones,Ina Balin,Barbara Eden,Dolores Hart,Ina Balin
109,"Stay Away Joe was a completely different image for Elvis.  Who starred with him in this film?
",Ann-Margret,Katy Jurado,Carolyn Jones,Shelly Fabares,Katy Jurado
110,"Of all the movie stars Elvis Presley worked with, she was the only one to attend his funeral.
",Juliet Prowse,Ann-Margret,Stella Stevens,Shelly Fabares,Ann-Margret
111,"Who did Elvis dance the Flamenco with, in movie Girls, Girls, Girls?
",Laura Goodwin,Donna Douglas,Stella Stevens,Juliet Prowse,Laura Goodwin
112,"What actress starts in Live A Little Love A Little,  alongside Elvis?
",Nancy Sinatra,Connie Stevens,Michele Cary,Debra Paget,Michele Cary
113,"There is more than one lady after Elviss attention in the move Fun In Acapulco, but only this one can be his Bosa Nova Baby.
",Elsa Cardenas,Ann-Margret,Joan Blackman,Ursula Andress,Elsa Cardenas
114,"It Happened at the Worlds Fair (1963) stars Elvis and this beauty.
",Elsa Cardenas,Ursula Andress,Joan OBrien,Ann-Margret,Joan OBrien
115,"In the film,Wild in the Country, Elvis had to choose between three of these four leading ladies. Which actress did he pick?
",Tuesday Weld,Millie Perkins,Hope Lange,Laura Goodwin,Tuesday Weld
116,"Which R  B songstress named her child Puma?
",Toni Braxton,Erykah Badu,Lauryn Hill,Mary J. Blige,Erykah Badu
117,"Diezel is the child of which R  B songstress?
",Vanessa Williams,Toni Braxton,Brandy,Lauryn Hill,Toni Braxton
118,"Kal-el is the child of which Oscar winning actor?
",Dustin Hoffman,Nicholas Cage,Russell Crowe,Tom Hanks,Nicholas Cage
119,"This Oscar winning actress named her daughter Apple.
",Helen Hunt,Frances McDormand,Gwyneth Paltrow,Hilary Swank,Gwyneth Paltrow
120,"This former supermodel named her child Sailor Lee.
",Kathy Ireland,Rachel Hunter,Cheryl Tiegs,Christie Brinkley,Christie Brinkley
121,"Which television and movie actor has a child named Thyme?
",Patrick Dempsey,Kevin Bacon,Bruce Willis,Isiah Washington,Isiah Washington
122,"This movie star named his child Reignbeau.
",Damon Wayans,Jamie Foxx,Ving Rhames,Samuel L. Jackson,Ving Rhames
123,"Which Australian born actress named her child Banjo?
",Rachel Griffiths,Toni Collette,Naomi Watts,Nicole Kidman,Rachel Griffiths
124,"Which comedian has a child named Moxie Crimefighter?
",Adam Carolla,Penn Jillette,Jason Alexander,Chris Kattan,Penn Jillette
125,"Which musician has a son named Speck Wildhorse?
",Jon Bon Jovi,John Denver,John Mellancamp,Bono,John Mellancamp
126,"Which Aerosmith song are the following lyrics from: Sing with me, sing for the year, sing for the laughter, sing for tear..?
",Walk This Way,I Dont Want To Miss A Thing,Dream On,Rag Doll,Dream On
127,"Which is the missing word from the lyrics of the popular Aerosmith song I Dont Want To Miss A Thing: 鈥淚 could stay awake, just to hear you _________鈥?
",Sleeping,Blinking,Walking,Breathing,Breathing
128,"The following lyrics are from the song Walk On Water by Aerosmith: 鈥淐ruised into a bar on the, her picture graced the grime on the door.鈥
",True,False,,,False
129,"What Aerosmith song are the following lyrics from: 鈥淕et ready for the big time, tap dancing on a land mine鈥?
",Rag Doll,Angel,Walk This Way,Cryin,Rag Doll
130,"What is the missing word in these lyrics by Aerosmith: 鈥淚 was _____ when I met you, now Im dying to forget you鈥?
",Angry,Crazy,Cryin,Sad,Cryin
131,"What song by Aerosmith has the following lyrics: You talk about things that nobody cares, you鈥檙e wearing out things that nobody wears?
",Dream On,Sweet Emotion,Amazing,Janies Got A Gun,Sweet Emotion
132,"The following lyrics are from the song Amazing by Aerosmith: Lifes a journey, not a destination, and theres just no telling what tomorrow brings.
",False,True,,,True
133,"What Aerosmith song are the following lyrics from: That kind of lovin, sends a man, to his grave?
",Cryin,Love In An Elavator,Crazy,Angel,Crazy
134,"What is the most popular nickname of TV talk show host Jay Leno?
",The Boss,The Grandpa,The Wig,The Chin,The Chin
135,"Justin Timberlakes very curly blond hair has earned him this funny nickname.
",Perm,Surly-Curly,Curly Spice,Noddle Hair,Curly Spice
136,"What was the reason Madonna was called Madge in Great Britain?
",Because she mentions Joe DiMaggio in her song Vogue,It is just a pet name for Madonna,It is short for Your Majesty,Because she resembles Mary Magdalene,It is short for Your Majesty
137,"What is actress Courtney Coxs nickname that she was given by her family and friends as a child?
",Tsetse,CeCe,Coxie,CoCo,CeCe
138,"Reportedly president George W. Bush liked to call himself this, being a big fan of nicknames.
",The Decider,The Big Brother,The Manager,The Big Bad Boss,The Decider
139,"Gwen Stefani has been called this nickname because of her smile and her signature platinum blond hair.
",Sunshine,Sunrise,Barbie,Marilyn,Sunshine
140,"What female singer has been called Booty because of her impressive buttocks?
",Shakira,Beyonce,Jennifer Lopez,Janet Jackson,Janet Jackson
141,"What nickname was given to actor Charlie Sheen which rhymes with his last name?
",Teen,Spleen,Mean,Masheen,Masheen
142,"Aerosmiths lead singer Steven Tyler was called this nickname to refer to his powerful voice and signature vocalization.
",Soundwave,The Deafening Monster,Demon of Screaming,Gigahertz,Demon of Screaming
143,"What American actor was given the ingenious nickname Italian Stallion?
",Robert De Niro,Leonardo DiCaprio,Sylvester Stallone,Ray Liotta,Sylvester Stallone
144,"For which film did Frank Sinatra get his Oscar?
",Suddenly,Kings go Forth,From Here to Eternity,Can-Can,From Here to Eternity
145,"Which film starring Frank Sinatra was based on the life of the comedian Joe E. Lewis?
",The Tender Trap,Pal Joey,The Joker is Wild,Meet Danny Wilson,The Joker is Wild
146,"In which movie did Frank Sinatra make his starring debut?
",Higher and Higher,Take Me Out to the Ballgame,Miracle of the Bells,On the Town,Higher and Higher
147,"Which of these movies stars both Doris Day and Frank Sinatra?
",On the Town,The Tender Trap,Oceans 11,Young at Heart,Young at Heart
148,"Name the 1955 film in which Frank Sinatra co-starred with Debbie Reynolds and David Wayne.
",The Pride and the Passion,The Lady in Cement,The Tender Trap,The Devil at 4 OClock,The Tender Trap
149,"Which of these is a Rat Pack film starring Frank Sinatra set in the Old West?
",Dirty Dingus McGee,Assult on a Queen,The Miracle of the Bells,Sergeants Three,Sergeants Three
150,"Which western spoof co-starred George Kennedy and Frank Sinatra as an outlaw with a $10.00 (ten dollar) price on his head?
",Way Out West,Dirty Dingus McGee,Miracle of the Bells,Suddenly,Dirty Dingus McGee
151,"In which film did Frank Sinatra play the owner of a naughty Parisian night spot?
",The French Twist,The Joker is Wild,I Remember Paris,Can-Can,Can-Can
152,"Which 1966 Frank Sinatra films plot centred around a heist on an ocean liner?
",War and Peace at Sea,Assault on a Queen,Oceans Eleven,The Cruise Ship Caper,Assault on a Queen
153,"In which film did Frank Sinatra and Jules Munshin sing the emblematic theme song New York, New York?
",In Old New York,On the Town,"New York, New York",Wonderful Town,On the Town
154,"In which Frank Sinatra film did Old Blue Eyes play Nathan Detroit?
",On the Town,Can-Can,Guys and Dolls,"New York, New York",Guys and Dolls
155,"Which movie, for which Frank Sinatra was already cast, saw him pull out when he learned he would have to film each scene in two different technologies?
",Carousel,My Fair Lady,Guys and Dolls,Oklahoma,Carousel
156,"When and where was Robert Duvall born?
","January 5, 1931in SanDiego, California","January 5, 1951in Dumont, Texas","January 5, 1956 in Des Moines, Iowa","January 5, 1941in Annapolis, Maryland","January 5, 1931in SanDiego, California"
157,"Which statement is incorrect about Luciana Pedraza, Robert Duvalls fourth wife?
",She is over 40 years younger than he is.,She was the writer and director of the movie Portrait of Billy Joe.,She and Robert are avid Tango dancers.,"She was born in Verz Cruz, Mexico.","She was born in Verz Cruz, Mexico."
158,"Robert Duvall and his good friend Dustin Hoffman studied with the same famous acting  teacher. Who was he?
",Sanford Meisner,Uta Hagen,Lee Strassberg,Tyrone Guthrie,Sanford Meisner
159,"Robert Duvalls acting teacher got him a part in the play The Midnight Caller. Who was the author of this play?
",Tom Stoppard,Sanford Meisner,David Mamet,Horton Foote,Horton Foote
160,"Robert Duvall was the first actor to play Major Frank Burns.
",False,True,,,True
161,"For which of these movies did Robert Duvall win the Best Actor Oscar?
",The Godfather,The Apostle,Apocalypse Now,Tender Mercies,Tender Mercies
162,"Robert Duvall is known to be aligned with which political party?
",The Republican Party,The Green Party,The Libertarian Party,The Democratic Party,The Republican Party
163,"In the Godfather movies, how many men did Robert Duvalls character personally kill?
",1,5,0,2,0
164,"In which movie does Robert Duvall not portray Lt. Col. Meacham, a fighter pilot?
",The Gift of Fury,The Ace,The Great Santini,The Pilot,The Pilot
165,"To which famous American can Robert Duvall trace his lineage?
",Robert E. Lee,U.S. Grant,George Washington,William T. Sherman,Robert E. Lee
166,"Which of these roles was not played by Robert Duvall?
",Josef Stalin,James Earl Jones brother,Adolph Eichmann,Kit Carson,Kit Carson
167,"Which of these characters was not portrayed by Robert Duvall?
",Joseph Pulitzer,Dwight D. Eisenhower,Robert E. Lee,Jimmy Carter,Jimmy Carter
168,"The following lyrics are from a song by the Rolling Stones, released in 1971 as the first single of the album, Sticky Fingers.  Name the song.
",ld Coast slaveship bound for cotton fields,ld in a market down in New Orleans,arred old slaver know hes doin alright,ar him whip the women just around midnight,
169,"d Coast slaveship bound for cotton fields
",arred old slaver know hes doin alright,ar him whip the women just around midnight,Brown Sugar,Brown Sugar,ld in a market down in New Orleans
170,"The following lyrics are from Miss You, a 1978 hit song by the Rolling Stones: 
",e been waiting in the hall,en waiting on your call,en the phone rings,"s just some friends of mine that say,",
171," been waiting in the hall
",en the phone rings,"s just some friends of mine that say,","y, whats the matter man?",re gonna come around at twelve,en waiting on your call
172,"These are the opening lines of a song by The Rolling Stones, which first appeared as the opening track on the 1968 album, Beggars Banquet.  Guess the song.
",ease allow me to introduce myself, a man of wealth and taste,e been around for a long long year stolen many mans soul and faith,was around when Jesus Christ had His moment of doubt and pain,
173,"ase allow me to introduce myself
",e been around for a long long year stolen many mans soul and faith,was around when Jesus Christ had His moment of doubt and pain,Sympathy for the Devil,Harlem Shuffle, a man of wealth and taste
174,"These lyrics come from Fool to Cry, a song which appears on The Rolling Stones album, Black and Blue:
", more will my green sea go turn a deeper blue,could not foresee this thing happening to you, I look hard enough into the setting sun, love will laugh with me before the morning comes,
175,"more will my green sea go turn a deeper blue
", I look hard enough into the setting sun, love will laugh with me before the morning comes,False,False,could not foresee this thing happening to you
176,"Which statement concerning Bernie Mac is true?
","Bernie was born October 5 1963 in Compton, California.","Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1962 in Oakland, California.","Bernie was born October 5 1960 in Philadelphia, Pennsylvania.","Bernie was born October 5 1958 in Chicago, Illinois."
177,"In 1992  Bernie Mac made his film debut in this comedy about a con artist who gets a job at a credit card  company.
",MoMoney,Im Gonna Git You Sucka,Punchline,Blankman,MoMoney
178,"In 1993 Bernie Mac was in a movie about two totally inept barbers, starring Ice-T and Ed Lover.
",Barber Shop,Friday,Above Heaven,Whos the Man,Whos the Man
179,"Bernie Mac tours with three other entertainers known as The Kings of Comedy. Which of the following is  not one of them?
",Steve Harvey,Cedric the Entertainer,Chris Rock,D.L. Hughley,Chris Rock
180,"What was the name of the HBO special which Bernie Mac did in 1995 in Chicago?
",Mac Attack,Just Bernie,Midnight Mac,The Bernie Mac Hour,Midnight Mac
181,"Which 2003 movie, written and directed by Chris Rock, starred Bernie Mac as Chris Rocks brother?
",Friday,Colors,Get on the Bus,Head of State,Head of State
182,"From which ailment is Bernie Mac known to suffer?
",Type II Diabetes,Bucelosis,Sarcoidosis,Type I Diabetes,Sarcoidosis
183,"In this 2004 movie, Bernie Mac portrayed a baseball player who had to return to the game to get his 3000th hit.
",Mr. 3000,The Last Season,Its All in the Game,Major League,Mr. 3000
